date,count
1997-10-16,1589
1997-03-30,246
1997-06-26,670
1997-02-12,499
1997-03-11,604
1997-12-28,795
1997-06-22,350
1997-02-21,497
1997-10-17,1677
1997-08-27,854
1997-08-28,938
1997-09-06,340
1997-10-13,1777
1997-12-21,905
1997-11-14,1628
1997-03-10,594
1997-11-11,1797
1997-12-02,2081
1997-11-06,1059
1997-09-21,797
1997-02-13,487
1997-10-07,1733
1997-06-25,706
1997-08-14,686
1997-07-05,394
1997-11-29,1262
1997-07-04,547
1997-05-06,862
1997-06-27,540
1997-02-20,636
1995-12-17,283
1996-01-28,500
1996-01-30,781
1996-01-20,222
1995-11-23,544
1996-01-19,574
1996-01-24,607
1995-10-10,575
1996-01-23,618
1995-11-29,525
1995-09-18,392
1995-12-26,153
1996-01-17,555
1995-07-26,181
1995-11-24,515
1995-12-02,218
1996-02-22,762
1995-12-12,487
1996-01-31,600
1996-01-29,928
1995-09-27,296
1995-09-29,549
1995-02-14,376
1995-12-30,272
1996-01-18,754
1995-12-08,447
1995-12-28,371
1995-02-27,286
1996-01-16,502
1995-11-28,558
1995-10-30,484
1995-11-07,555
1995-12-27,212
1995-10-25,581
1995-09-23,148
1995-06-07,290
1996-02-01,772
1995-12-03,233
1995-12-06,502
1996-02-02,759
unknown,587
1995-12-01,527
1995-10-13,595
1995-10-12,582
1995-12-07,524
1995-11-27,566
1996-02-21,861
1995-10-04,498
1996-01-03,524
1996-02-09,655
1995-10-11,648
1996-09-21,450
1996-08-07,668
1996-06-08,462
1996-07-09,693
1996-11-19,930
1996-11-03,730
1996-10-01,830
1996-04-16,1089
1996-05-06,1032
1996-09-16,256
1996-04-17,871
1996-11-15,668
1996-07-19,677
1996-11-10,569
1996-04-19,933
1996-11-14,560
1996-05-09,946
1996-10-04,977
1996-08-15,694
1996-08-25,505
1996-12-03,1792
1996-04-23,837
1996-10-07,791
1996-05-13,1017
1996-05-28,975
1996-08-24,439
1996-05-07,1004
1996-05-29,1025
1996-12-04,1249
1996-04-24,869
1996-05-27,542
1996-10-08,807
1996-11-23,648
1996-04-20,604
1996-11-08,883
1996-09-14,352
1996-04-18,928
1996-11-02,701
1996-05-10,860
1996-06-22,403
1996-10-02,864
1996-04-22,806
1996-11-20,702
1996-05-08,988
1996-10-16,940
1996-10-30,989
1996-09-15,417
1996-10-18,815
1996-07-17,732
1996-10-15,1051
1996-08-23,645
1996-12-14,594
1996-03-15,751
1996-10-14,997
1996-06-20,498
1996-08-06,692
1996-11-11,1019
1996-12-06,1167
1997-08-19,792
1997-05-27,780
1997-08-20,752
1997-02-24,590
1997-07-09,564
1997-12-24,419
1997-07-24,565
1997-11-08,1217
1997-05-02,699
1997-04-28,685
1997-05-10,372
1997-07-23,547
1997-07-18,696
1997-04-26,369
1997-11-16,1253
