newsgroup,ia_only,nb_only,both
no.ai,370,317,13
no.alkohol,4055,3396,42
no.alt.activeworlds,774,0,0
no.alt.amiga,209,718,0
no.alt.arkiv,5468,1772,71
no.alt.bekymringer,2400,0,0
no.alt.bilprat,16972,0,0
no.alt.bilstereo,3192,0,0
no.alt.config,6982,611,10
no.alt.diskusjoner,119565,15623,145
no.alt.diskusjoner.usa,21005,0,0
no.alt.ekspartnere,1647,0,0
no.alt.fan.de-lillos,577,239,0
no.alt.flame,30662,18760,984
no.alt.fritid.hytteliv,50,0,0
no.alt.frustrasjoner,272800,35192,3
no.alt.geek.pludring,2001,0,0
no.alt.gledesutbrudd,91663,11268,96
no.alt.god.jul,2761,735,13
no.alt.gratulerer,78,0,0
no.alt.gullkorn,1265,7,0
no.alt.gullkorn.d,399,0,0
no.alt.hjemmesider,49106,0,0
no.alt.hjemmesider.frontpage,2883,0,0
no.alt.hundebitt,150,0,0
no.alt.hunder,100128,0,0
no.alt.irc-treff,1381,1015,1
no.alt.irctreff,0,488,0
no.alt.jenteprat,9145,0,0
no.alt.karlsen+spangelid,1155,0,0
no.alt.katter,36771,1913,2
no.alt.maktmisbruk.psykopati,250,0,0
no.alt.marked.seksualitet,513,0,0
no.alt.mat,44943,3846,25
no.alt.mat.drikke,11468,757,1
no.alt.motorsykler,177831,42551,1
no.alt.news-treff,8941,0,0
no.alt.pludring,70248,0,0
no.alt.pludring.intens,100,0,0
no.alt.pompel-og-pilt,1077,352,6
no.alt.pompelog,0,282,0
no.alt.radio-tv.irma-1000,1517,231,2
no.alt.radio_tv.irma1000,0,410,0
no.alt.rykter,13669,0,0
no.alt.sjokolade,5697,563,0
no.alt.tegneserier,23294,2191,20
no.alt.tegneserier.samlerforum,1181,0,0
no.alt.troll,348,0,0
no.alt.undring,84254,0,0
no.amiga,41514,3242,1
no.annonser.audio-video,14317,0,0
no.annonser.bil,16426,0,0
no.annonser.bolig,3398,0,0
no.annonser.diskusjon,14963,0,0
no.annonser.diverse,22542,0,0
no.annonser.dyr,2554,0,0
no.annonser.foreldre+barn,739,0,0
no.annonser.foto,3836,0,0
no.annonser.friluftsliv,1450,0,0
no.annonser.it.diverse,14932,0,0
no.annonser.it.maskinvare.diverse,28155,0,0
no.annonser.it.nettilbydere,1231,0,0
no.annonser.it.nettverk,446,0,0
no.annonser.it.programvare.diverse,2863,0,0
no.annonser.it.telekom,5202,0,0
no.annonser.it.unix,498,0,0
no.annonser.jobb.onskes,1422,0,0
no.annonser.jobb.selvstendig,589,0,0
no.annonser.jobb.tilbys,3577,0,0
no.annonser.kontakt.diverse,766,0,0
no.annonser.maritim,586,0,0
no.annonser.motorsykkel,6152,0,0
no.annonser.musikk,7427,0,0
no.annonser.spill.data,4067,0,0
no.annonser.spill.diverse,1268,0,0
no.annonser.spill.tv,2545,0,0
no.annonser.sykkel,1762,0,0
no.audio,20990,10048,177
no.bibsys,264,98,0
no.bil,43899,6498,77
no.biz,146,0,0
no.biz.annonser,10974,3313,93
no.biz.annonser.data,12266,1211,5
no.biz.diskusjoner,749,262,8
no.biz.nettilbydere,5291,801,4
no.bolig,3132,1079,19
no.c,2290,2510,40
no.ef,937,1325,20
no.elektronikk,11795,3680,94
no.embnet,93,379,23
no.eunet.diverse,132,160,7
no.eunet.drift,220,391,1
no.eunet.hjelp,262,594,2
no.fag.diverse,20822,0,0
no.fag.filosofi,22819,0,0
no.fag.jus,70380,0,0
no.fag.jus.it,6733,0,0
no.fag.kjemi,6099,0,0
no.fag.landbruk,9445,0,0
no.fag.medisin.diverse,40734,0,0
no.fag.psykologi.generell,58074,0,0
no.fag.samfunnsvitenskap,3000,0,0
no.fag.sjukepleie,489,0,0
no.fag.spraak.diverse,49557,0,0
no.fag.spraak.fagord,4277,0,0
no.fag.spraak.strid,5385,0,0
no.fag.typografi,2986,0,0
no.film,21638,12162,244
no.folklore.edb,775,155,0
no.folklore.generelt,118,17,0
no.folklore.overtro,513,13,0
no.fritid.akvarium,3440,0,0
no.fritid.bolig,43979,0,0
no.fritid.diverse,2856,0,0
no.fritid.dykking,18474,0,0
no.fritid.dyr.diverse,5485,0,0
no.fritid.fiske,6569,0,0
no.fritid.foto,22675,0,0
no.fritid.friluftsliv,11064,0,0
no.fritid.hage,8079,0,0
no.fritid.hobbyverksted,4397,0,0
no.fritid.jakt,22425,0,0
no.fritid.maritim,11618,0,0
no.fritid.modellhobby,18502,0,0
no.fritid.reiser,18052,0,0
no.fritid.slektsforsking.diverse,19444,0,0
no.fritid.slektsforsking.etterlysing,28367,0,0
no.fritid.slektsforsking.it,10573,0,0
no.fritid.speiding,1742,0,0
no.fritid.spill.data,46762,0,0
no.fritid.spill.diverse,2217,0,0
no.fritid.spill.rollespill,16063,0,0
no.fritid.spill.sjakk,2112,0,0
no.fritid.sykkel,16814,0,0
no.general,167003,75170,1000
no.havforskning,343,490,19
no.hobby.diverse,4028,468,0
no.irc,6824,6414,71
no.it.data.xml,1050,0,0
no.it.database.diverse,4843,0,0
no.it.diverse,58049,516,1
no.it.emacs,2634,1054,0
no.it.grafikk.diverse,5780,0,0
no.it.maskinvare.diverse,110701,0,0
no.it.maskinvare.grafikkort,13669,0,0
no.it.maskinvare.overklokking,11175,0,0
no.it.maskinvare.pda,5776,0,0
no.it.nettverk,40053,0,0
no.it.nostalgi,7896,0,0
no.it.os.amiga.diverse,6835,0,0
no.it.os.amiga.maskinvare,5579,0,0
no.it.os.amiga.programvare,3741,0,0
no.it.os.beos,200,0,0
no.it.os.mac.diverse,166221,0,0
