newsgroup,ia_only,nwa_only,both
no.ai,302,330,1
no.alkohol,2504,3439,1
no.alt.activeworlds,0,0,0
no.alt.amiga,131,719,0
no.alt.arkiv,1443,1843,0
no.alt.bekymringer,1,0,0
no.alt.bilprat,9,0,0
no.alt.bilstereo,0,0,0
no.alt.config,538,621,0
no.alt.diskusjo,0,5316,0
no.alt.diskusjoner,12029,10536,1
no.alt.diskusjoner.usa,38,0,0
no.alt.ekspartnere,2,0,0
no.alt.fan.de-lillos,129,239,0
no.alt.flame,15936,19727,25
no.alt.fritid.hytteliv,0,0,0
no.alt.frustras,0,7310,0
no.alt.frustrasjoner,50,28005,0
no.alt.geek.pludring,2,0,0
no.alt.gledesut,0,1638,0
no.alt.gledesutbrudd,9307,9752,0
no.alt.god.jul,664,749,1
no.alt.gratulerer,0,0,0
no.alt.gullkorn,1,7,0
no.alt.gullkorn.d,0,0,0
no.alt.hjemmesider,8,0,0
no.alt.hjemmesider.frontpage,3,0,0
no.alt.hundebitt,0,0,0
no.alt.hunder,18,0,0
no.alt.irc-treff,898,1016,0
no.alt.irctreff,0,493,0
no.alt.jenteprat,7,0,0
no.alt.karlsen+spangelid,0,0,0
no.alt.katter,1441,1914,1
no.alt.maktmisbruk.psykopati,0,0,0
no.alt.marked.seksualitet,0,0,0
no.alt.mat,2965,3873,2
no.alt.mat.drikke,967,759,0
no.alt.motorsyk,0,4075,0
no.alt.motorsykler,21,38602,1
no.alt.news-treff,2,0,0
no.alt.pludring,30,0,0
no.alt.pludring.intens,0,0,0
no.alt.pompel-og-pilt,473,358,1
no.alt.pompelog,0,287,0
no.alt.radio-tv.irma-1000,308,233,1
no.alt.radio_tv.irma1000,0,419,0
no.alt.rykter,11,0,0
no.alt.sjokolade,1581,563,0
no.alt.tegneser,0,724,0
no.alt.tegneserier,1709,1519,0
no.alt.tegneserier.samlerforum,3,0,0
no.alt.troll,9,0,0
no.alt.undring,43,0,0
no.amiga,17058,3245,2
no.annonser.audio-video,55,0,0
no.annonser.bil,8,0,0
no.annonser.bolig,0,0,0
no.annonser.diskusjon,2,0,0
no.annonser.diverse,30,0,0
no.annonser.dyr,2,0,0
no.annonser.foreldre+barn,0,0,0
no.annonser.foto,3,0,0
no.annonser.friluftsliv,1,0,0
no.annonser.it.diverse,0,0,0
no.annonser.it.maskinvare.diverse,4,0,0
no.annonser.it.nettilbydere,0,0,0
no.annonser.it.nettverk,0,0,0
no.annonser.it.programvare.diverse,2,0,0
no.annonser.it.telekom,1,0,0
no.annonser.it.unix,0,0,0
no.annonser.jobb.onskes,0,0,0
no.annonser.jobb.selvstendig,0,0,0
no.annonser.jobb.tilbys,1,0,0
no.annonser.kontakt.diverse,1,0,0
no.annonser.maritim,1,0,0
no.annonser.motorsykkel,1,0,0
no.annonser.musikk,1,0,0
no.annonser.spill.data,3,0,0
no.annonser.spill.diverse,0,0,0
no.annonser.spill.tv,4,0,0
no.annonser.sykkel,0,0,0
no.audio,8417,10239,4
no.bibsys,257,98,0
no.bil,9764,6581,2
no.biz,79,0,0
no.biz.annonser,4940,3426,8
no.biz.annonser.data,3949,1232,4
no.biz.diskusjo,0,64,0
no.biz.diskusjoner,389,205,1
no.biz.nettilbydere,1658,803,2
no.bolig,1639,1098,1
no.c,1999,2549,3
no.ef,774,1346,0
no.elektron,0,759,0
no.elektronikk,5333,3037,2
no.embnet,102,403,0
no.eunet.diverse,114,167,0
no.eunet.drift,220,394,0
no.eunet.hjelp,261,596,0
no.fag.diverse,24,0,0
no.fag.filosofi,16,0,0
no.fag.jus,24,0,0
no.fag.jus.it,0,0,0
no.fag.kjemi,7,0,0
no.fag.landbruk,7,0,0
no.fag.medisin.diverse,36,0,0
no.fag.psykologi.generell,25,0,0
no.fag.samfunnsvitenskap,10,0,0
no.fag.sjukepleie,0,0,0
no.fag.spraak.diverse,31,0,0
no.fag.spraak.fagord,12,0,0
no.fag.spraak.strid,0,0,0
no.fag.typografi,1,0,0
no.film,9322,12420,4
no.folklore.edb,367,155,0
no.folklore.generelt,42,17,0
no.folklore.overtro,216,13,0
no.fritid.akvarium,0,0,0
no.fritid.bolig,9,0,0
no.fritid.diverse,5,0,0
no.fritid.dykking,4,0,0
no.fritid.dyr.diverse,0,0,0
no.fritid.fiske,1,0,0
no.fritid.foto,9,0,0
no.fritid.friluftsliv,0,0,0
no.fritid.hage,0,0,0
no.fritid.hobbyverksted,7,0,0
no.fritid.jakt,2,0,0
no.fritid.maritim,10,0,0
no.fritid.modellhobby,7,0,0
no.fritid.reiser,15,0,0
no.fritid.slektsforsking.diverse,12,0,0
no.fritid.slektsforsking.etterlysing,17,0,0
no.fritid.slektsforsking.it,11,0,0
no.fritid.speiding,1,0,0
no.fritid.spill.data,7,0,0
no.fritid.spill.diverse,2,0,0
no.fritid.spill.rollespill,16,0,0
no.fritid.spill.sjakk,1,0,0
no.fritid.sykkel,8,0,0
no.general,76031,76142,37
no.havforsk,0,147,0
no.havforskning,281,371,0
no.hobby.diverse,1592,469,0
no.irc,5394,6488,1
no.it.data.xml,0,0,0
no.it.database.diverse,0,0,0
no.it.diverse,1195,517,0
no.it.emacs,888,1054,0
no.it.grafikk.diverse,1,0,0
no.it.maskinvare.diverse,15,0,0
no.it.maskinvare.grafikkort,3,0,0
no.it.maskinvare.overklokking,1,0,0
no.it.maskinvare.pda,2,0,0
no.it.nettverk,73,0,0
no.it.nostalgi,12,0,0
no.it.os.amiga.diverse,2,0,0
no.it.os.amiga.maskinvare,0,0,0
no.it.os.amiga.programvare,0,0,0
no.it.os.beos,0,0,0
no.it.os.mac.diverse,18,0,0
no.it.os.ms-windows.diverse,14,0,0
no.it.os.ms-windows.nettverk,9,0,0
no.it.os.ms-windows.nt,3,0,0
no.it.os.os2,1693,686,0
no.it.os.unix.diverse,3,0,0
no.it.os.unix.linux.diverse,49,0,0
no.it.os.unix.linux.nettverk,40,0,0
no.it.programmering.asp,2,0,0
no.it.programmering.c,2,0,0
no.it.programmering.c++,3,0,0
no.it.programmering.delphi,1,0,0
no.it.programmering.diverse,1,0,0
no.it.programmering.dotnet,0,0,0
no.it.programmering.java,9,0,0
no.it.programmering.javascript,1,0,0
no.it.programmering.lisp,1,0,0
no.it.programmering.perl,3,0,0
no.it.programmering.php,9,0,0
no.it.programmering.python,0,0,0
no.it.programmering.visual-basic,17,0,0
no.it.programvare.emacs,2,0,0
no.it.programvare.ms-office,10,0,0
no.it.programvare.tex,7,0,0
no.it.sikkerhet.diverse,16,0,0
no.it.sikkerhet.virus,10,0,0
no.it.telekom.diverse,7,0,0
no.it.telekom.isdn,0,0,0
no.it.telekom.mobil,17,0,0
no.it.tjenester.irc,0,0,0
no.it.tjenester.mail.diverse,14,0,0
no.it.tjenester.nettilbydere,12,0,0
no.it.tjenester.news.diverse,3,0,0
no.it.tjenester.www.css,0,0,0
no.it.tjenester.www.design,1,0,0
no.it.tjenester.www.diverse,1,0,0
no.it.tjenester.www.html,10,0,0
no.it.tjenester.www.programmering,4,0,0
no.jus,6760,7949,2
no.kjemi,1078,1455,0
no.kryptogr,0,190,0
no.kryptografi,433,350,0
no.kultur.diverse,0,0,0
no.kultur.film,71,0,0
no.kultur.folklore.diverse,0,0,0
no.kultur.folklore.overtro,1,0,0
no.kultur.folklore.ufo,50,0,0
no.kultur.fritid.friluftsliv,204,0,0
no.kultur.genre.sf,2,0,0
no.kultur.humor,22,0,0
no.kultur.litteratur.diverse,9,0,0
no.kultur.musikk.diverse,60,0,0
no.kultur.musikk.gitar,8,0,0
no.kultur.musikk.klassisk,0,0,0
no.kultur.musikk.korps,2,0,0
no.kultur.musikk.produksjon,2,0,0
no.linux,13401,16182,4
no.lisp,469,503,0
no.litterat,0,737,0
no.litteratur,3236,3239,2
no.lokal.drammen,7,0,0
no.lokal.oslo,0,0,0
no.lokal.ringerike,0,0,0
no.mac,17615,21867,23
no.mail.diverse,1332,1963,0
no.mail.drift,340,569,0
no.marked,19016,25803,20
no.marked.bil,1891,1542,1
no.marked.bolig,707,696,0
no.marked.data,28133,22172,14
no.marked.diskusjon,222,76,0
no.marked.jobb,2832,3567,7
no.media,1913,122,0
no.medisin,2222,1483,0
no.ms-windows,8917,8192,7
no.mswindow,0,773,0
no.multimed,0,615,0
no.multimedia,1618,1624,2
no.musikk,22835,27336,6
no.musikk.gitar,1808,2367,2
no.musikk.klassisk,256,274,0
no.net,1599,2061,2
no.nettvett,11,0,0
no.news.diverse,7373,9197,1
no.news.drift,365,570,0
no.norsk,13156,17279,4
no.norsk.fagord,674,310,0
no.nuug,142,107,1
no.org.decus,0,25,0
no.org.diverse,0,0,0
no.org.dnd,97,73,0
no.org.efn.diskusjo,0,848,0
no.org.efn.diskusjon,1020,494,0
no.org.efn.nyheter,2,0,0
no.org.isoc-no,64,46,0
no.org.nobug.diverse,125,119,0
no.org.nobug.nytt,62,0,0
no.org.nuug,0,0,0
no.pc,30982,25320,8
no.perl,1460,1084,1
no.prat.aksjer,1339,932,3
no.prat.narkotika,2673,2464,2
no.prat.politikk,12006,3639,0
no.prat.seksualitet,5598,3601,0
no.prat.ufo,1274,760,0
no.pressemeldinger,739,62,0
no.pressemeldinger.diskusjon,109,42,0
no.psykolog,0,487,0
no.psykologi,2030,1242,0
no.radio-tv,7795,4376,0
no.radio_tv,0,1683,0
no.reiser,1183,1967,0
no.religion,23751,20302,19
no.samfunn.aksjer,2,0,0
no.samfunn.alkohol,0,0,0
no.samfunn.diverse,4,0,0
no.samfunn.forbruker,10,0,0
no.samfunn.foreldre+barn,68,0,0
no.samfunn.helse.funksjonshemming.diverse,0,0,0
no.samfunn.helse.livsstil,12,0,0
no.samfunn.media.diverse,15,0,0
no.samfunn.media.radio-tv,26,0,0
no.samfunn.media.radio-tv.virkelighets-tv,0,0,0
no.samfunn.narkotika,14,0,0
no.samfunn.naturvern,82,0,0
no.samfunn.okonomi.diverse,8,0,0
no.samfunn.politikk.diverse,121,0,0
no.samfunn.politikk.historie,2,0,0
no.samfunn.politikk.innvandring,110,0,0
no.samfunn.politikk.utenriks,80,0,0
no.samfunn.politikk.vaapen,6,0,0
no.samfunn.religion,70,0,0
no.samfunn.seksualitet,12,0,0
no.samfunn.skole,11,0,0
no.samfunn.trafikk,4,0,0
no.skole.diverse,1269,561,0
no.slekt,4934,8101,12
no.slekt.etterlysning,3264,3059,1
no.slekt.programmer,2635,456,0
no.sources.list,145,73,0
no.sources.wanted,177,151,0
no.speider,1045,1450,0
no.spill,10651,12131,2
no.spill.rollespill,1412,1010,0
no.spill.sjakk,390,270,0
no.sport.diverse,4364,6229,6
no.sport.fotball,1727,2322,0
no.sport.hockey,3,0,0
no.sport.kampkunst,1,0,0
no.sport.motorsport,0,0,0
no.sport.orientering,368,63,0
no.sport.paintball,6,0,0
no.sport.skyting,91,0,0
no.sport.volleyball,470,157,0
no.standard,129,98,0
no.storting,0,257,0
no.stortinget,2085,2301,0
no.student.nett,478,409,1
no.student.samfund,289,233,0
no.svar,71,85,0
no.sykkel,5651,3954,2
no.tegnsett,265,414,0
no.teknologi.audio,14,0,0
no.teknologi.bil,10,0,0
no.teknologi.diverse,0,0,0
no.teknologi.elektronikk,9,0,0
no.teknologi.hjemmekino,15,0,0
no.teknologi.satellitt-tv,7,0,0
no.teknologi.video,15,0,0
no.tele,7165,5660,4
no.telepost,180,920,0
no.test,19157,3154,32
no.tex,536,224,0
no.tungregn,0,46,0
no.tungregning,110,46,0
no.typograf,0,88,0
no.typografi,509,211,0
no.uninett.diverse,375,207,0
no.uninett.drift,127,110,0
no.uninett.fik,0,49,0
no.uninett.hjelp,87,79,0
no.uninett.katalog,57,30,0
no.uninett.skole,870,814,0
no.unix,4322,3912,4
no.usenet.admin,3,0,0
no.usenet.informasjon,0,0,0
no.velkommen,114,0,0
no.video,1835,507,0
no.vit.diverse,1394,616,0
no.vitser,7523,10408,15
no.vr,155,141,0
no.www,18605,3392,2
no.x,387,381,0
