channel,message_count
no.marked.bolig.mbox,2387
no.it.nostalgi.mbox,7912
no.skole.diverse.mbox,4649
no.stortinget.mbox,5400
no.vr.mbox,317
no.pressemeldinger.diskusjon.mbox,150
no.it.telekom.mobil.mbox,48662
no.prat.ufo.mbox,5863
no.svar.mbox,723
no.norsk.mbox,22643
no.fritid.spill.diverse.mbox,2349
no.it.programmering.visual-basic.mbox,18665
no.it.tjenester.nettilbydere.mbox,37109
no.embnet.mbox,125
no.biz.mbox,176
no.video.mbox,7692
no.sport.fotball.mbox,180577
no.fritid.dyr.diverse.mbox,5500
no.usenet.informasjon.mbox,250
no.teknologi.hjemmekino.mbox,36110
no.spill.sjakk.mbox,864
no.nettvett.mbox,20511
no.alt.pompel-og-pilt.mbox,1093
no.alt.ekspartnere.mbox,1652
no.teknologi.elektronikk.mbox,30410
no.tungregning.mbox,146
no.kultur.musikk.diverse.mbox,75951
no.it.os.amiga.maskinvare.mbox,5601
no.annonser.jobb.tilbys.mbox,3748
no.lisp.mbox,479
no.samfunn.naturvern.mbox,43620
no.general.mbox,168759
no.alt.irc-treff.mbox,1398
no.fritid.speiding.mbox,1751
no.slekt.etterlysning.mbox,11558
no.it.os.unix.diverse.mbox,9154
no.litteratur.mbox,7038
no.org.efn.diskusjon.mbox,1136
no.ai.mbox,436
no.it.programmering.javascript.mbox,3851
no.kultur.litteratur.diverse.mbox,11158
no.news.drift.mbox,750
no.student.nett.mbox,741
no.net.mbox,3893
no.fag.sjukepleie.mbox,500
no.alt.radio-tv.irma-1000.mbox,1542
no.teknologi.bil.mbox,178192
no.alt.fan.de-lillos.mbox,599
no.kultur.folklore.diverse.mbox,500
no.it.telekom.isdn.mbox,9698
no.kultur.genre.sf.mbox,3251
no.biz.annonser.data.mbox,12990
no.fritid.slektsforsking.etterlysing.mbox,28617
no.annonser.jobb.onskes.mbox,1499
no.alt.troll.mbox,353
no.vit.diverse.mbox,4542
no.fritid.fiske.mbox,6650
no.alt.god.jul.mbox,2798
no.annonser.it.nettverk.mbox,450
no.alt.undring.mbox,84343
no.it.diverse.mbox,58256
no.alt.marked.seksualitet.mbox,550
no.kultur.musikk.produksjon.mbox,5102
no.it.programvare.tex.mbox,5206
no.alt.tegneserier.samlerforum.mbox,1203
no.it.os.ms-windows.diverse.mbox,85561
no.annonser.foreldre+barn.mbox,750
no.telepost.mbox,198
no.it.data.xml.mbox,1050
no.marked.jobb.mbox,5705
no.it.database.diverse.mbox,4850
no.it.os.amiga.programvare.mbox,3750
no.fag.landbruk.mbox,9456
no.fritid.jakt.mbox,22501
no.fritid.foto.mbox,22755
no.it.os.beos.mbox,200
no.samfunn.okonomi.diverse.mbox,8008
no.annonser.foto.mbox,3952
no.samfunn.skole.mbox,13511
no.alkohol.mbox,4150
no.pc.mbox,82469
no.alt.gullkorn.d.mbox,400
no.samfunn.media.radio-tv.virkelighets-tv.mbox,6050
no.uninett.hjelp.mbox,126
no.fritid.slektsforsking.diverse.mbox,19510
no.it.emacs.mbox,2668
no.alt.diskusjoner.usa.mbox,21039
no.fritid.hobbyverksted.mbox,4407
no.vitser.mbox,13706
no.fag.jus.it.mbox,6747
no.alt.katter.mbox,36903
no.velkommen.mbox,600
no.annonser.dyr.mbox,2602
no.folklore.edb.mbox,792
no.alt.news-treff.mbox,8951
no.it.programvare.ms-office.mbox,12110
no.it.os.ms-windows.nt.mbox,17653
no.fritid.bolig.mbox,44093
no.kultur.fritid.friluftsliv.mbox,1145
no.annonser.maritim.mbox,601
no.fritid.reiser.mbox,18263
no.fritid.spill.rollespill.mbox,16116
no.alt.pludring.mbox,70325
no.annonser.it.nettilbydere.mbox,1250
no.samfunn.seksualitet.mbox,24362
no.fritid.spill.sjakk.mbox,2201
no.samfunn.politikk.historie.mbox,3952
no.media.mbox,2384
no.alt.bekymringer.mbox,2401
no.fag.jus.mbox,70572
no.bolig.mbox,3249
no.marked.data.mbox,77707
no.org.isoc-no.mbox,81
no.alt.sjokolade.mbox,5735
no.fritid.dykking.mbox,18554
no.jus.mbox,18997
no.it.programmering.diverse.mbox,9000
no.eunet.drift.mbox,232
no.it.sikkerhet.virus.mbox,5508
no.alt.flame.mbox,31945
no.kultur.humor.mbox,13572
no.alt.hjemmesider.mbox,49253
no.mail.drift.mbox,577
no.it.maskinvare.diverse.mbox,111000
no.musikk.gitar.mbox,3641
no.samfunn.aksjer.mbox,10102
no.fag.diverse.mbox,20865
no.org.nobug.nytt.mbox,65
no.it.programmering.perl.mbox,9044
no.annonser.diskusjon.mbox,15152
no.alt.arkiv.mbox,5690
no.samfunn.helse.funksjonshemming.diverse.mbox,600
no.it.programmering.c++.mbox,8951
no.samfunn.media.radio-tv.mbox,39875
no.tele.mbox,13945
no.fritid.friluftsliv.mbox,11099
no.it.tjenester.www.css.mbox,950
no.speider.mbox,1617
no.fritid.maritim.mbox,11660
no.it.sikkerhet.diverse.mbox,28969
no.prat.seksualitet.mbox,24838
no.sport.volleyball.mbox,3798
no.lokal.ringerike.mbox,150
no.annonser.spill.data.mbox,4201
no.annonser.it.maskinvare.diverse.mbox,29151
no.havforskning.mbox,391
no.it.tjenester.www.diverse.mbox,19200
no.tex.mbox,1590
no.it.programmering.asp.mbox,6202
no.fag.medisin.diverse.mbox,40832
no.fritid.hage.mbox,8100
no.marked.diskusjon.mbox,981
no.film.mbox,22048
no.it.tjenester.irc.mbox,1500
no.fag.kjemi.mbox,6107
no.it.tjenester.www.programmering.mbox,12802
no.fag.spraak.strid.mbox,5400
no.samfunn.religion.mbox,168287
no.teknologi.diverse.mbox,4549
no.it.tjenester.www.html.mbox,21907
no.alt.hunder.mbox,100411
no.fag.samfunnsvitenskap.mbox,3009
no.folklore.generelt.mbox,134
no.alt.hundebitt.mbox,150
no.annonser.it.unix.mbox,500
no.org.dnd.mbox,280
no.annonser.diverse.mbox,23728
no.fag.psykologi.generell.mbox,58223
no.it.tjenester.mail.diverse.mbox,7714
no.pressemeldinger.mbox,788
no.fag.spraak.diverse.mbox,49630
no.medisin.mbox,8793
no.psykologi.mbox,8948
no.sport.orientering.mbox,1556
no.norsk.fagord.mbox,2254
no.it.nettverk.mbox,40220
no.it.programmering.java.mbox,15254
no.ef.mbox,995
no.bil.mbox,44201
no.it.maskinvare.overklokking.mbox,11201
no.kultur.diverse.mbox,1651
no.it.programmering.delphi.mbox,11298
no.alt.geek.pludring.mbox,2002
no.samfunn.narkotika.mbox,11912
no.irc.mbox,6951
no.it.programmering.c.mbox,9050
no.standard.mbox,196
no.kultur.musikk.gitar.mbox,14005
no.it.programmering.php.mbox,17858
no.annonser.it.telekom.mbox,5400
no.folklore.overtro.mbox,533
no.ms-windows.mbox,29239
no.alt.fritid.hytteliv.mbox,50
no.fritid.sykkel.mbox,16855
no.nuug.mbox,221
no.it.os.ms-windows.nettverk.mbox,8709
no.prat.narkotika.mbox,7205
no.musikk.klassisk.mbox,1042
no.marked.mbox,47917
no.bibsys.mbox,272
no.news.diverse.mbox,22544
no.lokal.oslo.mbox,600
no.www.mbox,21627
no.spill.rollespill.mbox,2405
no.biz.annonser.mbox,12202
