newsgroup,message_count
no.marked.bolig.mbox,754
no.it.nostalgi.mbox,12
no.skole.diverse.mbox,1276
no.stortinget.mbox,2086
no.vr.mbox,159
no.pressemeldinger.diskusjon.mbox,110
no.it.telekom.mobil.mbox,11
no.prat.ufo.mbox,1292
no.svar.mbox,200
no.norsk.mbox,13205
no.fritid.spill.diverse.mbox,2
no.it.programmering.visual-basic.mbox,16
no.it.tjenester.nettilbydere.mbox,11
no.embnet.mbox,103
no.biz.mbox,79
no.video.mbox,1858
no.sport.fotball.mbox,1729
no.teknologi.hjemmekino.mbox,13
no.spill.sjakk.mbox,392
no.nettvett.mbox,10
no.alt.pompel-og-pilt.mbox,482
no.alt.ekspartnere.mbox,2
no.teknologi.elektronikk.mbox,9
no.tungregning.mbox,114
no.kultur.musikk.diverse.mbox,59
no.annonser.jobb.tilbys.mbox,1
no.lisp.mbox,473
no.samfunn.naturvern.mbox,80
no.general.mbox,76313
no.alt.irc-treff.mbox,900
no.fritid.speiding.mbox,1
no.slekt.etterlysning.mbox,3316
no.it.os.unix.diverse.mbox,3
no.litteratur.mbox,3286
no.org.efn.diskusjon.mbox,1026
no.ai.mbox,349
no.kultur.litteratur.diverse.mbox,9
no.news.drift.mbox,369
no.student.nett.mbox,494
no.net.mbox,1615
no.alt.radio-tv.irma-1000.mbox,312
no.teknologi.bil.mbox,10
no.alt.fan.de-lillos.mbox,135
no.kultur.genre.sf.mbox,2
no.biz.annonser.data.mbox,4172
no.fritid.slektsforsking.etterlysing.mbox,17
no.alt.troll.mbox,9
no.vit.diverse.mbox,1399
no.fritid.fiske.mbox,1
no.alt.god.jul.mbox,672
no.alt.undring.mbox,42
no.it.diverse.mbox,1207
no.kultur.musikk.produksjon.mbox,2
no.it.programvare.tex.mbox,7
no.alt.tegneserier.samlerforum.mbox,3
no.it.os.ms-windows.diverse.mbox,14
no.telepost.mbox,183
no.marked.jobb.mbox,3026
no.fag.landbruk.mbox,6
no.fritid.jakt.mbox,2
no.fritid.foto.mbox,9
no.samfunn.okonomi.diverse.mbox,8
no.annonser.foto.mbox,2
no.samfunn.skole.mbox,11
no.alkohol.mbox,2535
no.pc.mbox,31246
no.uninett.hjelp.mbox,93
no.fritid.slektsforsking.diverse.mbox,12
no.it.emacs.mbox,894
no.alt.diskusjoner.usa.mbox,38
no.fritid.hobbyverksted.mbox,7
no.vitser.mbox,7589
no.alt.katter.mbox,1451
no.velkommen.mbox,114
no.annonser.dyr.mbox,1
no.folklore.edb.mbox,369
no.alt.news-treff.mbox,2
no.it.programvare.ms-office.mbox,10
no.it.os.ms-windows.nt.mbox,3
no.fritid.bolig.mbox,9
no.kultur.fritid.friluftsliv.mbox,204
no.annonser.maritim.mbox,1
no.fritid.reiser.mbox,15
no.fritid.spill.rollespill.mbox,16
no.alt.pludring.mbox,29
no.samfunn.seksualitet.mbox,12
no.fritid.spill.sjakk.mbox,1
no.samfunn.politikk.historie.mbox,2
no.media.mbox,1937
no.alt.bekymringer.mbox,1
no.fag.jus.mbox,23
no.bolig.mbox,1699
no.marked.data.mbox,28736
no.org.isoc-no.mbox,67
no.alt.sjokolade.mbox,1597
no.fritid.dykking.mbox,4
no.jus.mbox,6811
no.it.programmering.diverse.mbox,1
no.eunet.drift.mbox,229
no.it.sikkerhet.virus.mbox,10
no.alt.flame.mbox,16169
no.kultur.humor.mbox,22
no.alt.hjemmesider.mbox,8
no.mail.drift.mbox,348
no.it.maskinvare.diverse.mbox,15
no.musikk.gitar.mbox,1828
no.samfunn.aksjer.mbox,2
no.fag.diverse.mbox,22
no.org.nobug.nytt.mbox,62
no.it.programmering.perl.mbox,3
no.annonser.diskusjon.mbox,2
no.alt.arkiv.mbox,1520
no.it.programmering.c++.mbox,3
no.samfunn.media.radio-tv.mbox,23
no.tele.mbox,7203
no.speider.mbox,1062
no.fritid.maritim.mbox,9
no.it.sikkerhet.diverse.mbox,16
no.prat.seksualitet.mbox,5615
no.sport.volleyball.mbox,478
no.annonser.spill.data.mbox,3
no.annonser.it.maskinvare.diverse.mbox,4
no.havforskning.mbox,292
no.it.tjenester.www.diverse.mbox,1
no.tex.mbox,538
no.it.programmering.asp.mbox,2
no.fag.medisin.diverse.mbox,35
no.marked.diskusjon.mbox,225
no.film.mbox,9370
no.fag.kjemi.mbox,7
no.it.tjenester.www.programmering.mbox,3
no.samfunn.religion.mbox,70
no.it.tjenester.www.html.mbox,10
no.alt.hunder.mbox,18
no.fag.samfunnsvitenskap.mbox,10
no.folklore.generelt.mbox,44
no.org.dnd.mbox,98
no.annonser.diverse.mbox,29
no.fag.psykologi.generell.mbox,25
no.it.tjenester.mail.diverse.mbox,14
no.pressemeldinger.mbox,746
no.fag.spraak.diverse.mbox,28
no.medisin.mbox,2249
no.psykologi.mbox,2051
no.sport.orientering.mbox,379
no.norsk.fagord.mbox,675
no.it.nettverk.mbox,73
no.it.programmering.java.mbox,4
no.ef.mbox,780
no.bil.mbox,9813
no.it.maskinvare.overklokking.mbox,1
no.it.programmering.delphi.mbox,1
no.alt.geek.pludring.mbox,2
no.samfunn.narkotika.mbox,13
no.irc.mbox,5423
no.it.programmering.c.mbox,2
no.standard.mbox,131
no.kultur.musikk.gitar.mbox,8
no.it.programmering.php.mbox,9
no.annonser.it.telekom.mbox,1
no.folklore.overtro.mbox,219
no.ms-windows.mbox,9034
no.fritid.sykkel.mbox,8
no.nuug.mbox,149
no.it.os.ms-windows.nettverk.mbox,8
no.prat.narkotika.mbox,2690
no.musikk.klassisk.mbox,265
no.marked.mbox,19799
no.bibsys.mbox,259
no.news.diverse.mbox,7440
no.www.mbox,18707
no.spill.rollespill.mbox,1424
no.biz.annonser.mbox,5523
no.alt.jenteprat.mbox,7
no.fag.spraak.fagord.mbox,12
no.alt.rykter.mbox,11
no.eunet.hjelp.mbox,262
no.uninett.diverse.mbox,385
no.samfunn.forbruker.mbox,9
no.multimedia.mbox,1657
no.annonser.bil.mbox,8
no.sport.kampkunst.mbox,1
no.fritid.slektsforsking.it.mbox,11
no.annonser.friluftsliv.mbox,1
no.alt.tegneserier.mbox,1722
no.it.tjenester.www.design.mbox,1
no.it.os.amiga.diverse.mbox,2
no.annonser.musikk.mbox,1
no.it.os.mac.diverse.mbox,17
no.elektronikk.mbox,5397
no.samfunn.politikk.diverse.mbox,118
no.it.os.unix.linux.nettverk.mbox,26
no.slekt.mbox,5022
no.annonser.kontakt.diverse.mbox,1
no.student.samfund.mbox,301
no.sources.wanted.mbox,183
no.lokal.drammen.mbox,7
no.samfunn.helse.livsstil.mbox,12
no.biz.diskusjoner.mbox,441
no.sport.diverse.mbox,4436
no.linux.mbox,13511
no.spill.mbox,10768
no.fritid.modellhobby.mbox,7
no.it.os.os2.mbox,1708
no.it.maskinvare.grafikkort.mbox,3
no.uninett.katalog.mbox,60
no.slekt.programmer.mbox,2662
no.samfunn.politikk.utenriks.mbox,79
no.alt.gledesutbrudd.mbox,9329
no.alt.gullkorn.mbox,1
no.alt.mat.mbox,2982
no.fag.typografi.mbox,1
no.radio-tv.mbox,7825
no.annonser.it.programvare.diverse.mbox,1
no.fritid.diverse.mbox,5
no.samfunn.foreldre+barn.mbox,68
no.kultur.folklore.overtro.mbox,1
no.religion.mbox,23892
no.alt.config.mbox,542
no.it.programvare.emacs.mbox,2
no.mac.mbox,17764
no.it.tjenester.news.diverse.mbox,2
no.musikk.mbox,23014
no.annonser.motorsykkel.mbox,1
no.samfunn.politikk.innvandring.mbox,110
no.kryptografi.mbox,436
no.mail.diverse.mbox,1345
no.samfunn.media.diverse.mbox,15
no.sources.list.mbox,149
no.fag.filosofi.mbox,16
no.uninett.skole.mbox,886
no.sport.skyting.mbox,91
no.perl.mbox,1464
no.reiser.mbox,1196
no.sport.hockey.mbox,3
no.alt.diskusjoner.mbox,12072
no.test.mbox,20877
no.teknologi.video.mbox,15
no.tegnsett.mbox,268
no.samfunn.trafikk.mbox,4
no.c.mbox,2014
no.prat.politikk.mbox,12062
no.alt.bilprat.mbox,9
no.it.grafikk.diverse.mbox,1
no.x.mbox,397
no.it.programmering.lisp.mbox,1
no.eunet.diverse.mbox,115
no.alt.amiga.mbox,133
no.biz.nettilbydere.mbox,1686
no.annonser.spill.tv.mbox,4
no.amiga.mbox,17117
no.it.maskinvare.pda.mbox,2
no.teknologi.audio.mbox,14
no.alt.motorsykler.mbox,21
no.sport.paintball.mbox,6
no.uninett.drift.mbox,132
no.samfunn.politikk.vaapen.mbox,6
no.audio.mbox,8511
no.kultur.folklore.ufo.mbox,49
no.annonser.audio-video.mbox,54
no.kultur.musikk.korps.mbox,2
no.typografi.mbox,513
no.sykkel.mbox,5710
no.org.efn.nyheter.mbox,2
no.teknologi.satellitt-tv.mbox,7
no.kjemi.mbox,1088
no.prat.aksjer.mbox,1348
no.alt.mat.drikke.mbox,973
no.it.os.unix.linux.diverse.mbox,32
no.hobby.diverse.mbox,1619
no.kultur.film.mbox,59
no.alt.frustrasjoner.mbox,56
no.org.nobug.diverse.mbox,128
no.fritid.spill.data.mbox,7
no.usenet.admin.mbox,3
no.samfunn.diverse.mbox,3
no.alt.hjemmesider.frontpage.mbox,3
no.it.telekom.diverse.mbox,3
no.marked.bil.mbox,1949
no.unix.mbox,4343
Total,575768
