newsgroup,message_count
no.ai.mbox,332
no.alkohol.mbox,3474
no.alt.amiga.mbox,783
no.alt.arkiv.mbox,1984
no.alt.config.mbox,625
no.alt.diskusjo.mbox,5316
no.alt.diskusjoner.mbox,10593
no.alt.fan.de-lillos.mbox,245
no.alt.flame.mbox,19965
no.alt.frustras.mbox,7310
no.alt.frustrasjoner.mbox,28129
no.alt.gledesut.mbox,1638
no.alt.gledesutbrudd.mbox,9774
no.alt.god.jul.mbox,752
no.alt.gullkorn.mbox,7
no.alt.irc-treff.mbox,1017
no.alt.irctreff.mbox,493
no.alt.katter.mbox,1932
no.alt.mat.mbox,3917
no.alt.mat.drikke.mbox,760
no.alt.motorsyk.mbox,4075
no.alt.motorsykler.mbox,38729
no.alt.pompel-og-pilt.mbox,368
no.alt.pompelog.mbox,287
no.alt.radio-tv.irma-1000.mbox,237
no.alt.radio_tv.irma1000.mbox,419
no.alt.sjokolade.mbox,580
no.alt.tegneser.mbox,724
no.alt.tegneserier.mbox,1528
no.amiga.mbox,3268
no.audio.mbox,10360
no.bibsys.mbox,98
no.bil.mbox,6661
no.biz.annonser.mbox,3671
no.biz.annonser.data.mbox,1318
no.biz.diskusjo.mbox,64
no.biz.diskusjoner.mbox,214
no.biz.nettilbydere.mbox,826
no.bolig.mbox,1150
no.c.mbox,2576
no.ef.mbox,1372
no.elektron.mbox,759
no.elektronikk.mbox,3086
no.embnet.mbox,405
no.eunet.diverse.mbox,169
no.eunet.drift.mbox,406
no.eunet.hjelp.mbox,601
no.film.mbox,12532
no.folklore.edb.mbox,155
no.folklore.generelt.mbox,17
no.folklore.overtro.mbox,13
no.general.mbox,76974
no.havforsk.mbox,147
no.havforskning.mbox,375
no.hobby.diverse.mbox,484
no.irc.mbox,6527
no.it.diverse.mbox,527
no.it.emacs.mbox,1054
no.it.os.os2.mbox,699
no.jus.mbox,8018
no.kjemi.mbox,1464
no.kryptogr.mbox,190
no.kryptografi.mbox,350
no.linux.mbox,16358
no.lisp.mbox,504
no.litterat.mbox,737
no.litteratur.mbox,3266
no.mac.mbox,22131
no.mail.diverse.mbox,1988
no.mail.drift.mbox,577
no.marked.mbox,26957
no.marked.bil.mbox,1602
no.marked.bolig.mbox,741
no.marked.data.mbox,22703
no.marked.diskusjon.mbox,76
no.marked.jobb.mbox,3854
no.media.mbox,123
no.medisin.mbox,1491
no.ms-windows.mbox,8309
no.mswindow.mbox,773
no.multimed.mbox,615
no.multimedia.mbox,1664
no.musikk.mbox,27553
no.musikk.gitar.mbox,2395
no.musikk.klassisk.mbox,288
no.net.mbox,2087
no.news.diverse.mbox,9300
no.news.drift.mbox,572
no.norsk.mbox,17392
no.norsk.fagord.mbox,310
no.nuug.mbox,108
no.org.decus.mbox,25
no.org.dnd.mbox,73
no.org.efn.diskusjo.mbox,848
no.org.efn.diskusjon.mbox,494
no.org.isoc-no.mbox,46
no.org.nobug.diverse.mbox,119
no.pc.mbox,25794
no.perl.mbox,1089
no.prat.aksjer.mbox,938
no.prat.narkotika.mbox,2479
no.prat.politikk.mbox,3672
no.prat.seksualitet.mbox,3617
no.prat.ufo.mbox,774
no.pressemeldinger.mbox,62
no.pressemeldinger.diskusjon.mbox,42
no.psykolog.mbox,487
no.psykologi.mbox,1273
no.radio-tv.mbox,4393
no.radio_tv.mbox,1683
no.reiser.mbox,1990
no.religion.mbox,20439
no.skole.diverse.mbox,568
no.slekt.mbox,8336
no.slekt.etterlysning.mbox,3122
no.slekt.programmer.mbox,459
no.sources.list.mbox,77
no.sources.wanted.mbox,153
no.speider.mbox,1468
no.spill.mbox,12338
no.spill.rollespill.mbox,1025
no.spill.sjakk.mbox,273
no.sport.diverse.mbox,6354
no.sport.fotball.mbox,2324
no.sport.orientering.mbox,63
no.sport.volleyball.mbox,157
no.standard.mbox,98
no.storting.mbox,257
no.stortinget.mbox,2309
no.student.nett.mbox,421
no.student.samfund.mbox,237
no.svar.mbox,207
no.sykkel.mbox,4003
no.tegnsett.mbox,416
no.tele.mbox,5704
no.telepost.mbox,952
no.test.mbox,3418
no.tex.mbox,225
no.tungregn.mbox,46
no.tungregning.mbox,46
no.typograf.mbox,88
no.typografi.mbox,215
no.uninett.diverse.mbox,208
no.uninett.drift.mbox,110
no.uninett.fik.mbox,49
no.uninett.hjelp.mbox,87
no.uninett.katalog.mbox,32
no.uninett.skole.mbox,829
no.unix.mbox,3947
no.video.mbox,511
no.vit.diverse.mbox,622
no.vitser.mbox,10563
no.vr.mbox,144
no.www.mbox,3437
no.x.mbox,394
Total,613626
