cut_off_name,full_name
no.alt.diskusjo,no.alt.diskusjoner
no.alt.frustras,no.alt.frustrasjoner
no.alt.gledesut,no.alt.gledesutbrudd
no.alt.motorsyk,no.alt.motorsykler
no.alt.tegneser,no.alt.tegneserier
no.biz.diskusjo,no.biz.diskusjoner
no.elektron,no.elektronikk
no.havforsk,no.havforskning
no.kryptogr,no.kryptografi
no.litterat,no.litteratur
no.multimed,no.multimedia
no.org.efn.diskusjo,no.org.efn.diskusjon
no.psykolog,no.psykologi
no.storting,no.stortinget
no.tungregn,no.tungregning
no.typograf,no.typografi
