field,message_count,proportion_of_messages
X-Google-Language,5981974,1.0
From,5981969,0.999999
Subject,5981952,0.999996
Newsgroups,5981950,0.999996
Date,5981947,0.999995
Message-ID,5981946,0.999995
X-Google-Attributes,5976423,0.999072
X-Google-Thread,5976423,0.999072
References,4913739,0.821424
Organization,4497347,0.751817
X-Trace,4417557,0.738478
X-Complaints-To,3888539,0.650043
Path,3589982,0.600133
Lines,3587319,0.599688
Xref,3578263,0.598174
NNTP-Posting-Date,3570031,0.596798
NNTP-Posting-Host,3175557,0.530854
Content-Type,2711823,0.453332
Mime-Version,2672135,0.446698
Content-Transfer-Encoding,2551967,0.42661
X-Deja-AN,2391977,0.399864
X-Google-ArrivalTime,2319497,0.387748
X-Newsreader,2224437,0.371857
X-MimeOLE,2165663,0.362031
X-Priority,1838698,0.307373
X-MSMail-Priority,1817454,0.303822
User-Agent,1279507,0.213894
Reply-To,629415,0.105219
X-Accept-Language,435423,0.072789
Sender,383178,0.064055
In-Reply-To,288578,0.048241
X-Original-NNTP-Posting-Host,235523,0.039372
X-RFC2646,227917,0.038101
X-Mailer,188183,0.031458
X-Postfilter,186878,0.03124
X-Abuse-and-DMCA-Info,186877,0.03124
X-DMCA-Complaints-To,170428,0.02849
Followup-To,167606,0.028019
Approved,164156,0.027442
X-Face,149486,0.024989
Original-NNTP-Posting-Host,148475,0.02482
Original-X-Trace,143199,0.023938
Cancel-Lock,134887,0.022549
Original-NNTP-Posting-Date,132255,0.022109
Original-X-Complaints-To,130470,0.021811
X-Received-Date,108821,0.018191
Mail-Copies-To,108118,0.018074
Original-Path,107520,0.017974
X-NNTP-Posting-Host,101533,0.016973
Injection-Info,92880,0.015527
Complaints-To,90859,0.015189
X-URL,87766,0.014672
X-HTTP-UserAgent,83634,0.013981
X-Google-NewGroupId,75547,0.012629
Cache-Post-Path,71282,0.011916
X-Usenet-Provider,69379,0.011598
X-Cache,55749,0.009319
X-Antivirus-Status,41301,0.006904
X-Antivirus,41298,0.006904
X-Orig-Path,38542,0.006443
To,21629,0.003616
X-Now-Playing,21585,0.003608
X-Article-Creation-Date,19053,0.003185
X-Http-User-Agent,19047,0.003184
X-Sender,17106,0.00286
Originator,16875,0.002821
X-Http-Proxy,16795,0.002808
X-Mail-Copies-To,15312,0.00256
X-Posting-Agent,15296,0.002557
X-Original-Bytes,14563,0.002434
Original-Sender,14535,0.00243
X-No-Joke,14070,0.002352
Supersedes,13912,0.002326
X-Original-Trace,13516,0.002259
Received,12520,0.002093
X-Enigmail-Version,11312,0.001891
X-AuthenticatedUsername,10354,0.001731
X-Do-Archive,10298,0.001722
X-MyDeja-Info,10288,0.00172
X-Authenticated-User,9122,0.001525
X-mood,8828,0.001476
X-DMCA-Notifications,8300,0.001388
OpenPGP,8277,0.001384
X-X-Sender,7825,0.001308
Distribution,7648,0.001279
X-OriginalArrivalTime,7343,0.001228
Face,6927,0.001158
X-crazy-in-the-coconut,6039,0.00101
X-Orig-X-Trace,5954,0.000995
X-Comment-To,5757,0.000962
Keywords,5270,0.000881
X-Attribution,5029,0.000841
X-Abuse-Info,4654,0.000778
X-Orig-NNTP-Posting-Host,4425,0.00074
X-HTTP-Via,4240,0.000709
X-Original-Lines,4225,0.000706
X-Auth-Sender,3895,0.000651
X-Authentication-Warning,3879,0.000648
X-Complaints-Info,3871,0.000647
X-Mager-Hvalp,3853,0.000644
X-MailScanner,3829,0.00064
X-Admin,3664,0.000613
X-husband,3413,0.000571
NNTP-Posting-User,3381,0.000565
X-no-productlinks,3279,0.000548
X-archive,3229,0.00054
Summary,3216,0.000538
X-Forwarded,3140,0.000525
X-MIME-Autoconverted,3058,0.000511
X-Spam-Level,2909,0.000486
X-Spamscanner,2781,0.000465
X-Mental-Status,2655,0.000444
X-Real-Life,2641,0.000441
cc,2614,0.000437
X-Notice,2569,0.000429
Mail-To-News-Contact,2544,0.000425
Injection-Date,2454,0.00041
Expires,2433,0.000407
X-NETCOM-Date,2404,0.000402
X-Home-Page,2380,0.000398
Content-Disposition,2372,0.000397
NNTP-Proxy-Relay,2121,0.000355
X-Orig-Message-ID,2111,0.000353
NNTP-Posting-Time,2108,0.000352
X-license,2094,0.00035
X-Enigmail-Supports,2081,0.000348
X-To-send-mail,2079,0.000348
X-In-Reply-To,2060,0.000344
Injector-Info,1954,0.000327
Abuse-Reports-To,1938,0.000324
X-Comments,1929,0.000322
X-Report,1908,0.000319
X-Box,1894,0.000317
Comments,1891,0.000316
X-Leafnode-Warning,1862,0.000311
X-NNTP-Client,1715,0.000287
X-Received,1698,0.000284
X-Phone-Number,1682,0.000281
X-User-ID,1636,0.000273
Bytes,1578,0.000264
X-Comments2,1466,0.000245
X-Caffeine,1444,0.000241
Thread-Index,1332,0.000223
Thread-Topic,1324,0.000221
X-Abuse-Contact,1311,0.000219
X-User-Agent,1281,0.000214
X-Desperat-Ungkar,1267,0.000212
X-Google-Web-Client,1259,0.00021
Cancel-Key,1229,0.000205
X-familieweb,1192,0.000199
X-Server-Date,1169,0.000195
X-NO-WAR,1144,0.000191
X-HAL,1111,0.000186
Importance,1061,0.000177
X-ELN-Date,992,0.000166
X-Posted-Path-Was,983,0.000164
X-Google-Header-Order,971,0.000162
X-Actress,970,0.000162
X-AI-Hacklevel,970,0.000162
X-Password,970,0.000162
X-Who-To-Blame,970,0.000162
X-ELN-Insert-Date,957,0.00016
X-Info,930,0.000155
X-Yes-Archive,910,0.000152
X-Cache-Posting-Host,907,0.000152
X-Editor,899,0.00015
Chat,890,0.000149
X-Now-Reading,890,0.000149
X-Adress,870,0.000145
X-Originating-IP-Addr,870,0.000145
X-Single,869,0.000145
X-NFilter,849,0.000142
X-Address,813,0.000136
Control,765,0.000128
X-Greylisting,759,0.000127
X-Addon,755,0.000126
X-Tra,746,0.000125
X-Abuse-Report,745,0.000125
X-About-Reply-1,744,0.000124
X-About-Reply-2,744,0.000124
X-KorrNews,744,0.000124
