archive,source_file,messages,messages_with_cr_in_headers,messages_with_cr_in_body,carriage_returns_in_headers,carriage_returns_in_body
ia,no.ai.mbox,435,0,2,0,4
ia,no.alt.arkiv.mbox,5690,0,2,0,4
ia,no.alt.config.mbox,6993,0,3,0,10
ia,no.alt.diskusjoner.mbox,119910,0,9,0,64
ia,no.alt.diskusjoner.usa.mbox,20999,2,0,2,0
ia,no.alt.fan.de-lillos.mbox,598,0,2,0,4
ia,no.alt.flame.mbox,31911,0,6,0,52
ia,no.alt.frustrasjoner.mbox,273214,1,0,1,0
ia,no.alt.gledesutbrudd.mbox,91833,0,7,0,40
ia,no.alt.god.jul.mbox,2796,0,4,0,12
ia,no.alt.hunder.mbox,100394,1,0,1,0
ia,no.alt.irc-treff.mbox,1397,0,2,0,7
ia,no.alt.katter.mbox,36891,0,5,0,18
ia,no.alt.mat.mbox,45042,0,4,0,12
ia,no.alt.motorsykler.mbox,177946,0,1,0,7
ia,no.alt.pompel-og-pilt.mbox,1093,0,2,0,8
ia,no.alt.radio-tv.irma-1000.mbox,1541,0,3,0,6
ia,no.alt.rykter.mbox,13698,1,0,1,0
ia,no.alt.sjokolade.mbox,5734,0,7,0,25
ia,no.alt.tegneserier.mbox,23390,0,3,0,16
ia,no.amiga.mbox,41619,0,11,0,35
ia,no.annonser.bil.mbox,16948,1,0,2,0
ia,no.annonser.diverse.mbox,23699,1,0,2,0
ia,no.annonser.it.maskinvare.diverse.mbox,29147,1,0,1,0
ia,no.annonser.motorsykkel.mbox,6349,1,0,2,0
ia,no.annonser.spill.data.mbox,4199,1,0,2,0
ia,no.audio.mbox,21410,0,6,0,38
ia,no.bibsys.mbox,271,0,3,0,9
ia,no.bil.mbox,44193,0,4,0,11
ia,no.biz.annonser.data.mbox,12980,0,41,0,165
ia,no.biz.annonser.mbox,12187,0,45,0,175
ia,no.biz.diskusjoner.mbox,842,0,41,0,158
ia,no.biz.nettilbydere.mbox,5368,0,37,0,151
ia,no.bolig.mbox,3244,0,7,0,35
ia,no.c.mbox,2338,0,6,0,21
