label,value,count
ia schema,f9ee321c96083353da4c68bd1bef86e4,
ia messages,6ba40a4c22bbf0fa3c920596dd1b6f07,5981974
ia message_references,980cf2427f27e40f69b475ed80730adc,25230944
ia processing order,ff0ebbd20f96338334f27971456d78de,331
ia first three,"no.ai, no.alkohol, no.alt.activeworlds",
ia last three,"no.vr, no.www, no.x",
ia messages per file,cecf21e3d3acdd6c22982ee647075be4,331
"ia messages, no ids",1484b595bb97cfbfaebf398e7858e22c,5981974
nb schema,f9ee321c96083353da4c68bd1bef86e4,
nb messages,4b65c0473af0751dfb0cd785408578b4,613016
nb message_references,dab5a240a420fb3a372ede73b54c1280,2151810
nb processing order,181dc4e751dfe1cff43c765607388fde,139
nb first three,"no.ai, no.alkohol, no.alt.amiga",
nb last three,"no.vr, no.www, no.x",
nb messages per file,10d93117f9d2dd719f9eea0e48fef182,139
"nb messages, no ids",f592a9d5f315be706b630fcd50278cd3,613016
