newsgroup,source_files,rows
no.ai,332,332
no.alkohol,3470,3470
no.alt.amiga,783,783
no.alt.arkiv,1984,1984
no.alt.config,625,625
no.alt.diskusjoner,15900,15900
no.alt.fan.de-lillos,244,244
no.alt.flame,19938,19938
no.alt.frustrasjoner,35433,35433
no.alt.gledesutbrudd,11408,11408
no.alt.god.jul,752,752
no.alt.gullkorn,7,7
no.alt.irc-treff,1017,1017
no.alt.irctreff,493,493
no.alt.katter,1932,1932
no.alt.mat,3915,3915
no.alt.mat.drikke,758,758
no.alt.motorsykler,42787,42787
no.alt.pompel-og-pilt,368,368
no.alt.pompelog,287,287
no.alt.radio-tv.irma-1000,237,237
no.alt.radio_tv.irma1000,417,417
no.alt.sjokolade,580,580
no.alt.tegneserier,2249,2249
no.amiga,3267,3267
no.audio,10350,10350
no.bibsys,98,98
no.bil,6658,6658
no.biz.annonser,3661,3661
no.biz.annonser.data,1315,1315
no.biz.diskusjoner,276,276
no.biz.nettilbydere,824,824
no.bolig,1148,1148
no.c,2567,2567
no.ef,1369,1369
no.elektronikk,3841,3841
no.embnet,399,399
no.eunet.diverse,169,169
no.eunet.drift,406,406
no.eunet.hjelp,601,601
no.film,12514,12514
no.folklore.edb,153,153
no.folklore.generelt,15,15
no.folklore.overtro,11,11
no.general,76929,76929
no.havforskning,517,517
no.hobby.diverse,482,482
no.irc,6516,6516
no.it.diverse,527,527
no.it.emacs,1054,1054
no.it.os.os2,698,698
no.jus,8009,8009
no.kjemi,1463,1463
no.kryptografi,537,537
no.linux,16333,16333
no.lisp,504,504
no.litteratur,3997,3997
no.mac,22118,22118
no.mail.diverse,1984,1984
no.mail.drift,576,576
no.marked,26922,26922
no.marked.bil,1602,1602
no.marked.bolig,741,741
no.marked.data,22686,22686
no.marked.diskusjon,76,76
no.marked.jobb,3846,3846
no.media,123,123
no.medisin,1490,1490
no.ms-windows,8305,8305
no.mswindow,772,772
no.multimedia,2274,2274
no.musikk,27532,27532
no.musikk.gitar,2392,2392
no.musikk.klassisk,288,288
no.net,2083,2083
no.news.diverse,9292,9292
no.news.drift,571,571
no.norsk,17385,17385
no.norsk.fagord,310,310
no.nuug,107,107
no.org.decus,25,25
no.org.dnd,73,73
no.org.efn.diskusjon,1341,1341
no.org.isoc-no,46,46
no.org.nobug.diverse,119,119
no.pc,25754,25754
no.perl,1087,1087
no.prat.aksjer,938,938
no.prat.narkotika,2474,2474
no.prat.politikk,3672,3672
no.prat.seksualitet,3616,3616
no.prat.ufo,764,764
no.pressemeldinger,62,62
no.pressemeldinger.diskusjon,42,42
no.psykologi,1758,1758
no.radio-tv,4393,4393
no.radio_tv,1683,1683
no.reiser,1990,1990
no.religion,20433,20433
no.skole.diverse,568,568
no.slekt,8285,8285
no.slekt.etterlysning,3115,3115
no.slekt.programmer,459,459
no.sources.list,77,77
no.sources.wanted,152,152
no.speider,1464,1464
no.spill,12334,12334
no.spill.rollespill,1017,1017
no.spill.sjakk,273,273
no.sport.diverse,6332,6332
no.sport.fotball,2324,2324
no.sport.orientering,63,63
no.sport.volleyball,157,157
no.standard,98,98
no.stortinget,2566,2566
no.student.nett,420,420
no.student.samfund,237,237
no.svar,207,207
no.sykkel,4000,4000
no.tegnsett,416,416
no.tele,5702,5702
no.telepost,950,950
no.test,3415,3415
no.tex,225,225
no.tungregning,92,92
no.typografi,303,303
no.uninett.diverse,208,208
no.uninett.drift,110,110
no.uninett.fik,49,49
no.uninett.hjelp,87,87
no.uninett.katalog,32,32
no.uninett.skole,829,829
no.unix,3936,3936
no.video,510,510
no.vit.diverse,622,622
no.vitser,10538,10538
no.vr,144,144
no.www,3437,3437
no.x,394,394
