newsgroup,message_count
no.ai.mbox,348
no.alkohol.mbox,2526
no.alt.amiga.mbox,132
no.alt.arkiv.mbox,1520
no.alt.config.mbox,532
no.alt.diskusjoner.mbox,12021
no.alt.fan.de-lillos.mbox,134
no.alt.flame.mbox,16139
no.alt.gledesutbrudd.mbox,9296
no.alt.god.jul.mbox,670
no.alt.gullkorn.mbox,1
no.alt.irc-treff.mbox,899
no.alt.katter.mbox,1440
no.alt.mat.mbox,2961
no.alt.mat.drikke.mbox,964
no.alt.pompel-og-pilt.mbox,482
no.alt.radio-tv.irma-1000.mbox,311
no.alt.sjokolade.mbox,1596
no.alt.tegneserier.mbox,1701
no.alt.troll.mbox,8
no.amiga.mbox,17098
no.audio.mbox,8483
no.bibsys.mbox,258
no.bil.mbox,9805
no.biz.mbox,79
no.biz.annonser.mbox,5512
no.biz.annonser.data.mbox,4162
no.biz.diskusjoner.mbox,437
no.biz.nettilbydere.mbox,1682
no.bolig.mbox,1694
no.c.mbox,2006
no.ef.mbox,777
no.elektronikk.mbox,5390
no.embnet.mbox,102
no.eunet.diverse.mbox,113
no.eunet.drift.mbox,229
no.eunet.hjelp.mbox,262
no.film.mbox,9349
no.folklore.edb.mbox,369
no.folklore.generelt.mbox,43
no.folklore.overtro.mbox,218
no.general.mbox,76193
no.havforskning.mbox,289
no.hobby.diverse.mbox,1616
no.irc.mbox,5415
no.it.diverse.mbox,1182
no.it.emacs.mbox,893
no.it.os.os2.mbox,1703
no.jus.mbox,6803
no.kjemi.mbox,1086
no.kryptografi.mbox,435
no.kultur.fritid.friluftsliv.mbox,202
no.linux.mbox,13473
no.lisp.mbox,472
no.litteratur.mbox,3283
no.mac.mbox,17751
no.mail.diverse.mbox,1343
no.mail.drift.mbox,348
no.marked.mbox,19755
no.marked.bil.mbox,1949
no.marked.bolig.mbox,754
no.marked.data.mbox,28704
no.marked.diskusjon.mbox,225
no.marked.jobb.mbox,3024
no.media.mbox,1934
no.medisin.mbox,2246
no.ms-windows.mbox,9011
no.multimedia.mbox,1651
no.musikk.mbox,22991
no.musikk.gitar.mbox,1824
no.musikk.klassisk.mbox,265
no.net.mbox,1611
no.news.diverse.mbox,7433
no.news.drift.mbox,368
no.norsk.mbox,13197
no.norsk.fagord.mbox,675
no.nuug.mbox,148
no.org.dnd.mbox,98
no.org.efn.diskusjon.mbox,1026
no.org.efn.nyheter.mbox,2
no.org.isoc-no.mbox,67
no.org.nobug.diverse.mbox,128
no.org.nobug.nytt.mbox,62
no.pc.mbox,31192
no.perl.mbox,1460
no.prat.aksjer.mbox,1348
no.prat.narkotika.mbox,2683
no.prat.politikk.mbox,12031
no.prat.seksualitet.mbox,5614
no.prat.ufo.mbox,1268
no.pressemeldinger.mbox,742
no.pressemeldinger.diskusjon.mbox,110
no.psykologi.mbox,2048
no.radio-tv.mbox,7816
no.reiser.mbox,1194
no.religion.mbox,23846
no.skole.diverse.mbox,1271
no.slekt.mbox,5002
no.slekt.etterlysning.mbox,3308
no.slekt.programmer.mbox,2649
no.sources.list.mbox,149
no.sources.wanted.mbox,183
no.speider.mbox,1062
no.spill.mbox,10764
no.spill.rollespill.mbox,1424
no.spill.sjakk.mbox,392
no.sport.diverse.mbox,4414
no.sport.fotball.mbox,1699
no.sport.orientering.mbox,372
no.sport.volleyball.mbox,476
no.standard.mbox,131
no.stortinget.mbox,2085
no.student.nett.mbox,493
no.student.samfund.mbox,301
no.svar.mbox,200
no.sykkel.mbox,5689
no.tegnsett.mbox,268
no.tele.mbox,7199
no.telepost.mbox,183
no.test.mbox,20847
no.tex.mbox,538
no.tungregning.mbox,114
no.typografi.mbox,513
no.uninett.diverse.mbox,385
no.uninett.drift.mbox,132
no.uninett.hjelp.mbox,93
no.uninett.katalog.mbox,60
no.uninett.skole.mbox,886
no.unix.mbox,4333
no.velkommen.mbox,114
no.video.mbox,1846
no.vit.diverse.mbox,1399
no.vitser.mbox,7563
no.vr.mbox,159
no.www.mbox,18701
no.x.mbox,396
Total,572529
