newsgroup,message_count
no.ai.mbox,332
no.alkohol.mbox,3470
no.alt.amiga.mbox,783
no.alt.arkiv.mbox,1984
no.alt.config.mbox,625
no.alt.diskusjoner.mbox,15900
no.alt.fan.de-lillos.mbox,244
no.alt.flame.mbox,19938
no.alt.frustrasjoner.mbox,35433
no.alt.gledesutbrudd.mbox,11408
no.alt.god.jul.mbox,752
no.alt.gullkorn.mbox,7
no.alt.irc-treff.mbox,1017
no.alt.irctreff.mbox,493
no.alt.katter.mbox,1932
no.alt.mat.mbox,3915
no.alt.mat.drikke.mbox,758
no.alt.motorsykler.mbox,42787
no.alt.pompel-og-pilt.mbox,368
no.alt.pompelog.mbox,287
no.alt.radio-tv.irma-1000.mbox,237
no.alt.radio_tv.irma1000.mbox,417
no.alt.sjokolade.mbox,580
no.alt.tegneserier.mbox,2249
no.amiga.mbox,3267
no.audio.mbox,10350
no.bibsys.mbox,98
no.bil.mbox,6658
no.biz.annonser.mbox,3661
no.biz.annonser.data.mbox,1315
no.biz.diskusjoner.mbox,276
no.biz.nettilbydere.mbox,824
no.bolig.mbox,1148
no.c.mbox,2567
no.ef.mbox,1369
no.elektronikk.mbox,3841
no.embnet.mbox,399
no.eunet.diverse.mbox,169
no.eunet.drift.mbox,406
no.eunet.hjelp.mbox,601
no.film.mbox,12514
no.folklore.edb.mbox,153
no.folklore.generelt.mbox,15
no.folklore.overtro.mbox,11
no.general.mbox,76929
no.havforskning.mbox,517
no.hobby.diverse.mbox,482
no.irc.mbox,6516
no.it.diverse.mbox,527
no.it.emacs.mbox,1054
no.it.os.os2.mbox,698
no.jus.mbox,8009
no.kjemi.mbox,1463
no.kryptografi.mbox,537
no.linux.mbox,16333
no.lisp.mbox,504
no.litteratur.mbox,3997
no.mac.mbox,22118
no.mail.diverse.mbox,1984
no.mail.drift.mbox,576
no.marked.mbox,26922
no.marked.bil.mbox,1602
no.marked.bolig.mbox,741
no.marked.data.mbox,22686
no.marked.diskusjon.mbox,76
no.marked.jobb.mbox,3846
no.media.mbox,123
no.medisin.mbox,1490
no.ms-windows.mbox,8305
no.mswindow.mbox,772
no.multimedia.mbox,2274
no.musikk.mbox,27532
no.musikk.gitar.mbox,2392
no.musikk.klassisk.mbox,288
no.net.mbox,2083
no.news.diverse.mbox,9292
no.news.drift.mbox,571
no.norsk.mbox,17385
no.norsk.fagord.mbox,310
no.nuug.mbox,107
no.org.decus.mbox,25
no.org.dnd.mbox,73
no.org.efn.diskusjon.mbox,1341
no.org.isoc-no.mbox,46
no.org.nobug.diverse.mbox,119
no.pc.mbox,25754
no.perl.mbox,1087
no.prat.aksjer.mbox,938
no.prat.narkotika.mbox,2474
no.prat.politikk.mbox,3672
no.prat.seksualitet.mbox,3616
no.prat.ufo.mbox,764
no.pressemeldinger.mbox,62
no.pressemeldinger.diskusjon.mbox,42
no.psykologi.mbox,1758
no.radio-tv.mbox,4393
no.radio_tv.mbox,1683
no.reiser.mbox,1990
no.religion.mbox,20433
no.skole.diverse.mbox,568
no.slekt.mbox,8285
no.slekt.etterlysning.mbox,3115
no.slekt.programmer.mbox,459
no.sources.list.mbox,77
no.sources.wanted.mbox,152
no.speider.mbox,1464
no.spill.mbox,12334
no.spill.rollespill.mbox,1017
no.spill.sjakk.mbox,273
no.sport.diverse.mbox,6332
no.sport.fotball.mbox,2324
no.sport.orientering.mbox,63
no.sport.volleyball.mbox,157
no.standard.mbox,98
no.stortinget.mbox,2566
no.student.nett.mbox,420
no.student.samfund.mbox,237
no.svar.mbox,207
no.sykkel.mbox,4000
no.tegnsett.mbox,416
no.tele.mbox,5702
no.telepost.mbox,950
no.test.mbox,3415
no.tex.mbox,225
no.tungregning.mbox,92
no.typografi.mbox,303
no.uninett.diverse.mbox,208
no.uninett.drift.mbox,110
no.uninett.fik.mbox,49
no.uninett.hjelp.mbox,87
no.uninett.katalog.mbox,32
no.uninett.skole.mbox,829
no.unix.mbox,3936
no.video.mbox,510
no.vit.diverse.mbox,622
no.vitser.mbox,10538
no.vr.mbox,144
no.www.mbox,3437
no.x.mbox,394
Total,613016
