email_id,post_count
111,44031
1895,28880
147,26298
2670,22906
523,22755
707,22220
1506,19589
2032,18468
2421,16563
2123,15435
6573,14478
1917,14418
1013,13877
5820,13848
880,13644
2178,13452
1952,12241
1374,12037
2665,11640
5804,11532
8406,11036
5923,10821
2374,10796
2553,10784
2311,10615
1516,10591
1989,10455
1899,10317
726,10278
2639,10265
3994,10166
2239,9955
4299,9626
2023,9374
1896,9275
276,9125
4952,9030
3087,8864
5849,8704
5896,8691
1741,8621
1607,8590
2431,8561
2637,8547
1884,8354
5819,8341
377,8277
354,8199
1986,8164
5892,8057
2310,8037
1924,8024
105,7988
5132,7798
2033,7707
2600,7690
378,7651
1995,7618
2562,7569
6516,7510
68,7325
2161,7232
8824,7208
2402,6992
2594,6968
9093,6940
183340,6938
1916,6890
1892,6767
1991,6680
5821,6622
513,6583
5912,6472
2633,6363
6945,6350
2403,6191
3599,6128
2376,6096
293,6029
2557,5970
8856,5825
6322,5815
65,5767
1603,5683
1932,5657
6267,5635
6228,5562
2466,5528
5253,5516
1704,5505
6612,5387
6012,5375
740,5361
9193,5351
1883,5284
3367,5278
6154,5268
2156,5259
9357,5221
7293,5199
2909,5165
8458,5148
2329,5134
3065,5125
7270,5067
2571,5065
2459,5005
4007,4975
2025,4945
2414,4923
5934,4895
6086,4822
4499,4820
6751,4728
3645,4712
6192,4702
1900,4683
2384,4664
2201,4603
2021,4574
2287,4565
1886,4533
8845,4448
5876,4418
3139,4398
4041,4375
2530,4373
2471,4372
2669,4341
1488,4308
2854,4287
3293,4256
2109,4254
10771,4220
2016,4205
5918,4190
2566,4185
2898,4180
146,4171
3534,4165
2494,4159
4596,4154
2113,4117
2422,4109
9510,4088
2365,4083
2164,4051
2065,4016
5978,4007
2474,3986
2211,3974
6058,3974
3667,3956
2196,3903
4540,3881
1976,3878
1539,3863
9187,3846
6084,3836
2596,3813
2708,3794
2332,3789
2744,3788
5956,3771
6142,3758
2734,3733
1944,3730
404,3715
5844,3697
2364,3694
2632,3686
7418,3654
6541,3652
6152,3649
6586,3646
2372,3633
2834,3608
6915,3591
2404,3565
3498,3555
6673,3555
3789,3542
109,3533
2704,3530
1538,3527
2200,3526
2505,3498
6100,3497
2075,3453
5836,3445
9138,3433
2967,3419
6496,3419
3753,3415
1879,3404
1993,3399
2014,3382
2603,3381
6671,3376
9350,3375
2782,3359
2146,3352
4744,3351
2746,3345
8998,3310
8456,3306
1542,3294
1605,3292
7287,3275
286,3273
4014,3263
6276,3262
2132,3252
8634,3247
2090,3233
161008,3218
2044,3208
416,3187
999,3168
5908,3165
1907,3155
1987,3154
8184,3153
9208,3143
8625,3138
2638,3126
8107,3126
710,3112
6807,3111
17464,3092
7171,3075
6137,3074
8964,3063
6156,3060
1802,3047
2106,3022
9734,2979
1540,2959
1220,2954
6253,2953
1964,2950
9513,2949
1611,2946
6040,2916
7710,2849
5863,2847
2181,2844
724,2833
4678,2817
6866,2776
489,2769
1999,2760
8328,2736
1880,2727
93,2710
9054,2696
18273,2690
8937,2677
8174,2668
6046,2662
130646,2645
8009,2603
6169,2581
5933,2570
9445,2567
8299,2565
6891,2556
2293,2554
1901,2553
2176,2552
2705,2552
3724,2533
9398,2522
4961,2519
3851,2503
139,2493
10345,2467
8913,2464
148,2461
2330,2459
9144,2459
4717,2458
6176,2454
2063,2446
5261,2445
33411,2440
10440,2438
6778,2434
2119,2433
6986,2428
17449,2423
6035,2420
5864,2416
9072,2406
17390,2402
7743,2382
2871,2378
9195,2374
5904,2336
5851,2322
8697,2321
5260,2318
2896,2311
2771,2304
2333,2296
7001,2289
42783,2287
7961,2283
6814,2281
8453,2280
6021,2275
6900,2255
2962,2250
2350,2247
1699,2241
2155,2237
6181,2218
8470,2206
1958,2201
2839,2199
2319,2194
8812,2186
4138,2177
2434,2171
2595,2171
6561,2166
20721,2155
1980,2139
5947,2137
3469,2133
3813,2133
7995,2123
6239,2121
6702,2113
2127,2101
1977,2098
1806,2096
6180,2094
2103,2087
5955,2082
6877,2082
1533,2080
4368,2078
245,2071
1255,2061
3422,2061
1922,2060
8880,2059
3959,2044
4351,2040
2227,2033
4746,2026
10044,2025
2313,2022
5159,2020
5506,2019
5840,2015
818,2011
1317,2009
11208,2001
2797,1998
9257,1993
6287,1981
1736,1978
2502,1967
9569,1967
4976,1966
2306,1962
20484,1961
8187,1960
1910,1956
2015,1956
7194,1953
1911,1944
1938,1938
2231,1926
7206,1926
9738,1925
11813,1924
3485,1919
92677,1917
6339,1905
2018,1900
2842,1897
17258,1897
6222,1895
745,1886
2711,1882
1509,1876
6528,1875
5838,1873
6141,1863
2798,1860
9371,1856
6587,1854
6762,1854
8438,1853
5859,1852
2716,1851
5873,1848
6512,1844
5828,1836
7044,1833
5967,1832
1229,1831
5894,1823
8457,1823
24068,1823
35798,1821
8753,1816
5822,1815
10617,1812
18390,1809
6296,1806
2673,1799
4008,1798
11964,1797
95494,1792
2158,1786
3161,1785
9693,1784
3638,1777
3535,1774
6574,1774
1419,1773
6215,1769
2554,1754
11965,1754
2874,1751
1196,1748
6888,1739
13043,1735
