email_id,post_count
183340,5486
65,4765
147,4054
146,2667
5912,2228
710,2200
1879,2103
245,2013
11813,1924
9054,1883
1419,1773
11965,1754
726,1663
11940,1616
6394,1514
6395,1438
12318,1404
6308,1292
11964,1291
6356,1203
1488,1188
11850,1147
129,1143
1162,1143
1868,1121
1274,1099
6359,1082
6465,1045
237,1035
12152,995
740,984
6336,972
964,934
1042,933
1174,930
745,929
11647,913
11767,876
1413,860
1261,845
188,840
1458,837
835,822
6058,821
12138,819
6446,798
12132,796
11119,785
1048,782
1220,778
850,777
6228,760
489,753
139,750
12588,746
31999,746
189,736
1196,719
1342,718
40224,714
6473,710
12581,709
1644,703
38816,691
6492,688
11780,687
11970,686
5944,682
880,681
11389,678
11330,677
224,663
10134,654
6494,649
1452,648
980,639
43299,638
68,634
1135,634
6448,634
12309,634
1494,632
931,631
6371,628
21661,624
11773,614
492,609
11994,606
12178,604
12224,603
1148,596
12587,596
1129,592
1186,588
1411,584
185,582
849,577
859,567
1268,565
9914,564
41519,559
11724,558
6330,555
6313,554
63722,553
6344,551
197,546
168,543
229,542
6267,537
913,532
1251,528
11837,528
1651,524
21134,524
8697,517
12008,517
12329,516
1167,514
944,510
11844,509
11715,508
43179,503
1255,502
775,499
15371,497
12020,491
6447,490
10371,489
12116,488
242,486
969,486
1258,486
12168,486
953,483
244,482
11385,475
1319,474
12598,474
16587,474
11648,471
11816,471
1761,470
11570,470
74,465
97626,464
194,463
744,462
137419,462
11479,457
12611,454
178,453
11261,446
354,444
11632,443
11209,441
8458,440
11958,434
8913,431
1816,430
1156,429
12060,428
1387,427
5958,427
1098,420
12192,419
1848,417
10203,417
6352,414
12022,414
12199,412
6388,409
1428,408
12161,408
12333,404
1079,403
9703,402
132,396
742,396
6408,396
22247,396
68412,395
7630,394
6364,393
9841,392
1202,391
592,385
12157,385
1643,384
4710,382
19,381
12078,381
31870,379
922,376
11739,374
11802,374
15232,373
1037,369
11507,369
12428,367
16467,366
169,362
1646,362
1648,362
12098,361
1168,360
11605,359
1065,357
1175,355
11878,355
6363,354
11580,353
3469,351
11439,351
8009,344
864,343
1239,343
67982,343
1030,341
6411,341
1155,340
6377,338
11899,338
6399,337
9254,336
1059,334
11882,333
6379,328
236,326
879,326
10784,326
21949,326
153395,326
12344,325
1269,323
12479,323
97169,323
727,322
6415,321
738,320
12518,319
12599,319
1050,317
11890,315
43162,315
22109,313
203,312
1724,312
1229,311
12565,309
12866,309
858,308
1632,308
1222,307
12209,307
736,306
1021,306
11921,306
43591,306
9873,305
22365,305
16740,304
97269,304
11983,303
12772,303
1456,301
69514,301
1198,299
11595,299
6442,297
97131,296
64,295
11770,295
72807,293
1502,291
205,290
41585,290
70701,290
6288,289
11295,289
98278,289
377,288
12288,287
1332,286
279,285
1010,285
43677,285
66359,285
1479,284
1482,284
10572,284
23171,284
62623,281
12038,280
22065,280
22016,279
6945,277
11908,277
6410,276
6474,275
15832,274
10314,273
1161,272
23193,272
735,271
5849,271
11957,271
16195,271
9309,270
43676,269
786,268
1237,268
1265,266
8457,266
12314,266
12597,266
1478,264
11518,263
11923,263
15705,263
11997,262
55285,262
12520,261
1254,260
12092,260
22379,260
387,259
10086,259
43348,259
4952,256
6436,256
11811,256
12317,256
43358,256
6396,255
11561,255
12744,255
1157,254
11299,254
11622,254
12534,254
32036,253
12525,251
75,250
9694,250
1318,249
22361,249
48731,249
678,248
6466,248
935,246
63798,245
69332,245
11323,244
11394,244
15621,244
12817,243
43631,242
43111,241
12460,240
151656,239
62919,238
156796,238
1317,236
1403,236
6481,236
12326,236
222,234
243,234
12670,234
11867,233
15545,233
39684,233
11843,232
43513,232
875,231
11990,231
148,230
6452,230
16681,230
137430,230
877,228
1348,228
23224,227
9569,226
43322,226
14833,225
10815,224
6397,223
12214,223
140,222
845,222
12404,222
12675,222
23173,222
63837,222
1878,221
6094,221
12803,221
270,220
1080,220
12286,220
12313,218
156732,218
1400,217
1641,217
6449,217
11889,217
1423,216
6315,216
11584,216
6443,215
12730,215
35274,215
783,214
1340,214
6389,214
11722,214
11944,214
25607,214
42507,214
1677,213
40857,213
11927,212
44561,212
23802,211
10807,210
11212,209
12343,208
12879,208
12481,207
11930,206
41726,206
924,205
12236,205
6422,204
746,203
12300,203
1139,202
173,201
1031,201
6453,201
12013,201
22233,201
33106,201
10348,200
12110,200
12332,200
43878,200
11723,199
1539,198
35166,198
43352,198
12775,197
40233,197
43505,197
63749,197
21149,196
97214,196
12842,195
22273,195
22337,195
143218,195
1113,194
9554,194
12579,194
12594,194
12188,193
43326,193
914,192
1061,191
6343,191
12499,191
64103,191
921,190
1212,190
12159,190
997,189
10688,189
12291,189
1052,187
1284,187
9371,187
9983,187
12232,187
62311,187
70318,187
8656,186
11845,186
12830,186
14812,186
34754,186
63593,186
151,185
276,185
1181,185
1416,185
12880,185
15512,185
23156,185
6444,184
9876,184
10601,184
12336,184
12604,184
15295,184
10219,183
12418,183
68134,183
68414,183
11766,182
12045,182
12200,182
309,181
11586,181
12557,181
1056,180
1874,180
6405,180
97615,180
1022,179
12406,179
46056,179
92,178
3440,178
3753,178
903,177
11741,177
12050,177
12244,177
22131,176
23098,176
72057,176
1336,175
12289,175
43770,175
68053,175
2137,174
12195,174
12258,174
64473,174
6192,173
6316,173
11066,173
11847,173
22269,173
1233,172
12086,172
15513,172
43359,172
1354,171
6470,171
11936,170
22059,170
67898,170
70931,170
743,169
1692,169
10099,169
12315,169
16167,169
11495,168
1344,167
6479,167
11216,167
12194,167
63603,167
940,166
10726,165
11173,165
33255,165
54886,165
70797,165
11825,164
43817,164
70250,164
97174,164
157405,164
1144,163
1264,163
33228,163
67578,163
238,162
959,162
1647,162
12099,162
12308,162
43611,162
97725,162
12580,161
1015,160
1438,160
6390,160
51381,159
1287,158
11758,158
41628,158
43302,158
223,157
6386,157
11753,157
12543,157
15707,156
42636,156
68188,156
98295,156
828,155
138334,155
247,154
1277,154
16812,154
21643,154
22053,154
22063,154
43799,154
96981,154
376,153
1011,153
6476,153
15706,153
152333,153
80,152
180,152
1374,152
11759,152
11928,152
12548,152
33229,152
1271,151
12021,151
12235,151
35116,151
67713,151
230,150
899,150
1540,150
46017,150
102548,150
6440,149
12135,149
12704,149
38422,149
67953,149
10802,148
11907,148
12075,148
12498,148
22453,148
11231,147
12198,147
12388,147
31890,147
78081,147
248,146
1486,146
12280,146
138614,146
15479,145
23168,145
67666,145
1259,144
1406,144
1813,144
10394,144
11676,144
35242,144
948,143
12327,143
12361,143
12608,143
12778,143
878,142
12398,142
12647,142
35019,142
67381,142
11100,141
12507,141
22351,141
536,140
1297,140
11359,140
11668,140
12364,140
9387,139
11971,139
12810,139
64008,139
68125,139
77350,139
136627,139
1142,138
12047,138
12158,138
12804,138
12873,138
