email_id,post_count
74,5885
198,4351
13,3850
1434,2975
382,2460
150,2427
1481,2427
92,2389
668,2075
1884,1976
1451,1888
634,1856
1421,1847
1702,1731
629,1684
82,1683
554,1652
695,1467
1767,1416
117,1389
2264,1367
1547,1343
1637,1305
1488,1267
89,1256
1951,1254
2975,1221
1579,1160
321,1157
1493,1128
1542,1121
516,1111
5726,1109
1464,1107
292,1095
87,1084
14,1082
1897,1040
548,1038
1433,1020
1425,1006
2966,1006
1528,1003
1701,971
1437,965
3204,965
2049,938
81,936
663,917
1438,917
3037,914
742,901
519,876
9105,874
595,868
65,850
1028,838
648,833
2372,828
1992,823
1626,820
660,816
646,810
332,809
1586,799
1380,798
3029,784
1585,776
118,775
3303,764
265,756
122,744
1496,733
1066,727
1709,724
1014,719
1909,719
1916,714
1963,710
701,706
1062,702
6641,701
116,695
5279,686
1431,680
1448,676
8646,676
624,657
2502,650
333,642
453,642
635,641
517,640
1016,640
2498,637
8728,631
1001,629
387,626
1885,626
1618,618
2206,617
1487,616
40649,610
64,607
2095,604
104,599
20,591
531,589
1941,585
1995,585
2261,582
90,579
1821,579
362,573
4496,570
1892,569
140,567
3070,567
1432,564
1770,562
2559,559
2855,558
1740,557
1823,555
1960,555
1715,554
1947,548
1644,543
73,538
7107,538
1469,536
2553,530
5728,530
8973,527
1449,524
1459,524
7875,523
3619,522
1486,519
33626,516
1645,513
2183,512
3087,507
1391,506
642,505
1379,503
937,502
1502,502
5778,496
5877,496
66,493
1695,490
2190,489
3050,487
1516,485
200,483
106,481
320,480
184,478
547,477
810,473
1997,472
1509,471
172,468
1009,463
2059,461
1913,458
1815,457
181,456
1435,456
314,453
193,447
7325,447
587,446
556,443
1657,442
8981,441
252,438
1002,435
9610,434
1013,432
1562,431
8801,430
1441,428
1622,427
204,426
259,426
18687,426
725,424
1,423
1005,421
2868,421
2126,418
2742,418
807,415
2595,415
3203,415
3284,415
1022,412
15060,411
2111,410
1551,408
1764,408
2072,406
722,404
410,403
2714,402
623,401
905,399
524,398
1555,398
4336,398
1602,390
909,389
1836,389
550,387
4402,387
6214,387
1731,386
2619,385
5374,385
1546,384
2324,381
25,380
6541,380
1533,379
1446,376
1346,375
1381,375
527,374
948,373
3382,369
979,367
11328,367
625,366
257,365
19755,364
542,363
2355,363
5080,359
10,357
2660,356
1668,354
2484,354
4158,352
80,351
280,348
613,347
5765,345
129,343
131,343
850,343
1970,343
2725,343
1927,342
1703,339
2005,339
863,338
11,337
474,337
32453,334
1687,333
3132,333
8323,333
2028,331
2096,331
5882,331
1420,330
2360,329
1594,328
1601,328
1651,328
577,327
20101,326
988,325
56,324
295,321
2282,321
888,320
1020,319
1480,318
5968,318
367,314
1689,314
2037,314
3210,314
308,311
2431,311
1483,307
3334,307
1624,306
2610,305
2628,305
1479,304
2001,304
2171,302
383,301
2883,301
24904,301
1489,300
748,298
1439,298
1090,297
1912,297
2208,297
5725,297
2791,296
476,295
1507,295
17078,295
3153,293
5593,293
4012,291
973,290
260,289
740,289
1019,289
1877,288
5145,288
546,287
6220,287
10866,287
1474,284
5686,283
5825,283
2221,282
2692,282
8840,282
12354,282
538,281
2482,281
5875,281
95,280
188,280
544,280
2689,279
2657,278
32665,278
11789,277
816,276
630,275
755,275
1571,275
1787,275
3049,275
558,274
2634,274
2234,273
2799,273
2135,272
1603,271
1607,271
12490,271
5603,270
4283,269
1092,267
8742,267
194,265
1677,265
5524,265
6538,265
2085,264
6729,264
1018,263
1848,263
17143,263
365,262
1389,262
1605,262
5469,262
8400,261
101,260
1403,260
9608,260
693,259
1690,259
14797,259
3445,258
407,257
2157,257
3043,257
1095,256
2601,256
10894,256
1980,255
2202,253
72,252
2672,252
2260,251
5597,251
1685,250
2003,250
1665,249
511,248
2410,248
