newsgroup,message_count,share
no.general.mbox,76193,13.3%
no.pc.mbox,31192,5.4%
no.marked.data.mbox,28704,5.0%
no.religion.mbox,23846,4.2%
no.musikk.mbox,22991,4.0%
no.test.mbox,20847,3.6%
no.marked.mbox,19755,3.5%
no.www.mbox,18701,3.3%
no.mac.mbox,17751,3.1%
no.amiga.mbox,17098,3.0%
no.alt.flame.mbox,16139,2.8%
no.linux.mbox,13473,2.4%
no.norsk.mbox,13197,2.3%
no.prat.politikk.mbox,12031,2.1%
no.alt.diskusjoner.mbox,12021,2.1%
no.spill.mbox,10764,1.9%
no.bil.mbox,9805,1.7%
no.film.mbox,9349,1.6%
no.alt.gledesutbrudd.mbox,9296,1.6%
no.ms-windows.mbox,9011,1.6%
no.audio.mbox,8483,1.5%
no.radio-tv.mbox,7816,1.4%
no.vitser.mbox,7563,1.3%
no.news.diverse.mbox,7433,1.3%
no.tele.mbox,7199,1.3%
Top 25,430658,75.2%
