newsgroup,message_count,share
no.general.mbox,76929,12.5%
no.alt.motorsykler.mbox,42787,7.0%
no.alt.frustrasjoner.mbox,35433,5.8%
no.musikk.mbox,27532,4.5%
no.marked.mbox,26922,4.4%
no.pc.mbox,25754,4.2%
no.marked.data.mbox,22686,3.7%
no.mac.mbox,22118,3.6%
no.religion.mbox,20433,3.3%
no.alt.flame.mbox,19938,3.3%
no.norsk.mbox,17385,2.8%
no.linux.mbox,16333,2.7%
no.alt.diskusjoner.mbox,15900,2.6%
no.film.mbox,12514,2.0%
no.spill.mbox,12334,2.0%
no.alt.gledesutbrudd.mbox,11408,1.9%
no.vitser.mbox,10538,1.7%
no.audio.mbox,10350,1.7%
no.news.diverse.mbox,9292,1.5%
no.ms-windows.mbox,8305,1.4%
no.slekt.mbox,8285,1.4%
no.jus.mbox,8009,1.3%
no.bil.mbox,6658,1.1%
no.irc.mbox,6516,1.1%
no.sport.diverse.mbox,6332,1.0%
Top 25,480691,78.4%
