newsgroup,undeclared_qp_messages,total_messages
no.ai.mbox,0,436
no.alkohol.mbox,23,4150
no.alt.activeworlds.mbox,0,775
no.alt.amiga.mbox,0,212
no.alt.arkiv.mbox,0,5690
no.alt.bekymringer.mbox,0,2401
no.alt.bilprat.mbox,0,17006
no.alt.bilstereo.mbox,0,3200
no.alt.config.mbox,2,7006
no.alt.diskusjoner.mbox,111,119961
no.alt.diskusjoner.usa.mbox,0,21039
no.alt.ekspartnere.mbox,0,1652
no.alt.fan.de-lillos.mbox,1,599
no.alt.flame.mbox,39,31945
no.alt.fritid.hytteliv.mbox,0,50
no.alt.frustrasjoner.mbox,10,273279
no.alt.geek.pludring.mbox,0,2002
no.alt.gledesutbrudd.mbox,43,91868
no.alt.god.jul.mbox,17,2798
no.alt.gratulerer.mbox,0,78
no.alt.gullkorn.d.mbox,0,400
no.alt.gullkorn.mbox,0,1286
no.alt.hjemmesider.frontpage.mbox,0,2903
no.alt.hjemmesider.mbox,1,49253
no.alt.hundebitt.mbox,0,150
no.alt.hunder.mbox,3,100411
no.alt.irc-treff.mbox,5,1398
no.alt.jenteprat.mbox,0,9156
no.alt.karlsen+spangelid.mbox,0,1160
no.alt.katter.mbox,13,36903
no.alt.maktmisbruk.psykopati.mbox,0,250
no.alt.marked.seksualitet.mbox,0,550
no.alt.mat.drikke.mbox,20,11503
no.alt.mat.mbox,123,45063
no.alt.motorsykler.mbox,1,177968
no.alt.news-treff.mbox,0,8951
no.alt.pludring.intens.mbox,0,100
no.alt.pludring.mbox,1,70325
no.alt.pompel-og-pilt.mbox,30,1093
no.alt.radio-tv.irma-1000.mbox,5,1542
no.alt.rykter.mbox,0,13708
no.alt.sjokolade.mbox,17,5735
no.alt.tegneserier.mbox,44,23412
no.alt.tegneserier.samlerforum.mbox,0,1203
no.alt.troll.mbox,0,353
no.alt.undring.mbox,2,84343
no.amiga.mbox,148,41649
no.annonser.audio-video.mbox,0,14904
no.annonser.bil.mbox,0,16955
no.annonser.bolig.mbox,0,3499
no.annonser.diskusjon.mbox,0,15152
no.annonser.diverse.mbox,0,23728
no.annonser.dyr.mbox,0,2602
no.annonser.foreldre+barn.mbox,0,750
no.annonser.foto.mbox,1,3952
no.annonser.friluftsliv.mbox,0,1501
no.annonser.it.diverse.mbox,1,15649
no.annonser.it.maskinvare.diverse.mbox,0,29151
no.annonser.it.nettilbydere.mbox,0,1250
no.annonser.it.nettverk.mbox,0,450
no.annonser.it.programvare.diverse.mbox,0,2951
no.annonser.it.telekom.mbox,1,5400
no.annonser.it.unix.mbox,0,500
no.annonser.jobb.onskes.mbox,0,1499
no.annonser.jobb.selvstendig.mbox,0,600
no.annonser.jobb.tilbys.mbox,0,3748
no.annonser.kontakt.diverse.mbox,0,800
no.annonser.maritim.mbox,0,601
no.annonser.motorsykkel.mbox,1,6349
no.annonser.musikk.mbox,0,7651
no.annonser.spill.data.mbox,1,4201
no.annonser.spill.diverse.mbox,0,1349
no.annonser.spill.tv.mbox,0,2654
no.annonser.sykkel.mbox,0,1800
no.audio.mbox,250,21438
no.bibsys.mbox,4,272
no.bil.mbox,152,44201
no.biz.annonser.data.mbox,59,12990
no.biz.annonser.mbox,81,12202
no.biz.diskusjoner.mbox,2,846
no.biz.mbox,1,176
no.biz.nettilbydere.mbox,12,5372
no.bolig.mbox,69,3249
no.c.mbox,28,2346
no.ef.mbox,8,995
no.elektronikk.mbox,151,12035
no.embnet.mbox,2,125
no.eunet.diverse.mbox,0,141
no.eunet.drift.mbox,5,232
no.eunet.hjelp.mbox,1,265
no.fag.diverse.mbox,0,20865
no.fag.filosofi.mbox,0,22964
no.fag.jus.it.mbox,0,6747
no.fag.jus.mbox,1,70572
no.fag.kjemi.mbox,0,6107
no.fag.landbruk.mbox,0,9456
no.fag.medisin.diverse.mbox,1,40832
no.fag.psykologi.generell.mbox,1,58223
no.fag.samfunnsvitenskap.mbox,0,3009
no.fag.sjukepleie.mbox,0,500
no.fag.spraak.diverse.mbox,2,49630
no.fag.spraak.fagord.mbox,1,4312
no.fag.spraak.strid.mbox,0,5400
no.fag.typografi.mbox,0,3000
no.film.mbox,214,22048
no.folklore.edb.mbox,0,792
no.folklore.generelt.mbox,0,134
no.folklore.overtro.mbox,1,533
no.fritid.akvarium.mbox,0,3450
no.fritid.bolig.mbox,0,44093
no.fritid.diverse.mbox,0,2904
no.fritid.dykking.mbox,2,18554
no.fritid.dyr.diverse.mbox,0,5500
no.fritid.fiske.mbox,0,6650
no.fritid.foto.mbox,0,22755
no.fritid.friluftsliv.mbox,0,11099
no.fritid.hage.mbox,0,8100
no.fritid.hobbyverksted.mbox,0,4407
no.fritid.jakt.mbox,0,22501
no.fritid.maritim.mbox,0,11660
no.fritid.modellhobby.mbox,1,18557
no.fritid.reiser.mbox,0,18263
no.fritid.slektsforsking.diverse.mbox,0,19510
no.fritid.slektsforsking.etterlysing.mbox,1,28617
no.fritid.slektsforsking.it.mbox,0,10610
no.fritid.speiding.mbox,0,1751
no.fritid.spill.data.mbox,1,47002
no.fritid.spill.diverse.mbox,0,2349
no.fritid.spill.rollespill.mbox,0,16116
no.fritid.spill.sjakk.mbox,0,2201
no.fritid.sykkel.mbox,0,16855
no.general.mbox,486,168759
no.havforskning.mbox,7,391
no.hobby.diverse.mbox,21,4151
no.irc.mbox,39,6951
no.it.data.xml.mbox,0,1050
no.it.database.diverse.mbox,2,4850
no.it.diverse.mbox,16,58256
no.it.emacs.mbox,6,2668
no.it.grafikk.diverse.mbox,2,5801
no.it.maskinvare.diverse.mbox,0,111000
no.it.maskinvare.grafikkort.mbox,0,13703
no.it.maskinvare.overklokking.mbox,0,11201
no.it.maskinvare.pda.mbox,0,5802
no.it.nettverk.mbox,1,40220
no.it.nostalgi.mbox,1,7912
no.it.os.amiga.diverse.mbox,0,6847
no.it.os.amiga.maskinvare.mbox,1,5601
no.it.os.amiga.programvare.mbox,0,3750
no.it.os.beos.mbox,0,200
no.it.os.mac.diverse.mbox,10,166426
no.it.os.ms-windows.diverse.mbox,5,85561
no.it.os.ms-windows.nettverk.mbox,0,8709
no.it.os.ms-windows.nt.mbox,0,17653
no.it.os.os2.mbox,54,4951
no.it.os.unix.diverse.mbox,2,9154
no.it.os.unix.linux.diverse.mbox,6,121643
no.it.os.unix.linux.nettverk.mbox,3,12289
no.it.programmering.asp.mbox,0,6202
no.it.programmering.c++.mbox,2,8951
no.it.programmering.c.mbox,0,9050
no.it.programmering.delphi.mbox,0,11298
no.it.programmering.diverse.mbox,1,9000
no.it.programmering.dotnet.mbox,0,200
no.it.programmering.java.mbox,2,15254
no.it.programmering.javascript.mbox,0,3851
no.it.programmering.lisp.mbox,0,2635
no.it.programmering.perl.mbox,2,9044
no.it.programmering.php.mbox,0,17858
no.it.programmering.python.mbox,0,950
no.it.programmering.visual-basic.mbox,0,18665
no.it.programvare.emacs.mbox,0,4453
no.it.programvare.ms-office.mbox,0,12110
no.it.programvare.tex.mbox,1,5206
no.it.sikkerhet.diverse.mbox,3,28969
no.it.sikkerhet.virus.mbox,0,5508
no.it.telekom.diverse.mbox,0,9754
no.it.telekom.isdn.mbox,0,9698
no.it.telekom.mobil.mbox,2,48662
no.it.tjenester.irc.mbox,0,1500
no.it.tjenester.mail.diverse.mbox,0,7714
no.it.tjenester.nettilbydere.mbox,1,37109
no.it.tjenester.news.diverse.mbox,0,6053
no.it.tjenester.www.css.mbox,0,950
no.it.tjenester.www.design.mbox,0,30350
no.it.tjenester.www.diverse.mbox,0,19200
no.it.tjenester.www.html.mbox,0,21907
no.it.tjenester.www.programmering.mbox,1,12802
no.jus.mbox,96,18997
no.kjemi.mbox,67,2193
no.kryptografi.mbox,5,1097
no.kultur.diverse.mbox,0,1651
no.kultur.film.mbox,3,79771
no.kultur.folklore.diverse.mbox,0,500
no.kultur.folklore.overtro.mbox,0,901
no.kultur.folklore.ufo.mbox,1,22250
no.kultur.fritid.friluftsliv.mbox,3,1145
no.kultur.genre.sf.mbox,0,3251
no.kultur.humor.mbox,0,13572
no.kultur.litteratur.diverse.mbox,0,11158
no.kultur.musikk.diverse.mbox,2,75951
no.kultur.musikk.gitar.mbox,0,14005
no.kultur.musikk.klassisk.mbox,0,1900
no.kultur.musikk.korps.mbox,3,7751
no.kultur.musikk.produksjon.mbox,0,5102
no.linux.mbox,259,54040
no.lisp.mbox,2,479
no.litteratur.mbox,46,7038
no.lokal.drammen.mbox,0,3606
no.lokal.oslo.mbox,0,600
no.lokal.ringerike.mbox,0,150
no.mac.mbox,604,43233
no.mail.diverse.mbox,18,1988
no.mail.drift.mbox,5,577
no.marked.bil.mbox,28,9435
no.marked.bolig.mbox,21,2387
no.marked.data.mbox,569,77707
no.marked.diskusjon.mbox,11,981
no.marked.jobb.mbox,55,5705
no.marked.mbox,441,47917
no.media.mbox,22,2384
no.medisin.mbox,42,8793
no.ms-windows.mbox,234,29239
no.multimedia.mbox,52,2680
no.musikk.gitar.mbox,49,3641
no.musikk.klassisk.mbox,6,1042
no.musikk.mbox,460,50157
no.net.mbox,36,3893
no.nettvett.mbox,0,20511
no.news.diverse.mbox,51,22544
no.news.drift.mbox,2,750
no.norsk.fagord.mbox,2,2254
no.norsk.mbox,183,22643
no.nuug.mbox,2,221
no.org.diverse.mbox,0,350
no.org.dnd.mbox,1,280
no.org.efn.diskusjon.mbox,7,1136
no.org.efn.nyheter.mbox,0,11
no.org.isoc-no.mbox,2,81
no.org.nobug.diverse.mbox,1,152
no.org.nobug.nytt.mbox,0,65
no.org.nuug.mbox,0,200
no.pc.mbox,721,82469
no.perl.mbox,19,1840
no.prat.aksjer.mbox,8,4448
no.prat.narkotika.mbox,15,7205
no.prat.politikk.mbox,74,59720
no.prat.seksualitet.mbox,54,24838
no.prat.ufo.mbox,32,5863
no.pressemeldinger.diskusjon.mbox,0,150
no.pressemeldinger.mbox,13,788
no.psykologi.mbox,27,8948
no.radio-tv.mbox,148,15235
no.reiser.mbox,22,4344
no.religion.mbox,93,49184
no.samfunn.aksjer.mbox,0,10102
no.samfunn.alkohol.mbox,0,2050
no.samfunn.diverse.mbox,0,3454
no.samfunn.forbruker.mbox,1,17909
no.samfunn.foreldre+barn.mbox,0,33368
no.samfunn.helse.funksjonshemming.diverse.mbox,0,600
no.samfunn.helse.livsstil.mbox,0,3610
no.samfunn.media.diverse.mbox,0,5064
no.samfunn.media.radio-tv.mbox,5,39875
no.samfunn.media.radio-tv.virkelighets-tv.mbox,0,6050
no.samfunn.narkotika.mbox,0,11912
no.samfunn.naturvern.mbox,2,43620
no.samfunn.okonomi.diverse.mbox,0,8008
no.samfunn.politikk.diverse.mbox,2,166472
no.samfunn.politikk.historie.mbox,0,3952
no.samfunn.politikk.innvandring.mbox,3,95561
no.samfunn.politikk.utenriks.mbox,1,44078
no.samfunn.politikk.vaapen.mbox,0,10506
no.samfunn.religion.mbox,2,168287
no.samfunn.seksualitet.mbox,0,24362
no.samfunn.skole.mbox,0,13511
no.samfunn.trafikk.mbox,0,8852
no.skole.diverse.mbox,17,4649
no.slekt.etterlysning.mbox,205,11558
no.slekt.mbox,246,10339
no.slekt.programmer.mbox,75,5116
no.sources.list.mbox,0,305
no.sources.wanted.mbox,3,236
no.speider.mbox,40,1617
no.spill.mbox,142,18836
no.spill.rollespill.mbox,12,2405
no.spill.sjakk.mbox,0,864
no.sport.diverse.mbox,70,10654
no.sport.fotball.mbox,20,180577
no.sport.hockey.mbox,0,703
no.sport.kampkunst.mbox,0,1800
no.sport.motorsport.mbox,0,1200
no.sport.orientering.mbox,11,1556
no.sport.paintball.mbox,1,7653
no.sport.skyting.mbox,0,30490
no.sport.volleyball.mbox,2,3798
no.standard.mbox,0,196
no.stortinget.mbox,20,5400
no.student.nett.mbox,17,741
no.student.samfund.mbox,7,409
no.svar.mbox,0,723
no.sykkel.mbox,120,11520
no.tegnsett.mbox,7,349
no.teknologi.audio.mbox,1,42008
no.teknologi.bil.mbox,2,178192
no.teknologi.diverse.mbox,0,4549
no.teknologi.elektronikk.mbox,0,30410
no.teknologi.hjemmekino.mbox,1,36110
no.teknologi.satellitt-tv.mbox,0,6505
no.teknologi.video.mbox,2,27115
no.tele.mbox,108,13945
no.telepost.mbox,2,198
no.test.mbox,289,82168
no.tex.mbox,7,1590
no.tungregning.mbox,0,146
no.typografi.mbox,15,924
no.uninett.diverse.mbox,5,444
no.uninett.drift.mbox,0,181
no.uninett.hjelp.mbox,1,126
no.uninett.katalog.mbox,3,72
no.uninett.skole.mbox,18,1161
no.unix.mbox,58,7904
no.usenet.admin.mbox,1,19803
no.usenet.informasjon.mbox,0,250
no.velkommen.mbox,0,600
no.video.mbox,34,7692
no.vit.diverse.mbox,26,4542
no.vitser.mbox,205,13706
no.vr.mbox,11,317
no.www.mbox,267,21627
no.x.mbox,8,716
Total,9104,5985471
