newsgroup,ia_only,nb_only,both
no.ai,344,293,37
no.alkohol,3969,3317,118
no.alt.activeworlds,772,0,0
no.alt.amiga,208,718,0
no.alt.arkiv,4730,1037,806
no.alt.bekymringer,2397,0,0
no.alt.bilprat,16957,0,0
no.alt.bilstereo,3191,0,0
no.alt.config,6949,591,30
no.alt.diskusjoner,119316,15448,309
no.alt.diskusjoner.usa,20959,0,0
no.alt.ekspartnere,1645,0,0
no.alt.fan.de-lillos,571,236,3
no.alt.flame,21583,9697,10019
no.alt.fritid.hytteliv,50,0,0
no.alt.frustrasjoner,272688,35183,3
no.alt.geek.pludring,1999,0,0
no.alt.gledesutbrudd,90930,10576,782
no.alt.god.jul,2684,662,86
no.alt.gratulerer,78,0,0
no.alt.gullkorn,1264,7,0
no.alt.gullkorn.d,399,0,0
no.alt.hjemmesider,49076,0,0
no.alt.hjemmesider.frontpage,2877,0,0
no.alt.hundebitt,150,0,0
no.alt.hunder,100078,0,0
no.alt.irc-treff,1355,990,26
no.alt.irctreff,0,488,0
no.alt.jenteprat,9138,0,0
no.alt.karlsen+spangelid,1155,0,0
no.alt.katter,36737,1897,18
no.alt.maktmisbruk.psykopati,249,0,0
no.alt.marked.seksualitet,511,0,0
no.alt.mat,44804,3738,133
no.alt.mat.drikke,11432,731,26
no.alt.motorsykler,177799,42532,1
no.alt.news-treff,8935,0,0
no.alt.pludring,70228,0,0
no.alt.pludring.intens,100,0,0
no.alt.pompel-og-pilt,1021,297,60
no.alt.pompelog,0,282,0
no.alt.radio-tv.irma-1000,1473,189,44
no.alt.radio_tv.irma1000,0,408,0
no.alt.rykter,13658,0,0
no.alt.sjokolade,5640,511,52
no.alt.tegneserier,23041,1962,245
no.alt.tegneserier.samlerforum,1176,0,0
no.alt.troll,346,0,0
no.alt.undring,84206,0,0
no.amiga,41394,3154,88
no.annonser.audio-video,14182,0,0
no.annonser.bil,16344,0,0
no.annonser.bolig,3378,0,0
no.annonser.diskusjon,14926,0,0
no.annonser.diverse,22367,0,0
no.annonser.dyr,2535,0,0
no.annonser.foreldre+barn,737,0,0
no.annonser.foto,3812,0,0
no.annonser.friluftsliv,1445,0,0
no.annonser.it.diverse,14854,0,0
no.annonser.it.maskinvare.diverse,28052,0,0
no.annonser.it.nettilbydere,1225,0,0
no.annonser.it.nettverk,444,0,0
no.annonser.it.programvare.diverse,2843,0,0
no.annonser.it.telekom,5168,0,0
no.annonser.it.unix,496,0,0
no.annonser.jobb.onskes,1411,0,0
no.annonser.jobb.selvstendig,589,0,0
no.annonser.jobb.tilbys,3542,0,0
no.annonser.kontakt.diverse,763,0,0
no.annonser.maritim,580,0,0
no.annonser.motorsykkel,6124,0,0
no.annonser.musikk,7400,0,0
no.annonser.spill.data,4046,0,0
no.annonser.spill.diverse,1256,0,0
no.annonser.spill.tv,2519,0,0
no.annonser.sykkel,1754,0,0
no.audio,20277,9367,835
no.bibsys,259,94,4
no.bil,43658,6277,294
no.biz,146,0,0
no.biz.annonser,10502,2934,438
no.biz.annonser.data,12016,1059,137
no.biz.diskusjoner,726,243,24
no.biz.nettilbydere,5247,764,37
no.bolig,3068,1024,71
no.c,2162,2385,159
no.ef,914,1302,40
no.elektronikk,11574,3482,285
no.embnet,74,357,39
no.eunet.diverse,130,160,7
no.eunet.drift,217,390,1
no.eunet.hjelp,258,590,6
no.fag.diverse,20800,0,0
no.fag.filosofi,22801,0,0
no.fag.jus,70340,0,0
no.fag.jus.it,6733,0,0
no.fag.kjemi,6092,0,0
no.fag.landbruk,9439,0,0
no.fag.medisin.diverse,40691,0,0
no.fag.psykologi.generell,58036,0,0
no.fag.samfunnsvitenskap,2991,0,0
no.fag.sjukepleie,489,0,0
no.fag.spraak.diverse,49521,0,0
no.fag.spraak.fagord,4266,0,0
no.fag.spraak.strid,5385,0,0
no.fag.typografi,2984,0,0
no.film,21074,11607,780
no.folklore.edb,768,147,6
no.folklore.generelt,115,13,2
no.folklore.overtro,512,11,0
no.fritid.akvarium,3440,0,0
no.fritid.bolig,43957,0,0
no.fritid.diverse,2846,0,0
no.fritid.dykking,18431,0,0
no.fritid.dyr.diverse,5482,0,0
no.fritid.fiske,6560,0,0
no.fritid.foto,22651,0,0
no.fritid.friluftsliv,11055,0,0
no.fritid.hage,8077,0,0
no.fritid.hobbyverksted,4390,0,0
no.fritid.jakt,22411,0,0
no.fritid.maritim,11608,0,0
no.fritid.modellhobby,18493,0,0
no.fritid.reiser,18022,0,0
no.fritid.slektsforsking.diverse,19427,0,0
no.fritid.slektsforsking.etterlysing,28317,0,0
no.fritid.slektsforsking.it,10557,0,0
no.fritid.speiding,1741,0,0
no.fritid.spill.data,46737,0,0
no.fritid.spill.diverse,2215,0,0
no.fritid.spill.rollespill,16043,0,0
no.fritid.spill.sjakk,2106,0,0
no.fritid.sykkel,16801,0,0
no.general,165263,73544,2588
no.havforskning,318,464,41
no.hobby.diverse,3977,429,35
no.irc,6601,6188,286
no.it.data.xml,1050,0,0
no.it.database.diverse,4842,0,0
no.it.diverse,57991,500,17
no.it.emacs,2615,1035,19
no.it.grafikk.diverse,5777,0,0
no.it.maskinvare.diverse,110653,0,0
no.it.maskinvare.grafikkort,13664,0,0
no.it.maskinvare.overklokking,11172,0,0
no.it.maskinvare.pda,5773,0,0
no.it.nettverk,40017,0,0
no.it.nostalgi,7884,0,0
no.it.os.amiga.diverse,6833,0,0
no.it.os.amiga.maskinvare,5578,0,0
no.it.os.amiga.programvare,3741,0,0
no.it.os.beos,200,0,0
no.it.os.mac.diverse,166181,0,0
no.it.os.ms-windows.diverse,85290,0,0
no.it.os.ms-windows.nettverk,8662,0,0
no.it.os.ms-windows.nt,17603,0,0
no.it.os.os2,4868,642,42
no.it.os.unix.diverse,9128,0,0
no.it.os.unix.linux.diverse,121332,0,0
no.it.os.unix.linux.nettverk,12223,0,0
no.it.programmering.asp,6183,0,0
no.it.programmering.c,9024,0,0
no.it.programmering.c++,8926,0,0
no.it.programmering.delphi,11246,0,0
no.it.programmering.diverse,8974,0,0
no.it.programmering.dotnet,200,0,0
no.it.programmering.java,15184,0,0
no.it.programmering.javascript,3842,0,0
no.it.programmering.lisp,2627,0,0
no.it.programmering.perl,9019,0,0
no.it.programmering.php,17803,0,0
no.it.programmering.python,944,0,0
no.it.programmering.visual-basic,18493,0,0
no.it.programvare.emacs,4444,0,0
no.it.programvare.ms-office,12035,0,0
no.it.programvare.tex,5186,0,0
no.it.sikkerhet.diverse,28895,0,0
no.it.sikkerhet.virus,5490,0,0
no.it.telekom.diverse,9710,0,0
no.it.telekom.isdn,9665,0,0
no.it.telekom.mobil,48433,0,0
no.it.tjenester.irc,1497,0,0
no.it.tjenester.mail.diverse,7686,0,0
no.it.tjenester.nettilbydere,37015,0,0
no.it.tjenester.news.diverse,6036,0,0
no.it.tjenester.www.css,949,0,0
no.it.tjenester.www.design,30145,0,0
no.it.tjenester.www.diverse,19043,0,0
no.it.tjenester.www.html,21700,0,0
no.it.tjenester.www.programmering,12637,0,0
no.jus,18658,7723,212
no.kjemi,2059,1354,98
no.kryptografi,1071,521,12
no.kultur.diverse,1642,0,0
no.kultur.film,79557,0,0
no.kultur.folklore.diverse,500,0,0
no.kultur.folklore.overtro,892,0,0
