newsgroup,ia_only,nb_only,both
no.ai,288,317,13
no.alkohol,2453,3397,41
no.alt.amiga,131,718,0
no.alt.arkiv,1372,1772,71
no.alt.config,519,611,10
no.alt.diskusjoner,11831,15623,145
no.alt.diskusjoner.usa,1,0,0
no.alt.fan.de-lillos,128,239,0
no.alt.flame,14955,18772,972
no.alt.frustrasjoner,1,35195,0
no.alt.gledesutbrudd,9183,11269,95
no.alt.god.jul,650,735,13
no.alt.gullkorn,1,7,0
no.alt.irc-treff,896,1015,1
no.alt.irctreff,0,488,0
no.alt.katter,1429,1913,2
no.alt.mat,2922,3847,24
no.alt.mat.drikke,957,757,1
no.alt.motorsykler,0,42552,0
no.alt.pompel-og-pilt,468,352,6
no.alt.pompelog,0,282,0
no.alt.radio-tv.irma-1000,306,231,2
no.alt.radio_tv.irma1000,0,410,0
no.alt.sjokolade,1580,563,0
no.alt.tegneserier,1667,2191,20
no.alt.troll,8,0,0
no.amiga,17037,3242,1
no.audio,8215,10052,173
no.bibsys,256,98,0
no.bil,9676,6501,74
no.biz,79,0,0
no.biz.annonser,4797,3317,89
no.biz.annonser.data,3906,1213,3
no.biz.diskusjoner,376,264,6
no.biz.nettilbydere,1651,803,2
no.bolig,1616,1081,17
no.c,1958,2515,35
no.ef,754,1328,17
no.elektronikk,5236,3680,94
no.embnet,78,379,23
no.eunet.diverse,105,160,7
no.eunet.drift,217,391,1
no.eunet.hjelp,259,594,2
no.film,9052,12166,239
no.folklore.edb,367,155,0
no.folklore.generelt,41,17,0
no.folklore.overtro,216,13,0
no.general,74956,75176,994
no.havforskning,260,491,18
no.hobby.diverse,1587,468,0
no.irc,5320,6417,68
no.it.diverse,1170,517,0
no.it.emacs,888,1054,0
no.it.os.os2,1689,685,0
no.jus,6695,7887,56
no.kjemi,1028,1405,48
no.kryptografi,429,533,3
no.kultur.film,1,0,0
no.kultur.fritid.friluftsliv,202,0,0
no.linux,13156,15967,213
no.lisp,463,498,5
no.litteratur,3178,3888,56
no.mac,17325,21583,298
no.mail.diverse,1302,1933,28
no.mail.drift,339,568,1
no.marked,18153,24952,737
no.marked.bil,1886,1530,1
no.marked.bolig,704,694,1
no.marked.data,26943,21029,1071
no.marked.diskusjon,222,76,0
no.marked.jobb,2728,3439,84
no.media,1910,122,0
no.medisin,2218,1481,0
no.ms-windows,8897,8175,17
no.mswindow,0,766,0
no.multimedia,1576,2187,34
no.musikk,22367,26880,444
no.musikk.gitar,1761,2320,43
no.musikk.klassisk,256,274,0
no.net,1582,2047,14
no.news.diverse,7283,9110,82
no.news.drift,361,567,2
no.norsk,13087,17217,64
no.norsk.fagord,674,310,0
no.nuug,140,106,2
no.org.decus,0,25,0
no.org.dnd,97,73,0
no.org.efn.diskusjon,1004,1317,16
no.org.efn.nyheter,2,0,0
no.org.isoc-no,64,46,0
no.org.nobug.diverse,125,119,0
no.org.nobug.nytt,62,0,0
no.pc,30435,24815,495
no.perl,1430,1057,28
no.prat.aksjer,1339,931,3
no.prat.narkotika,2665,2462,2
no.prat.politikk,11994,3638,0
no.prat.seksualitet,5597,3601,0
no.prat.ufo,1248,758,1
no.pressemeldinger,735,62,0
no.pressemeldinger.diskusjon,109,42,0
no.psykologi,2012,1696,15
no.radio-tv,7757,4345,30
no.radio_tv,0,1656,0
no.reiser,1180,1965,0
no.religion,23338,19923,392
no.samfunn.politikk.diverse,1,0,0
no.samfunn.politikk.utenriks,1,0,0
no.samfunn.religion,1,0,0
no.skole.diverse,1263,559,0
no.slekt,4346,7528,577
no.slekt.etterlysning,3251,3052,1
no.slekt.programmer,2626,456,0
no.sources.list,144,72,1
no.sources.wanted,166,140,11
no.speider,1020,1424,25
no.spill,10422,11903,213
no.spill.rollespill,1411,1010,0
no.spill.sjakk,389,267,1
no.sport.diverse,4218,6100,128
no.sport.fotball,1696,2321,0
no.sport.orientering,365,63,0
no.sport.volleyball,469,156,0
no.standard,127,96,2
no.stortinget,2078,2549,6
no.student.nett,469,400,8
no.student.samfund,285,228,4
no.svar,69,84,0
no.sykkel,5497,3822,131
no.tegnsett,262,411,3
no.tele,7118,5614,47
no.telepost,161,899,19
no.test,18891,3098,55
no.tex,536,224,0
no.tungregning,110,92,0
no.typografi,504,294,5
no.uninett.diverse,370,203,2
no.uninett.drift,117,100,10
no.uninett.fik,0,47,0
no.uninett.hjelp,82,74,4
no.uninett.katalog,57,30,0
no.uninett.skole,857,801,13
no.unix,4220,3814,101
no.velkommen,114,0,0
no.video,1812,507,0
no.vit.diverse,1394,616,0
no.vitser,7305,10210,204
no.vr,152,138,3
no.www,18598,3391,1
no.x,370,363,15
