newsgroup,ia_only,nb_only,both
no.ai,180,77,255
no.alkohol,1893,1215,2247
no.alt.activeworlds,775,0,0
no.alt.amiga,211,748,0
no.alt.arkiv,4357,635,1333
no.alt.bekymringer,2400,0,0
no.alt.bilprat,16997,0,0
no.alt.bilstereo,3200,0,0
no.alt.config,6577,206,418
no.alt.diskusjoner,108815,4723,11095
no.alt.diskusjoner.usa,21000,0,0
no.alt.ekspartnere,1650,0,0
no.alt.fan.de-lillos,554,200,44
no.alt.flame,17305,5299,14607
no.alt.fritid.hytteliv,50,0,0
no.alt.frustrasjoner,273214,35248,0
no.alt.geek.pludring,2000,0,0
no.alt.gledesutbrudd,83466,3009,8367
no.alt.god.jul,2259,215,537
no.alt.gratulerer,78,0,0
no.alt.gullkorn,1286,7,0
no.alt.gullkorn.d,400,0,0
no.alt.hjemmesider,49245,0,0
no.alt.hjemmesider.frontpage,2900,0,0
no.alt.hundebitt,150,0,0
no.alt.hunder,100393,0,0
no.alt.irc-treff,669,289,728
no.alt.irctreff,0,491,0
no.alt.jenteprat,9149,0,0
no.alt.karlsen+spangelid,1160,0,0
no.alt.katter,36397,1432,494
no.alt.maktmisbruk.psykopati,250,0,0
no.alt.marked.seksualitet,550,0,0
no.alt.mat,42391,1245,2651
no.alt.mat.drikke,11016,280,478
no.alt.motorsykler,177946,42712,0
no.alt.news-treff,8949,0,0
no.alt.pludring,70295,0,0
no.alt.pludring.intens,100,0,0
no.alt.pompel-og-pilt,794,68,299
no.alt.pompelog,0,284,0
no.alt.radio-tv.irma-1000,1354,50,187
no.alt.radio_tv.irma1000,0,409,0
no.alt.rykter,13697,0,0
no.alt.sjokolade,5283,121,451
no.alt.tegneserier,21938,783,1452
no.alt.tegneserier.samlerforum,1200,0,0
no.alt.troll,352,0,0
no.alt.undring,84300,0,0
no.amiga,38924,555,2699
no.annonser.audio-video,14849,0,0
no.annonser.bil,16947,0,0
no.annonser.bolig,3499,0,0
no.annonser.diskusjon,15149,0,0
no.annonser.diverse,23698,0,0
no.annonser.dyr,2600,0,0
no.annonser.foreldre+barn,750,0,0
no.annonser.foto,3949,0,0
no.annonser.friluftsliv,1500,0,0
no.annonser.it.diverse,15649,0,0
no.annonser.it.maskinvare.diverse,29147,0,0
no.annonser.it.nettilbydere,1250,0,0
no.annonser.it.nettverk,450,0,0
no.annonser.it.programvare.diverse,2949,0,0
no.annonser.it.telekom,5399,0,0
no.annonser.it.unix,500,0,0
no.annonser.jobb.onskes,1499,0,0
no.annonser.jobb.selvstendig,600,0,0
no.annonser.jobb.tilbys,3747,0,0
no.annonser.kontakt.diverse,799,0,0
no.annonser.maritim,600,0,0
no.annonser.motorsykkel,6348,0,0
no.annonser.musikk,7650,0,0
no.annonser.spill.data,4198,0,0
no.annonser.spill.diverse,1349,0,0
no.annonser.spill.tv,2650,0,0
