newsgroup,ia_only,nb_only,both
no.ai,264,293,37
no.alkohol,2377,3317,118
no.alt.amiga,131,718,0
no.alt.arkiv,635,1037,806
no.alt.config,498,591,30
no.alt.diskusjoner,11656,15448,309
no.alt.fan.de-lillos,124,236,3
no.alt.flame,5899,9697,10019
no.alt.frustrasjoner,0,35186,0
no.alt.gledesutbrudd,8492,10576,782
no.alt.god.jul,575,662,86
no.alt.gullkorn,1,7,0
no.alt.irc-treff,871,990,26
no.alt.irctreff,0,488,0
no.alt.katter,1412,1897,18
no.alt.mat,2813,3738,133
no.alt.mat.drikke,931,731,26
no.alt.motorsykler,0,42533,0
no.alt.pompel-og-pilt,413,297,60
no.alt.pompelog,0,282,0
no.alt.radio-tv.irma-1000,263,189,44
no.alt.radio_tv.irma1000,0,408,0
no.alt.sjokolade,1526,511,52
no.alt.tegneserier,1438,1962,245
no.alt.troll,8,0,0
no.amiga,16940,3154,88
no.audio,7544,9367,835
no.bibsys,252,94,4
no.bil,9457,6277,294
no.biz,79,0,0
no.biz.annonser,4395,2934,438
no.biz.annonser.data,3729,1059,137
no.biz.diskusjoner,356,243,24
no.biz.nettilbydere,1612,764,37
no.bolig,1559,1024,71
no.c,1834,2385,159
no.ef,731,1302,40
no.elektronikk,5033,3482,285
no.embnet,60,357,39
no.eunet.diverse,105,160,7
no.eunet.drift,214,390,1
no.eunet.hjelp,255,590,6
no.film,8505,11607,780
no.folklore.edb,361,147,6
no.folklore.generelt,39,13,2
no.folklore.overtro,215,11,0
no.general,73343,73544,2588
no.havforskning,237,464,41
no.hobby.diverse,1548,429,35
no.irc,5099,6188,286
no.it.diverse,1154,501,16
no.it.emacs,869,1035,19
no.it.os.os2,1647,642,42
no.jus,6538,7723,212
no.kjemi,977,1354,98
no.kryptografi,420,521,12
no.kultur.fritid.friluftsliv,202,0,0
no.linux,12449,15241,916
no.lisp,451,487,16
no.litteratur,2985,3690,246
no.mac,16458,20703,1156
no.mail.diverse,1252,1881,75
no.mail.drift,324,552,16
no.marked,15701,22439,3075
no.marked.bil,1786,1430,89
no.marked.bolig,678,670,23
no.marked.data,24317,18412,3588
no.marked.diskusjon,219,73,3
no.marked.jobb,2340,3038,452
no.media,1904,116,5
no.medisin,2154,1419,61
no.ms-windows,8740,8016,167
no.mswindow,0,764,0
no.multimedia,1419,2024,188
no.musikk,21083,25583,1720
no.musikk.gitar,1578,2135,223
no.musikk.klassisk,245,262,11
no.net,1513,1974,84
no.news.diverse,7077,8903,283
no.news.drift,350,555,13
no.norsk,12768,16890,379
no.norsk.fagord,662,298,12
no.nuug,134,100,7
no.org.decus,0,25,0
no.org.dnd,92,68,5
no.org.efn.diskusjon,983,1295,37
no.org.efn.nyheter,2,0,0
no.org.isoc-no,64,46,0
no.org.nobug.diverse,123,117,2
no.org.nobug.nytt,61,0,0
no.pc,29553,23911,1370
no.perl,1355,980,103
no.prat.aksjer,1298,890,43
no.prat.narkotika,2637,2430,29
no.prat.politikk,11942,3594,43
no.prat.seksualitet,5531,3535,65
no.prat.ufo,1191,692,65
no.pressemeldinger,734,62,0
no.pressemeldinger.diskusjon,108,42,0
no.psykologi,1960,1646,62
no.radio-tv,7486,4078,295
no.radio_tv,0,1653,0
no.reiser,1086,1870,90
no.religion,22714,19297,1007
no.skole.diverse,1251,548,10
no.slekt,3939,7106,973
no.slekt.etterlysning,3096,2890,146
no.slekt.programmer,2607,436,19
no.sources.list,139,67,6
no.sources.wanted,147,120,30
no.speider,986,1387,58
no.spill,9641,11123,981
no.spill.rollespill,1380,980,29
no.spill.sjakk,316,194,73
no.sport.diverse,4011,5869,341
no.sport.fotball,1696,2319,0
no.sport.orientering,360,57,5
no.sport.volleyball,457,144,11
no.standard,116,85,13
no.stortinget,2021,2491,62
no.student.nett,427,357,50
no.student.samfund,272,214,17
no.svar,62,81,0
no.sykkel,5349,3649,294
no.tegnsett,254,403,11
no.tele,6938,5434,219
no.telepost,156,893,24
no.test,17764,2216,917
no.tex,518,206,18
no.tungregning,104,86,6
no.typografi,482,272,27
no.uninett.diverse,361,195,10
no.uninett.drift,96,79,30
no.uninett.fik,0,47,0
no.uninett.hjelp,80,72,6
no.uninett.katalog,56,28,1
no.uninett.skole,838,782,32
no.unix,4082,3675,231
no.velkommen,114,0,0
no.video,1764,458,46
no.vit.diverse,1384,605,10
no.vitser,6447,9330,1056
no.vr,136,122,19
no.www,18488,3288,104
no.x,349,342,36
