from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.alt.flame,unknown,31500,156932,49658
no.general,no.alt.diskusjoner,30208,572652,195646
no.alt.diskusjoner,no.general,24731,168368,81207
no.general,unknown,18802,572652,195646
no.general,no.prat.politikk,18223,572652,195646
no.prat.politikk,no.general,15517,51683,26609
no.general,no.norsk,11843,572652,195646
no.religion,unknown,11692,143204,29159
no.alt.frustrasjoner,no.general,11234,142818,41663
no.general,no.alt.frustrasjoner,10969,572652,195646
no.norsk,no.general,10950,107590,28991
no.religion,no.general,10863,143204,29159
no.general,no.religion,9640,572652,195646
no.general,no.irc,9022,572652,195646
no.general,no.jus,8434,572652,195646
no.alt.motorsykler,unknown,7634,272638,18101
no.general,no.alt.flame,6170,572652,195646
no.irc,no.general,6138,53520,29112
no.alt.flame,no.general,6034,156932,49658
no.general,no.ef,5711,572652,195646
no.jus,no.general,5688,59888,34547
no.news.diverse,no.general,5160,62629,27354
no.alt.diskusjoner,unknown,5153,168368,81207
no.alt.diskusjoner,no.irc,5133,168368,81207
no.general,no.stortinget,4865,572652,195646
no.alt.diskusjoner,no.alt.frustrasjoner,4771,168368,81207
no.alt.diskusjoner,no.stortinget,4741,168368,81207
no.stortinget,no.alt.diskusjoner,4713,30197,14787
no.alt.diskusjoner,no.jus,4356,168368,81207
no.jus,no.alt.diskusjoner,4228,59888,34547
no.prat.narkotika,no.alkohol,4216,19057,7971
no.irc,no.alt.diskusjoner,4131,53520,29112
no.alkohol,no.prat.narkotika,4123,26420,13785
no.musikk,unknown,4020,140052,23221
no.general,no.news.diverse,3996,572652,195646
no.alt.diskusjoner,no.ef,3926,168368,81207
no.alt.frustrasjoner,unknown,3785,142818,41663
no.ef,no.alt.diskusjoner,3705,29077,23384
no.stortinget,no.general,3667,30197,14787
no.norsk,unknown,3369,107590,28991
no.alt.diskusjoner,no.religion,3331,168368,81207
no.alt.frustrasjoner,no.alt.diskusjoner,3315,142818,41663
no.general,no.marked,3181,572652,195646
no.prat.politikk,no.stortinget,3111,51683,26609
no.general,no.pc,3023,572652,195646
no.prat.seksualitet,unknown,3008,25183,3836
no.alt.frustrasjoner,no.alt.gledesutbrudd,2981,142818,41663
no.religion,no.alt.diskusjoner,2969,143204,29159
no.alt.frustrasjoner,no.pc,2915,142818,41663
no.ef,no.general,2896,29077,23384
no.marked.data,no.marked,2879,33874,20913
no.general,no.skole.diverse,2853,572652,195646
no.marked,no.marked.data,2827,50284,36323
no.jus,unknown,2649,59888,34547
no.ms-windows,no.pc,2580,21902,9781
no.psykologi,no.alt.diskusjoner,2579,17960,9534
no.pc,no.ms-windows,2541,72503,28078
no.pc,no.general,2527,72503,28078
no.jus,no.irc,2395,59888,34547
no.pc,unknown,2374,72503,28078
no.pc,no.alt.frustrasjoner,2359,72503,28078
no.alt.diskusjoner,no.news.diverse,2337,168368,81207
no.prat.politikk,no.norsk,2286,51683,26609
no.tele,no.general,2225,19324,7115
no.general,no.org.efn.diskusjon,2166,572652,195646
no.alt.diskusjoner,no.psykologi,2069,168368,81207
no.alt.gledesutbrudd,no.alt.frustrasjoner,2060,34672,9680
no.alt.motorsykler,no.bil,2008,272638,18101
no.norsk,no.prat.politikk,1984,107590,28991
no.prat.politikk,no.skole.diverse,1968,51683,26609
no.org.efn.diskusjon,no.general,1957,11860,7006
no.skole.diverse,no.norsk,1941,7597,5491
no.marked,no.multimedia,1921,50284,36323
no.musikk,no.marked,1920,140052,23221
no.general,no.net,1910,572652,195646
no.alkohol,no.general,1909,26420,13785
