from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.alt.flame,unknown,4239,16830,5387
no.general,no.alt.diskusjoner,2534,47032,13121
no.general,unknown,2408,47032,13121
no.alt.diskusjoner,no.general,2362,10536,4821
no.alt.frustrasjoner,no.general,1488,21167,4522
no.general,no.alt.frustrasjoner,1244,47032,13121
no.norsk,no.general,1106,11325,2296
no.prat.politikk,no.general,1069,2527,1425
no.general,no.prat.politikk,1029,47032,13121
no.general,no.norsk,969,47032,13121
no.religion,no.general,933,14266,2206
no.alt.frustrasjoner,unknown,932,21167,4522
no.general,no.religion,915,47032,13121
no.religion,unknown,878,14266,2206
no.jus,no.general,783,5232,1998
no.alt.motorsykler,unknown,726,26896,1305
no.alt.frustrasjoner,no.alt.gledesutbrudd,717,21167,4522
no.general,no.jus,695,47032,13121
no.news.diverse,no.general,674,6024,2109
no.general,no.alt.flame,638,47032,13121
no.alt.flame,no.general,628,16830,5387
no.general,no.irc,620,47032,13121
no.marked.data,no.marked,617,4910,1299
no.alt.gledesutbrudd,no.alt.frustrasjoner,611,6405,1220
no.marked,no.marked.data,611,4847,1840
no.pc,unknown,610,12883,2791
no.irc,no.general,598,3970,1022
no.alt.diskusjoner,unknown,594,10536,4821
no.ms-windows,no.pc,546,4123,936
no.musikk,unknown,546,15532,1497
no.norsk,unknown,541,11325,2296
no.alt.diskusjoner,no.alt.frustrasjoner,537,10536,4821
no.pc,no.ms-windows,536,12883,2791
no.general,no.news.diverse,517,47032,13121
no.alt.frustrasjoner,no.alt.diskusjoner,512,21167,4522
no.film,unknown,400,6949,1035
no.jus,unknown,400,5232,1998
no.general,no.pc,395,47032,13121
no.pc,no.general,384,12883,2791
no.stortinget,no.alt.diskusjoner,368,1495,626
no.alt.diskusjoner,no.stortinget,357,10536,4821
no.general,no.stortinget,354,47032,13121
no.unix,no.linux,351,2325,766
no.mac,unknown,347,11681,1053
no.general,no.ef,345,47032,13121
no.pc,no.marked.data,345,12883,2791
no.news.diverse,unknown,338,6024,2109
no.alt.diskusjoner,no.irc,336,10536,4821
no.linux,no.unix,333,8833,1209
no.ef,no.alt.diskusjoner,329,866,633
no.jus,no.alt.diskusjoner,329,5232,1998
no.irc,no.alt.diskusjoner,327,3970,1022
no.stortinget,no.general,327,1495,626
no.ef,no.general,326,866,633
no.alt.diskusjoner,no.ef,325,10536,4821
no.marked.data,no.pc,321,4910,1299
no.alt.diskusjoner,no.religion,319,10536,4821
no.prat.narkotika,no.alkohol,319,1591,613
no.religion,no.alt.diskusjoner,313,14266,2206
no.alt.diskusjoner,no.jus,310,10536,4821
no.alkohol,no.prat.narkotika,305,2049,918
no.musikk,no.marked,303,15532,1497
no.org.efn.diskusjon,no.general,299,869,491
no.vitser,unknown,297,4950,665
no.biz.annonser,no.marked.data,292,746,501
no.marked.data,no.biz.annonser,285,4910,1299
no.general,no.org.efn.diskusjon,284,47032,13121
no.marked,unknown,283,4847,1840
no.biz.annonser,no.marked,276,746,501
no.marked,no.musikk,276,4847,1840
no.alt.gledesutbrudd,unknown,275,6405,1220
no.linux,unknown,274,8833,1209
no.pc,no.marked,269,12883,2791
no.marked,no.biz.annonser,267,4847,1840
no.audio,unknown,262,4947,852
no.marked,no.pc,261,4847,1840
no.alkohol,no.general,252,2049,918
no.alt.frustrasjoner,no.pc,248,21167,4522
no.general,no.marked,246,47032,13121
no.psykologi,no.alt.diskusjoner,238,1209,553
no.alt.diskusjoner,no.psykologi,233,10536,4821
no.pc,no.alt.frustrasjoner,232,12883,2791
no.general,no.alkohol,229,47032,13121
no.tele,no.general,229,3203,694
no.jus,no.irc,228,5232,1998
no.slekt,unknown,227,2669,367
no.irc,unknown,226,3970,1022
no.alt.diskusjoner,no.news.diverse,223,10536,4821
no.multimedia,no.marked,223,954,581
no.marked,no.multimedia,220,4847,1840
no.prat.politikk,no.stortinget,220,2527,1425
no.general,no.tele,218,47032,13121
no.spill,unknown,213,5773,631
no.pc,no.spill,212,12883,2791
no.alkohol,no.alt.diskusjoner,210,2049,918
no.general,no.net,209,47032,13121
no.alt.diskusjoner,no.alkohol,208,10536,4821
no.alt.mat,no.general,207,2055,461
no.irc,no.jus,204,3970,1022
no.pc,no.mac,203,12883,2791
no.marked,no.general,202,4847,1840
no.linux,no.pc,201,8833,1209
no.spill,no.pc,198,5773,631
no.news.diverse,no.alt.diskusjoner,196,6024,2109
no.general,no.mail.diverse,195,47032,13121
no.mac,no.pc,195,11681,1053
no.marked.data,unknown,195,4910,1299
no.radio-tv,no.general,195,2524,676
no.ms-windows,unknown,193,4123,936
no.audio,no.film,190,4947,852
no.alt.flame,no.alt.diskusjoner,189,16830,5387
no.audio,no.marked,188,4947,852
no.alt.frustrasjoner,no.news.diverse,187,21167,4522
no.film,no.audio,185,6949,1035
no.net,no.general,185,1110,523
no.marked,no.audio,184,4847,1840
no.telepost,no.general,183,537,316
no.pc,no.linux,182,12883,2791
no.general,no.litteratur,181,47032,13121
no.general,no.telepost,180,47032,13121
no.mail.diverse,no.general,179,1099,512
no.norsk,no.prat.politikk,179,11325,2296
no.prat.politikk,no.alt.diskusjoner,179,2527,1425
no.alt.frustrasjoner,no.norsk,175,21167,4522
no.musikk,no.general,175,15532,1497
no.news.diverse,no.alt.frustrasjoner,175,6024,2109
no.norsk,no.alt.frustrasjoner,175,11325,2296
no.general,no.multimedia,174,47032,13121
no.news.diverse,no.mac,172,6024,2109
no.sport.diverse,unknown,171,3164,378
no.bil,unknown,170,3441,496
no.mac,no.marked,167,11681,1053
no.musikk,no.audio,166,15532,1497
no.general,no.alt.mat,165,47032,13121
no.marked,no.mac,164,4847,1840
no.alt.frustrasjoner,no.vitser,163,21167,4522
no.pc,no.elektronikk,163,12883,2791
no.elektronikk,no.pc,162,1832,584
no.norsk,no.jus,162,11325,2296
no.pc,no.multimedia,162,12883,2791
no.linux,no.marked,160,8833,1209
no.tele,unknown,160,3203,694
no.bil,no.alt.motorsykler,159,3441,496
no.general,no.radio-tv,159,47032,13121
no.marked,no.marked.jobb,159,4847,1840
no.musikk.gitar,no.musikk,159,910,220
no.litteratur,no.general,158,2060,485
no.mac,no.multimedia,158,11681,1053
no.marked,no.linux,158,4847,1840
no.marked.data,no.biz.annonser.data,158,4910,1299
no.marked.jobb,no.marked,158,766,318
no.mail.diverse,no.mail.drift,157,1099,512
no.mail.drift,no.mail.diverse,157,307,207
no.alt.motorsykler,no.bil,156,26896,1305
no.film,no.general,156,6949,1035
no.jus,no.org.efn.diskusjon,156,5232,1998
no.multimedia,no.pc,156,954,581
no.general,no.skole.diverse,155,47032,13121
no.multimedia,no.general,155,954,581
no.multimedia,no.mac,155,954,581
no.audio,no.musikk,154,4947,852
no.radio-tv,unknown,154,2524,676
no.biz.annonser.data,no.marked.data,153,276,193
no.general,no.audio,153,47032,13121
no.alt.gledesutbrudd,no.general,152,6405,1220
no.alt.motorsykler,no.general,152,26896,1305
no.general,no.alt.gledesutbrudd,151,47032,13121
no.general,no.musikk,151,47032,13121
no.norsk,no.skole.diverse,150,11325,2296
no.musikk,no.musikk.gitar,149,15532,1497
no.skole.diverse,no.norsk,149,350,231
no.prat.politikk,no.skole.diverse,148,2527,1425
no.linux,no.general,147,8833,1209
no.prat.politikk,no.norsk,146,2527,1425
no.skole.diverse,no.general,146,350,231
no.alt.frustrasjoner,no.jus,145,21167,4522
no.audio,no.multimedia,145,4947,852
no.skole.diverse,no.prat.politikk,145,350,231
no.alkohol,unknown,144,2049,918
no.audio,no.general,144,4947,852
no.multimedia,no.audio,142,954,581
no.news.diverse,no.mail.diverse,142,6024,2109
no.general,no.film,139,47032,13121
no.unix,unknown,139,2325,766
no.mail.diverse,no.marked,138,1099,512
no.jus,no.alt.frustrasjoner,137,5232,1998
no.vitser,no.alt.frustrasjoner,137,4950,665
no.alt.flame,no.alt.frustrasjoner,136,16830,5387
no.linux,no.net,136,8833,1209
no.marked.data,no.mac,136,4910,1299
no.alt.diskusjoner,no.prat.seksualitet,135,10536,4821
no.alt.frustrasjoner,no.marked,135,21167,4522
no.mac,no.marked.data,135,11681,1053
no.ms-windows,no.marked.data,135,4123,936
no.norsk,no.alt.diskusjoner,135,11325,2296
no.ef,no.c,134,866,633
no.elektronikk,no.marked,134,1832,584
no.net,no.linux,134,1110,523
no.c,no.ef,131,1412,303
