newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.folklore.generelt,no.folklore.overtro,13,9,7,0.4666666666666667
no.embnet,no.havforskning,218,344,157,0.38765432098765434
no.ef,no.embnet,510,218,185,0.3406998158379374
no.alt.frustrasjoner,no.alt.gledesutbrudd,3039,1620,1159,0.3311428571428571
no.sources.list,no.uninett.katalog,31,20,12,0.3076923076923077
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,202,202,95,0.3074433656957929
no.mail.diverse,no.mail.drift,900,373,297,0.3043032786885246
no.ai,no.alt.arkiv,179,130,64,0.2612244897959184
no.alt.diskusjoner,no.alt.frustrasjoner,2182,3039,1070,0.2577692122380149
no.embnet,no.lisp,218,203,85,0.25297619047619047
no.student.nett,no.student.samfund,300,147,89,0.24860335195530725
no.alt.radio-tv.irma-1000,no.embnet,202,218,83,0.24629080118694363
no.marked,no.marked.data,8022,6029,2768,0.24532482495790126
no.eunet.diverse,no.eunet.drift,100,125,44,0.2430939226519337
no.alt.pompel-og-pilt,no.embnet,202,218,82,0.24260355029585798
no.kjemi,no.mail.drift,663,373,199,0.23775388291517324
no.eunet.drift,no.eunet.hjelp,125,225,67,0.23674911660777384
no.alt.radio-tv.irma-1000,no.lisp,202,203,77,0.2347560975609756
no.sources.list,no.tungregning,31,51,15,0.22388059701492538
no.alt.pompel-og-pilt,no.lisp,202,203,73,0.21987951807228914
no.alt.arkiv,no.alt.config,130,327,81,0.2154255319148936
no.lisp,no.mail.drift,203,373,102,0.21518987341772153
no.ef,no.havforskning,510,344,151,0.2147937411095306
no.alt.frustrasjoner,no.general,3039,5597,1513,0.21241050119331742
no.mail.diverse,no.net,900,1071,341,0.20920245398773007
no.alt.diskusjoner,no.general,2182,5597,1343,0.2086699813548788
no.alt.pompelog,no.alt.radio_tv.irma1000,143,209,60,0.2054794520547945
no.c,no.ef,940,510,246,0.20431893687707642
no.slekt,no.slekt.etterlysning,1727,869,440,0.20408163265306123
no.tungregning,no.uninett.katalog,51,20,12,0.2033898305084746
no.uninett.drift,no.uninett.hjelp,68,69,23,0.20175438596491227
no.embnet,no.mail.drift,218,373,99,0.20121951219512196
no.alt.diskusjoner,no.alt.gledesutbrudd,2182,1620,634,0.20012626262626262
no.nuug,no.sources.list,83,31,19,0.2
no.ms-windows,no.pc,2258,5333,1253,0.19769643420637426
no.alt.diskusjoner,no.news.diverse,2182,1726,640,0.19583843329253367
no.alt.radio-tv.irma-1000,no.mail.drift,202,373,94,0.19542619542619544
no.marked.data,no.pc,6029,5333,1845,0.1938636124829253
no.c,no.embnet,940,218,188,0.19381443298969073
no.sources.list,no.standard,31,69,16,0.19047619047619047
no.uninett.hjelp,no.uninett.katalog,69,20,14,0.18666666666666668
no.havforskning,no.kjemi,344,663,157,0.18470588235294116
no.alt.diskusjoner,no.norsk,2182,1808,610,0.1804733727810651
no.havforskning,no.mail.drift,344,373,109,0.17927631578947367
no.alt.frustrasjoner,no.news.diverse,3039,1726,724,0.1791635733729275
no.embnet,no.eunet.diverse,218,100,48,0.17777777777777778
no.alt.diskusjoner,no.jus,2182,1720,588,0.17742908871454435
no.havforskning,no.lisp,344,203,82,0.17634408602150536
no.kjemi,no.mail.diverse,663,900,234,0.17607223476297967
no.mail.drift,no.net,373,1071,214,0.17398373983739837
no.uninett.drift,no.uninett.katalog,68,20,13,0.17333333333333334
no.ef,no.lisp,510,203,105,0.17269736842105263
no.sources.list,no.sources.wanted,31,126,23,0.17164179104477612
no.ai,no.alt.config,179,327,74,0.1712962962962963
no.mail.drift,no.news.drift,373,314,100,0.17035775127768313
no.alt.gledesutbrudd,no.news.diverse,1620,1726,482,0.16829608938547486
no.jus,no.news.diverse,1720,1726,493,0.166948865560447
no.bibsys,no.embnet,69,218,41,0.16666666666666666
no.uninett.diverse,no.uninett.drift,149,68,31,0.16666666666666666
no.news.diverse,no.norsk,1726,1808,502,0.16556728232189974
no.alt.mat,no.alt.mat.drikke,1172,420,225,0.1645940014630578
no.alt.radio-tv.irma-1000,no.havforskning,202,344,77,0.16417910447761194
no.ef,no.mail.drift,510,373,124,0.16337285902503293
no.linux,no.unix,2858,1069,549,0.1625222024866785
no.mail.diverse,no.news.diverse,900,1726,366,0.16194690265486725
no.alt.pompel-og-pilt,no.havforskning,202,344,76,0.16170212765957448
no.alt.god.jul,no.alt.pompel-og-pilt,459,202,91,0.15964912280701754
no.uninett.diverse,no.uninett.hjelp,149,69,30,0.1595744680851064
no.net,no.news.diverse,1071,1726,380,0.15721969383533305
no.multimedia,no.net,1241,1071,314,0.15715715715715717
no.standard,no.uninett.katalog,69,20,12,0.15584415584415584
no.bil,no.marked.bil,1461,875,313,0.1547207118141374
no.marked,no.pc,8022,5333,1786,0.15437807934998704
no.alt.frustrasjoner,no.norsk,3039,1808,647,0.15404761904761904
no.standard,no.tungregning,69,51,16,0.15384615384615385
no.news.drift,no.org.efn.diskusjon,314,357,89,0.15292096219931273
no.alt.god.jul,no.ef,459,510,128,0.15219976218787157
no.alt.radio-tv.irma-1000,no.ef,202,510,94,0.15210355987055016
no.bolig,no.marked.bolig,608,538,151,0.15175879396984926
no.jus,no.norsk,1720,1808,463,0.15106035889070146
no.alt.pompel-og-pilt,no.mail.drift,202,373,75,0.15
no.irc,no.jus,1348,1720,400,0.14992503748125938
no.general,no.pc,5597,5333,1421,0.14943737511830896
no.alt.pompel-og-pilt,no.ef,202,510,92,0.14838709677419354
no.general,no.news.diverse,5597,1726,942,0.1476257639868359
no.alt.god.jul,no.embnet,459,218,87,0.14745762711864407
no.alt.frustrasjoner,no.jus,3039,1720,608,0.14647072994459168
no.mail.diverse,no.multimedia,900,1241,273,0.14614561027837258
no.biz.annonser,no.biz.annonser.data,1415,534,248,0.1457965902410347
no.alkohol,no.alt.diskusjoner,1064,2182,411,0.14497354497354498
no.news.drift,no.tegnsett,314,184,63,0.14482758620689656
no.ef,no.irc,510,1348,235,0.1447935921133703
no.prat.politikk,no.stortinget,382,599,124,0.14469078179696615
no.alt.diskusjoner,no.religion,2182,1104,414,0.14415041782729804
no.alt.tegneserier,no.ef,906,510,178,0.14378029079159935
no.net,no.news.drift,1071,314,174,0.14368290668868702
no.alt.god.jul,no.alt.radio-tv.irma-1000,459,202,83,0.14359861591695502
no.alt.config,no.alt.pompelog,327,143,59,0.1435523114355231
no.general,no.norsk,5597,1808,928,0.1432762081210437
no.embnet,no.kjemi,218,663,110,0.14267185473411154
no.alt.arkiv,no.alt.pompelog,130,143,34,0.14225941422594143
no.jus,no.mail.diverse,1720,900,326,0.14210985178727115
no.ef,no.kjemi,510,663,145,0.14105058365758755
no.c,no.havforskning,940,344,157,0.13930789707187222
no.prat.politikk,no.skole.diverse,382,224,74,0.13909774436090225
no.film,no.radio-tv,2416,1319,455,0.13871951219512196
no.mail.drift,no.multimedia,373,1241,196,0.1382228490832158
no.sources.list,no.uninett.drift,31,68,12,0.13793103448275862
