from_newsgroup,to_newsgroup,number_of_references
no.alt.flame,unknown,31500
no.general,no.alt.diskusjoner,30256
no.alt.diskusjoner,no.general,24779
no.general,unknown,18802
no.general,no.prat.politikk,18223
no.prat.politikk,no.general,15517
no.general,no.norsk,11843
no.religion,unknown,11692
no.alt.frustrasjoner,no.general,11234
no.general,no.alt.frustrasjoner,10969
no.norsk,no.general,10950
no.religion,no.general,10863
no.general,no.religion,9640
no.general,no.irc,9022
no.general,no.jus,8434
no.alt.motorsykler,unknown,7634
no.general,no.alt.flame,6172
no.irc,no.general,6138
no.alt.flame,no.general,6034
no.general,no.ef,5715
no.jus,no.general,5688
no.news.diverse,no.general,5160
no.alt.diskusjoner,unknown,5153
no.alt.diskusjoner,no.irc,5133
no.general,no.stortinget,4867
no.alt.diskusjoner,no.alt.frustrasjoner,4771
no.alt.diskusjoner,no.stortinget,4743
no.stortinget,no.alt.diskusjoner,4713
no.alt.diskusjoner,no.jus,4356
no.jus,no.alt.diskusjoner,4228
no.prat.narkotika,no.alkohol,4216
no.irc,no.alt.diskusjoner,4131
no.alkohol,no.prat.narkotika,4123
no.musikk,unknown,4020
no.general,no.news.diverse,3996
no.alt.diskusjoner,no.ef,3930
no.alt.frustrasjoner,unknown,3785
no.ef,no.alt.diskusjoner,3705
no.stortinget,no.general,3667
no.norsk,unknown,3369
no.alt.diskusjoner,no.religion,3331
no.alt.frustrasjoner,no.alt.diskusjoner,3315
no.general,no.marked,3181
no.prat.politikk,no.stortinget,3111
no.general,no.pc,3023
no.prat.seksualitet,unknown,3008
no.alt.frustrasjoner,no.alt.gledesutbrudd,2981
no.religion,no.alt.diskusjoner,2969
no.alt.frustrasjoner,no.pc,2915
no.ef,no.general,2896
no.marked.data,no.marked,2879
no.general,no.skole.diverse,2853
no.marked,no.marked.data,2827
no.jus,unknown,2649
no.ms-windows,no.pc,2580
no.psykologi,no.alt.diskusjoner,2579
no.pc,no.ms-windows,2541
no.pc,no.general,2527
no.jus,no.irc,2395
no.pc,unknown,2374
no.pc,no.alt.frustrasjoner,2359
no.alt.diskusjoner,no.news.diverse,2337
no.prat.politikk,no.norsk,2286
no.tele,no.general,2225
no.general,no.org.efn.diskusjon,2166
no.alt.diskusjoner,no.psykologi,2069
no.alt.gledesutbrudd,no.alt.frustrasjoner,2060
no.alt.motorsykler,no.bil,2008
no.norsk,no.prat.politikk,1984
no.prat.politikk,no.skole.diverse,1968
no.org.efn.diskusjon,no.general,1957
no.skole.diverse,no.norsk,1941
no.marked,no.multimedia,1921
no.musikk,no.marked,1920
