from_newsgroup,to_newsgroup,number_of_references
no.alt.flame,unknown,4239
no.general,no.alt.diskusjoner,2534
no.general,unknown,2408
no.alt.diskusjoner,no.general,2362
no.alt.frustrasjoner,no.general,1488
no.general,no.alt.frustrasjoner,1244
no.norsk,no.general,1106
no.prat.politikk,no.general,1069
no.general,no.prat.politikk,1029
no.general,no.norsk,969
no.religion,no.general,933
no.alt.frustrasjoner,unknown,932
no.general,no.religion,915
no.religion,unknown,878
no.jus,no.general,783
no.alt.motorsykler,unknown,726
no.alt.frustrasjoner,no.alt.gledesutbrudd,717
no.general,no.jus,695
no.news.diverse,no.general,674
no.general,no.alt.flame,638
no.alt.flame,no.general,628
no.general,no.irc,620
no.marked.data,no.marked,617
no.alt.gledesutbrudd,no.alt.frustrasjoner,611
no.marked,no.marked.data,611
no.pc,unknown,610
no.irc,no.general,598
no.alt.diskusjoner,unknown,594
no.ms-windows,no.pc,546
no.musikk,unknown,546
no.norsk,unknown,541
no.alt.diskusjoner,no.alt.frustrasjoner,537
no.pc,no.ms-windows,536
no.general,no.news.diverse,517
no.alt.frustrasjoner,no.alt.diskusjoner,512
no.film,unknown,400
no.jus,unknown,400
no.general,no.pc,395
no.pc,no.general,384
no.stortinget,no.alt.diskusjoner,368
no.alt.diskusjoner,no.stortinget,357
no.general,no.stortinget,354
no.unix,no.linux,351
no.mac,unknown,347
no.general,no.ef,345
no.pc,no.marked.data,345
no.news.diverse,unknown,338
no.alt.diskusjoner,no.irc,336
no.linux,no.unix,333
no.ef,no.alt.diskusjoner,329
no.jus,no.alt.diskusjoner,329
no.irc,no.alt.diskusjoner,327
no.stortinget,no.general,327
no.ef,no.general,326
no.alt.diskusjoner,no.ef,325
no.marked.data,no.pc,321
no.alt.diskusjoner,no.religion,319
no.prat.narkotika,no.alkohol,319
no.religion,no.alt.diskusjoner,313
no.alt.diskusjoner,no.jus,310
no.alkohol,no.prat.narkotika,305
no.musikk,no.marked,303
no.org.efn.diskusjon,no.general,299
no.vitser,unknown,297
no.biz.annonser,no.marked.data,292
no.marked.data,no.biz.annonser,285
no.general,no.org.efn.diskusjon,284
no.marked,unknown,283
no.biz.annonser,no.marked,276
no.marked,no.musikk,276
no.alt.gledesutbrudd,unknown,275
no.linux,unknown,274
no.pc,no.marked,269
no.marked,no.biz.annonser,267
no.audio,unknown,262
no.marked,no.pc,261
no.alkohol,no.general,252
no.alt.frustrasjoner,no.pc,248
no.general,no.marked,246
no.psykologi,no.alt.diskusjoner,238
no.alt.diskusjoner,no.psykologi,233
no.pc,no.alt.frustrasjoner,232
no.general,no.alkohol,229
no.tele,no.general,229
no.jus,no.irc,228
no.slekt,unknown,227
no.irc,unknown,226
no.alt.diskusjoner,no.news.diverse,223
no.multimedia,no.marked,223
no.marked,no.multimedia,220
no.prat.politikk,no.stortinget,220
no.general,no.tele,218
no.spill,unknown,213
no.pc,no.spill,212
no.alkohol,no.alt.diskusjoner,210
no.general,no.net,209
no.alt.diskusjoner,no.alkohol,208
no.alt.mat,no.general,207
no.irc,no.jus,204
no.pc,no.mac,203
no.marked,no.general,202
no.linux,no.pc,201
no.spill,no.pc,198
no.news.diverse,no.alt.diskusjoner,196
no.general,no.mail.diverse,195
no.mac,no.pc,195
no.marked.data,unknown,195
no.radio-tv,no.general,195
no.ms-windows,unknown,193
no.audio,no.film,190
no.alt.flame,no.alt.diskusjoner,189
no.audio,no.marked,188
no.alt.frustrasjoner,no.news.diverse,187
no.film,no.audio,185
no.net,no.general,185
no.marked,no.audio,184
no.telepost,no.general,183
no.pc,no.linux,182
no.general,no.litteratur,181
no.general,no.telepost,180
no.mail.diverse,no.general,179
no.norsk,no.prat.politikk,179
no.prat.politikk,no.alt.diskusjoner,179
no.alt.frustrasjoner,no.norsk,175
no.musikk,no.general,175
no.news.diverse,no.alt.frustrasjoner,175
no.norsk,no.alt.frustrasjoner,175
no.general,no.multimedia,174
no.news.diverse,no.mac,172
no.sport.diverse,unknown,171
no.bil,unknown,170
no.mac,no.marked,167
no.musikk,no.audio,166
no.general,no.alt.mat,165
