from_newsgroup,to_newsgroup,number_of_references
no.alt.flame,unknown,4427
no.general,unknown,3754
no.general,no.alt.diskusjoner,3579
no.alt.diskusjoner,no.general,3335
no.general,no.prat.politikk,2551
no.prat.politikk,no.general,2516
no.religion,unknown,1942
no.alt.frustrasjoner,no.general,1732
no.jus,no.general,1522
no.pc,unknown,1431
no.general,no.alt.frustrasjoner,1415
no.general,no.jus,1378
no.norsk,no.general,1324
no.www,unknown,1320
no.amiga,unknown,1314
no.general,no.norsk,1226
no.prat.politikk,no.alt.diskusjoner,1219
no.religion,no.general,1183
no.general,no.religion,1152
no.prat.politikk,unknown,1113
no.prat.politikk,no.stortinget,1103
no.general,no.www,1087
no.alt.diskusjoner,no.prat.politikk,1075
no.www,no.general,1065
no.marked.data,no.marked,1062
no.marked,no.marked.data,1009
no.test,unknown,986
no.stortinget,no.prat.politikk,969
no.ms-windows,no.pc,954
no.pc,no.ms-windows,929
no.news.diverse,no.general,824
no.alt.frustrasjoner,no.alt.gledesutbrudd,739
no.general,no.irc,707
no.alt.motorsykler,unknown,700
no.alt.frustrasjoner,unknown,699
no.general,no.alt.flame,688
no.general,no.news.diverse,670
no.alt.flame,no.general,660
no.irc,no.general,660
no.amiga,no.pc,648
no.media,no.general,639
no.general,no.media,630
no.bil,unknown,619
no.pc,no.amiga,618
no.alt.gledesutbrudd,no.alt.frustrasjoner,616
no.general,no.stortinget,601
no.pc,no.marked.data,599
no.ms-windows,unknown,598
no.marked.data,no.pc,565
no.stortinget,no.general,565
no.alt.diskusjoner,no.alt.frustrasjoner,539
no.alt.frustrasjoner,no.alt.diskusjoner,535
no.biz.annonser,no.marked,502
no.general,no.ef,498
no.marked.data,no.biz.annonser.data,497
no.unix,no.linux,494
no.biz.annonser.data,no.marked.data,488
no.prat.narkotika,no.alkohol,486
no.marked.data,unknown,482
no.bil,no.alt.motorsykler,474
no.alkohol,no.prat.narkotika,472
no.marked,no.biz.annonser,470
no.general,no.pc,466
no.sport.fotball,unknown,459
no.pc,no.general,457
no.prat.seksualitet,unknown,454
no.pc,no.marked,448
no.linux,no.unix,444
no.alt.frustrasjoner,no.www,440
no.biz.annonser,no.marked.data,430
no.ef,no.general,424
no.radio-tv,unknown,419
no.alt.motorsykler,no.bil,417
no.marked.data,no.biz.annonser,417
no.religion,no.alt.diskusjoner,417
no.marked,no.pc,413
no.alt.diskusjoner,no.religion,399
no.org.efn.diskusjon,no.general,377
no.www,no.alt.frustrasjoner,374
no.stortinget,no.alt.diskusjoner,368
no.pc,no.mac,366
no.general,no.org.efn.diskusjon,363
no.alt.diskusjoner,no.stortinget,361
no.mac,no.pc,360
no.sykkel,unknown,359
no.musikk,unknown,355
