newsgroup_a,newsgroup_b,messages_a,messages_b,cosine_similarity
no.radio-tv,no.radio_tv,4392,1682,0.99253565
no.ms-windows,no.mswindow,8305,772,0.98546994
no.prat.politikk,no.stortinget,3672,2563,0.98385924
no.alt.frustrasjoner,no.alt.gledesutbrudd,35424,11406,0.9823606
no.mail.diverse,no.mail.drift,1978,576,0.9791088
no.alt.config,no.news.diverse,625,9287,0.97782004
no.biz.annonser.data,no.biz.annonser,1311,3658,0.9769182
no.alt.diskusjoner,no.general,15893,76902,0.9764928
no.alt.diskusjoner,no.prat.politikk,15893,3672,0.97446436
no.alt.diskusjoner,no.ef,15893,1368,0.97267336
no.biz.annonser.data,no.marked.data,1311,22621,0.971593
no.alt.pompel-og-pilt,no.alt.pompelog,367,287,0.971343
no.alt.frustrasjoner,no.general,35424,76902,0.9707194
no.ef,no.prat.politikk,1368,3672,0.96841985
no.news.diverse,no.news.drift,9287,571,0.9683962
no.it.diverse,no.pc,527,25734,0.9639475
no.ef,no.stortinget,1368,2563,0.96368504
no.alt.amiga,no.amiga,775,3265,0.9618093
no.net,no.telepost,2082,948,0.96133137
no.ef,no.general,1368,76902,0.9598069
no.alt.irc-treff,no.alt.irctreff,1017,493,0.9592461
no.eunet.diverse,no.news.drift,169,571,0.9576829
no.alt.diskusjoner,no.stortinget,15893,2563,0.9570044
no.student.nett,no.student.samfund,418,234,0.95636296
no.alt.frustrasjoner,no.vitser,35424,10517,0.95498306
no.linux,no.unix,16315,3935,0.95471615
no.marked.data,no.marked,22621,26848,0.9534998
no.slekt.etterlysning,no.slekt,3114,8269,0.95192623
no.alt.gledesutbrudd,no.vitser,11406,10517,0.9510038
no.biz.annonser,no.marked,3658,26848,0.95043075
no.biz.nettilbydere,no.net,824,2082,0.9481584
no.sport.diverse,no.sport.fotball,6331,2324,0.9481322
no.biz.nettilbydere,no.telepost,824,948,0.9468615
no.alt.config,no.news.drift,625,571,0.94614416
no.eunet.drift,no.eunet.hjelp,405,601,0.94551164
no.general,no.news.diverse,76902,9287,0.9447466
