from_newsgroup,to_newsgroup,number_of_references
no.general,unknown,51003
no.alt.flame,unknown,37971
no.general,no.prat.politikk,30639
no.religion,unknown,29088
no.general,no.alt.diskusjoner,28809
no.prat.politikk,no.general,26158
no.alt.diskusjoner,no.general,24397
no.musikk,unknown,18021
no.prat.politikk,unknown,14390
no.prat.politikk,no.stortinget,12931
no.alt.diskusjoner,unknown,11451
no.prat.politikk,no.alt.diskusjoner,11451
no.general,no.jus,11158
no.stortinget,no.prat.politikk,11027
no.norsk,unknown,10742
no.alt.diskusjoner,no.prat.politikk,10436
no.jus,no.general,9293
no.pc,unknown,9191
no.general,no.www,8968
no.religion,no.general,8788
no.amiga,unknown,8373
no.www,unknown,8366
no.www,no.general,6933
no.amiga,no.pc,6812
no.general,no.religion,6755
no.pc,no.amiga,6118
no.general,no.stortinget,6104
no.mac,unknown,5988
no.general,no.norsk,5858
no.news.diverse,unknown,5731
no.prat.seksualitet,unknown,5659
no.norsk,no.general,5475
no.stortinget,no.general,5339
no.general,no.irc,5275
no.bil,unknown,5259
no.general,no.media,4959
no.media,no.general,4767
no.alkohol,no.prat.narkotika,4702
no.prat.narkotika,no.alkohol,4619
no.news.diverse,no.general,4379
no.jus,unknown,4127
no.film,unknown,4112
no.general,no.news.diverse,3924
no.general,no.uninett.diverse,3822
no.irc,no.general,3748
no.general,no.ef,3652
no.spill,unknown,3637
no.general,no.skole.diverse,3391
no.linux,unknown,3314
no.alt.diskusjoner,no.stortinget,3275
no.alt.gledesutbrudd,unknown,3098
no.radio-tv,unknown,3085
no.stortinget,no.alt.diskusjoner,3055
no.ms-windows,no.pc,3014
no.pc,no.ms-windows,2974
no.jus,no.alt.diskusjoner,2953
no.alt.diskusjoner,no.irc,2920
no.marked.data,no.marked,2891
no.audio,unknown,2869
no.marked,no.marked.data,2807
no.alt.diskusjoner,no.jus,2689
no.irc,no.alt.diskusjoner,2674
no.alt.diskusjoner,no.prat.seksualitet,2621
no.general,no.vit.diverse,2614
no.prat.narkotika,no.alt.diskusjoner,2582
no.ef,no.alt.diskusjoner,2466
no.irc,unknown,2454
no.alt.diskusjoner,no.ef,2446
