from_newsgroup,to_newsgroup,number_of_references
no.general,no.alt.diskusjoner,43729
no.general,no.prat.politikk,40444
no.alt.diskusjoner,no.general,37385
no.alt.flame,unknown,32052
no.prat.politikk,no.general,32025
no.general,unknown,24443
no.religion,unknown,17090
no.general,no.jus,16017
no.prat.politikk,no.stortinget,14919
no.religion,no.general,14899
no.general,no.norsk,14096
no.alt.diskusjoner,no.prat.politikk,13848
no.stortinget,no.prat.politikk,13816
no.prat.politikk,no.alt.diskusjoner,13626
no.jus,no.general,13299
no.norsk,no.general,12700
no.alt.frustrasjoner,no.general,12548
no.general,no.religion,12385
no.general,no.alt.frustrasjoner,12211
no.general,no.www,10505
no.general,no.irc,10056
no.general,no.stortinget,7829
no.prat.politikk,unknown,7786
no.www,no.general,7500
no.stortinget,no.general,7283
no.general,no.media,7169
no.alt.motorsykler,unknown,7085
no.amiga,no.pc,6942
no.general,no.ef,6939
no.irc,no.general,6680
no.general,no.alt.flame,6587
no.pc,unknown,6484
no.news.diverse,no.general,6424
no.amiga,unknown,6359
no.alkohol,no.prat.narkotika,6337
no.alt.flame,no.general,6317
no.prat.narkotika,no.alkohol,6276
no.pc,no.amiga,6269
no.alt.motorsykler,no.bil,6001
no.general,no.news.diverse,5668
no.www,unknown,5503
no.alt.diskusjoner,no.irc,5476
no.media,no.general,5069
no.alt.diskusjoner,no.alt.frustrasjoner,4947
no.alt.diskusjoner,no.stortinget,4880
no.alt.diskusjoner,no.jus,4855
no.stortinget,no.alt.diskusjoner,4728
no.jus,no.alt.diskusjoner,4707
no.irc,no.alt.diskusjoner,4510
no.general,no.marked,4351
no.general,no.skole.diverse,4322
no.marked.data,no.marked,4289
no.marked,no.marked.data,4287
no.bil,no.alt.motorsykler,4200
no.alt.diskusjoner,no.religion,4126
no.ms-windows,no.pc,4069
no.alt.diskusjoner,no.ef,4061
no.general,no.uninett.diverse,4056
no.pc,no.ms-windows,4014
no.ef,no.alt.diskusjoner,3933
no.alt.frustrasjoner,no.www,3870
no.religion,no.alt.diskusjoner,3778
no.prat.politikk,no.norsk,3768
no.prat.narkotika,no.alt.diskusjoner,3658
no.ef,no.general,3638
no.alt.diskusjoner,no.prat.seksualitet,3583
no.general,no.pc,3518
no.alt.frustrasjoner,no.alt.diskusjoner,3389
no.alt.diskusjoner,unknown,3262
no.norsk,no.prat.politikk,3182
no.general,no.radio-tv,3161
no.general,no.litteratur,3125
no.mac,no.pc,3100
no.alt.frustrasjoner,no.alt.gledesutbrudd,3095
no.general,no.org.efn.diskusjon,3078
no.alt.frustrasjoner,no.pc,3006
no.www,no.alt.frustrasjoner,2983
no.pc,no.marked.data,2965
no.alt.diskusjoner,no.prat.narkotika,2955
no.pc,no.general,2946
no.pc,no.mac,2936
no.skole.diverse,no.norsk,2891
no.religion,no.prat.politikk,2872
no.prat.seksualitet,unknown,2850
no.prat.politikk,no.skole.diverse,2817
no.alt.diskusjoner,no.news.diverse,2784
no.bil,unknown,2766
no.pc,no.marked,2764
no.org.efn.diskusjon,no.general,2756
no.general,no.vit.diverse,2755
no.marked.data,no.pc,2744
no.prat.politikk,no.ef,2661
no.psykologi,no.alt.diskusjoner,2625
no.prat.narkotika,no.general,2611
no.marked,no.pc,2599
no.alt.frustrasjoner,unknown,2576
no.news.diverse,no.www,2575
no.general,no.prat.narkotika,2547
no.ef,no.prat.politikk,2527
no.general,no.net,2515
no.pc,no.alt.frustrasjoner,2509
no.unix,no.linux,2486
no.tele,no.general,2465
no.jus,no.irc,2446
no.general,no.kjemi,2408
no.musikk,unknown,2406
no.general,no.medisin,2397
no.skole.diverse,no.prat.politikk,2335
no.linux,no.unix,2304
no.alt.diskusjoner,no.psykologi,2298
no.norsk,no.skole.diverse,2289
no.prat.politikk,no.media,2289
no.stortinget,no.media,2255
no.alkohol,no.general,2213
no.general,no.alt.gledesutbrudd,2185
no.marked.data,no.biz.annonser.data,2148
no.alt.gledesutbrudd,no.alt.frustrasjoner,2143
no.skole.diverse,no.general,2142
no.general,no.mail.diverse,2108
no.marked,no.multimedia,2105
no.general,no.hobby.diverse,2092
no.prat.politikk,no.religion,2073
no.general,no.multimedia,2071
no.radio-tv,no.general,2051
no.general,no.alkohol,2024
no.alt.motorsykler,no.general,2021
no.prat.politikk,no.jus,2003
no.general,no.tele,1997
no.multimedia,no.marked,1990
no.vit.diverse,no.general,1980
no.general,no.alt.motorsykler,1964
no.general,no.audio,1963
no.musikk,no.marked,1950
no.alkohol,no.alt.diskusjoner,1939
no.alt.mat,no.general,1927
no.media,no.stortinget,1927
no.alt.diskusjoner,no.alkohol,1923
no.prat.narkotika,no.prat.politikk,1881
no.elektronikk,no.marked,1879
no.news.diverse,no.mac,1855
no.media,no.prat.politikk,1826
no.jus,no.org.efn.diskusjon,1823
no.general,no.film,1820
no.sport.fotball,unknown,1816
no.pc,no.www,1809
no.alt.flame,no.alt.diskusjoner,1789
no.www,no.pc,1781
no.irc,no.jus,1774
no.uninett.diverse,no.jus,1774
no.prat.politikk,no.prat.narkotika,1772
no.jus,no.uninett.diverse,1767
no.biz.annonser.data,no.marked.data,1756
no.uninett.diverse,no.general,1756
no.marked,no.elektronikk,1744
no.elektronikk,no.pc,1743
no.hobby.diverse,no.general,1743
no.general,no.musikk,1736
no.linux,no.pc,1723
no.pc,no.elektronikk,1714
no.marked,no.musikk,1708
no.audio,no.multimedia,1701
no.general,no.c,1690
no.medisin,no.kjemi,1683
no.radio-tv,unknown,1682
no.marked,no.biz.annonser,1668
no.general,no.linux,1655
no.biz.annonser,no.marked,1641
no.marked,no.biz.annonser.data,1634
no.litteratur,no.general,1632
no.multimedia,no.audio,1614
no.multimedia,no.general,1611
no.religion,no.alt.gledesutbrudd,1580
no.marked.data,no.biz.annonser,1576
no.ms-windows,no.marked,1572
no.spill,no.pc,1570
no.audio,no.general,1565
no.norsk,no.alt.frustrasjoner,1558
no.biz.annonser,no.marked.data,1555
no.musikk,no.audio,1550
no.org.efn.diskusjon,no.jus,1550
no.pc,no.spill,1550
no.alt.katter,no.alt.motorsykler,1546
no.kjemi,no.litteratur,1541
no.medisin,no.general,1528
no.ms-windows,no.marked.data,1528
no.net,no.general,1510
no.jus,no.prat.politikk,1503
no.general,no.alt.mat.drikke,1484
no.general,no.amiga,1483
no.news.diverse,no.alt.diskusjoner,1460
no.musikk,no.general,1457
no.marked,no.general,1456
no.general,no.alt.mat,1455
no.kjemi,no.general,1453
no.alt.frustrasjoner,no.norsk,1441
no.biz.annonser,no.biz.annonser.data,1440
no.marked,no.ms-windows,1439
no.general,no.telepost,1413
no.alt.gledesutbrudd,no.general,1408
no.mac,no.multimedia,1406
no.mail.diverse,no.general,1404
no.marked.data,no.ms-windows,1391
no.biz.annonser.data,no.biz.annonser,1390
no.news.diverse,no.sport.diverse,1390
no.pc,no.linux,1384
no.jus,no.religion,1370
no.telepost,no.general,1370
no.ms-windows,unknown,1366
no.audio,no.film,1355
no.kjemi,no.medisin,1353
no.marked,no.linux,1339
no.bil,no.elektronikk,1335
no.alt.diskusjoner,no.vit.diverse,1329
no.alt.diskusjoner,no.kjemi,1328
no.alt.mat.drikke,no.general,1322
no.norsk,unknown,1322
no.biz.annonser.data,no.marked,1299
no.film,no.audio,1292
no.medisin,no.litteratur,1292
no.linux,no.marked,1290
no.mac,no.marked,1288
no.mail.drift,no.mail.diverse,1285
no.general,no.marked.data,1284
no.marked,no.marked.jobb,1274
no.radio-tv,no.radio_tv,1269
no.mac,no.marked.data,1260
no.film,no.general,1255
no.mac,no.linux,1254
no.medisin,no.vit.diverse,1252
no.general,no.marked.jobb,1245
no.general,no.alt.tegneserier,1234
no.mail.diverse,no.mail.drift,1232
no.alt.diskusjoner,no.www,1231
no.alkohol,no.www,1230
no.radio_tv,no.radio-tv,1230
no.medisin,no.alt.diskusjoner,1221
no.general,no.embnet,1219
no.marked,no.mac,1219
no.jus,unknown,1216
no.news.diverse,no.mail.diverse,1206
no.audio,no.marked,1202
no.alt.flame,no.alt.frustrasjoner,1201
no.test,unknown,1199
no.alt.diskusjoner,no.medisin,1195
no.alt.motorsykler,no.alt.katter,1193
no.marked.jobb,no.marked,1185
no.www,no.news.diverse,1185
no.general,no.biz.annonser,1180
no.audio,no.musikk,1175
no.alt.diskusjoner,no.marked,1173
no.multimedia,no.mac,1170
no.marked,no.mail.diverse,1166
no.mac,no.mail.drift,1158
no.alkohol,no.stortinget,1155
no.alt.diskusjoner,no.media,1152
no.general,no.havforskning,1152
no.mac,no.mail.diverse,1152
no.mac,no.litteratur,1144
no.stortinget,no.alkohol,1143
no.sykkel,no.alt.frustrasjoner,1143
no.general,no.alt.katter,1139
no.marked,no.mail.drift,1138
no.marked,no.kjemi,1137
no.mac,no.kjemi,1135
no.marked,no.audio,1134
no.psykologi,no.religion,1134
no.hobby.diverse,no.alt.mat.drikke,1132
no.vit.diverse,no.medisin,1131
no.alt.mat.drikke,no.hobby.diverse,1125
no.pc,no.multimedia,1123
no.multimedia,no.hobby.diverse,1118
