from_newsgroup,to_newsgroup,number_of_references
no.general,unknown,7279
no.alt.flame,unknown,5088
no.religion,unknown,3468
no.general,no.alt.diskusjoner,2622
no.musikk,unknown,2619
no.alt.diskusjoner,no.general,2538
no.pc,unknown,2525
no.general,no.prat.politikk,2235
no.prat.politikk,no.general,2209
no.www,unknown,1860
no.prat.politikk,unknown,1814
no.norsk,unknown,1744
no.amiga,unknown,1653
no.mac,unknown,1648
no.alt.diskusjoner,unknown,1395
no.jus,no.general,1146
no.test,unknown,1129
no.bil,unknown,1066
no.linux,unknown,1043
no.alt.gledesutbrudd,unknown,1032
no.general,no.www,1004
no.general,no.jus,1000
no.prat.politikk,no.alt.diskusjoner,998
no.news.diverse,unknown,978
no.marked.data,unknown,965
no.www,no.general,963
no.alt.diskusjoner,no.prat.politikk,955
no.ms-windows,unknown,950
no.film,unknown,915
no.spill,unknown,915
no.prat.politikk,no.stortinget,899
no.stortinget,no.prat.politikk,892
no.ms-windows,no.pc,807
no.prat.seksualitet,unknown,797
no.marked.data,no.marked,791
no.pc,no.ms-windows,791
no.marked,no.marked.data,787
no.radio-tv,unknown,786
no.religion,no.general,786
no.norsk,no.general,760
no.general,no.religion,748
no.jus,unknown,717
no.audio,unknown,687
no.amiga,no.pc,632
no.general,no.norsk,624
no.tele,unknown,619
no.marked,unknown,606
no.pc,no.amiga,605
no.media,no.general,587
no.news.diverse,no.general,583
no.vitser,unknown,557
no.general,no.media,555
no.pc,no.marked.data,509
no.elektronikk,unknown,497
no.sykkel,unknown,490
no.marked.data,no.pc,484
no.general,no.news.diverse,474
no.irc,unknown,471
no.general,no.stortinget,466
no.general,no.irc,464
no.stortinget,no.general,453
no.irc,no.general,447
no.marked.data,no.biz.annonser.data,432
no.biz.annonser.data,no.marked.data,428
no.sport.diverse,unknown,424
no.unix,unknown,414
no.alkohol,no.prat.narkotika,407
no.sport.fotball,unknown,400
no.biz.annonser,no.marked,390
no.marked,no.biz.annonser,388
no.general,no.alt.flame,386
no.prat.narkotika,no.alkohol,377
no.prat.narkotika,unknown,372
no.biz.annonser,no.marked.data,366
no.marked.data,no.biz.annonser,352
no.alt.flame,no.general,343
no.alkohol,unknown,326
no.slekt,unknown,317
no.pc,no.marked,315
no.biz.nettilbydere,unknown,312
no.unix,no.linux,310
no.biz.annonser,no.biz.annonser.data,306
no.biz.annonser.data,no.biz.annonser,305
no.marked,no.pc,305
no.general,no.ef,297
no.www,no.pc,297
no.radio-tv,no.general,289
no.alt.diskusjoner,no.religion,287
no.ef,no.general,286
no.slekt.programmer,unknown,284
no.alt.mat,unknown,283
no.psykologi,unknown,283
no.biz.annonser.data,no.marked,282
no.linux,no.unix,282
no.marked,no.biz.annonser.data,282
no.religion,no.alt.diskusjoner,278
no.pc,no.www,277
no.general,no.radio-tv,273
no.litteratur,unknown,271
no.norsk,no.prat.politikk,266
no.prat.narkotika,no.general,260
no.irc,no.alt.diskusjoner,259
no.vit.diverse,unknown,257
no.alt.diskusjoner,no.irc,256
no.jus,no.alt.diskusjoner,253
no.slekt.etterlysning,unknown,250
no.spill,no.pc,249
no.pc,no.spill,247
no.alt.katter,unknown,243
no.spill.rollespill,unknown,241
no.ef,no.alt.diskusjoner,239
no.news.diverse,no.www,239
no.alt.diskusjoner,no.jus,237
no.pc,no.general,237
no.stortinget,no.alt.diskusjoner,237
no.stortinget,unknown,237
no.vit.diverse,no.general,237
no.general,no.pc,235
no.alt.diskusjoner,no.ef,233
no.general,no.org.efn.diskusjon,233
no.alt.diskusjoner,no.stortinget,231
no.org.efn.diskusjon,no.general,230
no.pc,no.elektronikk,228
no.prat.politikk,no.ef,226
no.ef,no.prat.politikk,224
no.general,no.vit.diverse,224
no.prat.politikk,no.religion,224
no.pc,no.mac,221
no.it.diverse,unknown,220
no.prat.narkotika,no.alt.diskusjoner,220
no.religion,no.prat.politikk,220
no.elektronikk,no.pc,217
no.it.os.os2,unknown,216
no.mac,no.pc,216
no.skole.diverse,unknown,214
no.general,no.prat.narkotika,209
no.prat.politikk,no.norsk,209
no.medisin,unknown,208
no.linux,no.pc,203
no.prat.politikk,no.skole.diverse,203
no.alt.diskusjoner,no.prat.narkotika,198
no.skole.diverse,no.prat.politikk,198
no.alt.diskusjoner,no.prat.seksualitet,195
no.musikk,no.marked,195
no.prat.aksjer,unknown,193
no.tele,no.general,192
no.alt.diskusjoner,no.psykologi,190
no.alt.mat,no.general,190
no.general,no.tele,190
no.norsk,no.skole.diverse,189
no.marked,no.musikk,188
no.psykologi,no.alt.diskusjoner,188
no.biz.annonser,unknown,184
no.pc,no.linux,183
no.prat.narkotika,no.prat.politikk,183
no.skole.diverse,no.norsk,183
no.alkohol,no.general,182
no.general,no.marked,180
no.general,no.hobby.diverse,175
no.biz.annonser.data,unknown,173
no.hobby.diverse,no.general,166
no.general,no.skole.diverse,165
no.marked,no.elektronikk,163
no.prat.politikk,no.prat.narkotika,163
no.elektronikk,no.marked,162
no.mail.diverse,unknown,161
no.ms-windows,no.marked.data,155
no.musikk,no.general,154
no.skole.diverse,no.general,154
no.video,no.film,154
no.film,no.video,151
no.general,no.litteratur,151
no.litteratur,no.general,150
no.general,no.alkohol,149
no.general,no.alt.mat,148
no.www,no.news.diverse,148
no.marked,no.general,146
no.marked.data,no.ms-windows,146
no.general,no.musikk,145
no.c,unknown,144
no.general,no.alt.gledesutbrudd,144
no.perl,unknown,143
no.it.emacs,unknown,142
no.alt.diskusjoner,no.news.diverse,138
no.jus,no.irc,138
no.alt.flame,no.alt.diskusjoner,137
no.alt.gledesutbrudd,no.general,136
no.pc,no.multimedia,136
no.multimedia,no.pc,134
no.alt.sjokolade,unknown,132
no.ms-windows,no.www,132
no.www,no.ms-windows,131
no.general,no.uninett.diverse,130
no.jus,no.org.efn.diskusjon,130
no.hobby.diverse,unknown,128
no.ms-windows,no.marked,128
no.musikk.gitar,unknown,128
no.radio-tv,no.film,128
no.alt.tegneserier,unknown,127
no.marked.data,no.mac,127
no.it.diverse,no.pc,126
no.mac,no.marked.data,126
no.alt.diskusjoner,no.www,125
no.marked,no.ms-windows,125
no.musikk,no.audio,125
no.irc,no.jus,124
no.general,no.biz.nettilbydere,123
no.prat.politikk,no.media,123
no.alt.diskusjoner,no.alkohol,122
no.uninett.diverse,no.general,122
no.psykologi,no.general,121
no.film,no.general,120
no.general,no.prat.seksualitet,120
no.media,no.prat.politikk,120
no.alkohol,no.alt.diskusjoner,119
no.film,no.radio-tv,119
no.news.diverse,no.alt.diskusjoner,119
no.audio,no.marked,118
no.general,no.sport.diverse,118
no.marked.diskusjon,no.marked.data,118
no.prat.politikk,no.jus,118
no.jus,no.prat.politikk,117
no.marked,no.audio,117
no.spill.sjakk,unknown,117
no.sport.diverse,no.general,117
no.general,no.biz.annonser,116
no.pc,no.it.diverse,115
no.www,no.net,115
no.media,unknown,114
no.multimedia,no.ms-windows,114
no.amiga,no.marked.data,113
no.biz.nettilbydere,no.tele,113
no.general,no.amiga,113
no.kjemi,unknown,113
no.ms-windows,no.multimedia,113
no.pc,no.biz.annonser.data,113
no.video,unknown,113
no.biz.nettilbydere,no.general,112
no.net,unknown,112
no.www,no.marked,111
no.audio,no.video,110
no.marked.jobb,unknown,110
no.prat.ufo,unknown,110
no.general,no.medisin,109
no.norsk.fagord,unknown,109
no.video,no.audio,109
no.org.efn.diskusjon,unknown,108
no.psykologi,no.religion,108
no.marked,no.www,106
no.org.efn.diskusjon,no.jus,106
no.amiga,no.general,105
no.general,no.net,105
no.medisin,no.general,105
no.speider,unknown,105
no.biz.annonser.data,no.pc,104
no.jus,no.uninett.diverse,104
no.tele,no.biz.nettilbydere,104
no.film,no.audio,102
no.reiser,unknown,102
no.norsk,no.alt.diskusjoner,101
no.religion,no.psykologi,101
no.stortinget,no.media,101
no.biz.annonser,no.biz.nettilbydere,100
no.biz.nettilbydere,no.biz.annonser,100
no.media,no.stortinget,100
no.multimedia,no.marked,100
no.prat.seksualitet,no.general,100
no.uninett.diverse,no.jus,100
no.alt.mat.drikke,no.general,99
no.audio,no.film,99
no.ef,unknown,98
no.marked,no.multimedia,98
no.net,no.general,98
no.vitser,no.www,98
no.www,no.alt.diskusjoner,98
no.audio,no.musikk,97
no.multimedia,unknown,97
no.general,no.audio,96
no.media,no.alt.diskusjoner,96
no.net,no.www,96
no.alt.config,unknown,95
no.general,no.alt.mat.drikke,93
no.general,no.multimedia,93
no.multimedia,no.media,93
no.pc,no.vitser,93
no.alt.diskusjoner,no.media,92
no.media,no.multimedia,92
no.org.efn.diskusjon,no.irc,92
no.alt.diskusjoner,no.alt.flame,91
no.pc,no.net,91
no.tele,no.pc,91
no.multimedia,no.marked.data,90
no.test,no.general,90
no.www,no.vitser,90
no.alt.diskusjoner,no.marked,89
no.slekt.programmer,no.slekt,89
no.general,no.film,88
no.general,no.spill,88
no.irc,no.org.efn.diskusjon,88
no.marked.data,no.multimedia,88
no.multimedia,no.general,88
no.net,no.pc,88
no.unix,no.pc,88
no.vitser,no.general,88
no.spill,no.general,87
no.alt.katter,no.general,86
no.news.diverse,no.mac,86
no.alt.mat.drikke,unknown,85
no.general,no.pressemeldinger,85
no.news.diverse,no.prat.politikk,85
no.general,no.psykologi,84
no.multimedia,no.hobby.diverse,84
no.biz.nettilbydere,no.biz.annonser.data,83
no.elektronikk,no.audio,83
no.marked,no.alt.diskusjoner,83
no.biz.annonser.data,no.biz.nettilbydere,82
no.elektronikk,no.bil,82
no.hobby.diverse,no.marked,82
