newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,293,269,129,0.2979214780600462
no.alt.radio-tv.irma-1000,no.bibsys,269,218,108,0.2849604221635884
no.marked,no.marked.data,6278,7009,2849,0.27294500862234145
no.alt.pompel-og-pilt,no.bibsys,293,218,107,0.26485148514851486
no.prat.politikk,no.stortinget,1118,501,338,0.26385636221701797
no.biz.annonser,no.biz.annonser.data,1973,1493,719,0.26174008008736804
no.alt.diskusjoner,no.prat.politikk,1895,1118,625,0.2617252931323283
no.ai,no.alt.arkiv,214,160,77,0.25925925925925924
no.alt.arkiv,no.alt.config,160,313,96,0.2546419098143236
no.slekt,no.slekt.etterlysning,1336,958,449,0.24336043360433604
no.eunet.drift,no.eunet.hjelp,75,141,41,0.2342857142857143
no.alt.diskusjoner,no.general,1895,5478,1364,0.2269928440672325
no.ms-windows,no.pc,2456,5851,1511,0.22233666862860507
no.student.nett,no.student.samfund,358,188,98,0.21875
no.marked.data,no.pc,7009,5851,2264,0.2136655341638354
no.alt.god.jul,no.alt.pompel-og-pilt,443,293,129,0.21252059308072488
no.mail.diverse,no.mail.drift,657,243,147,0.1952191235059761
no.general,no.www,5478,3396,1446,0.19466882067851374
no.alt.god.jul,no.alt.radio-tv.irma-1000,443,269,116,0.19463087248322147
no.alt.diskusjoner,no.news.diverse,1895,1446,544,0.1944941008223096
no.linux,no.unix,2391,1157,576,0.19380888290713325
no.slekt,no.slekt.programmer,1336,576,309,0.19276356830941985
no.biz.diskusjoner,no.biz.nettilbydere,326,656,158,0.19174757281553398
no.alt.diskusjoner,no.alt.gledesutbrudd,1895,1358,523,0.1915750915750916
no.alt.god.jul,no.bibsys,443,218,103,0.18458781362007168
no.ai,no.alt.config,214,313,82,0.1842696629213483
no.alt.pompel-og-pilt,no.alt.sjokolade,293,635,144,0.1836734693877551
no.alt.radio-tv.irma-1000,no.alt.sjokolade,269,635,138,0.1801566579634465
no.alt.diskusjoner,no.jus,1895,1414,505,0.18009985734664766
no.alt.mat,no.alt.mat.drikke,983,516,223,0.17476489028213166
no.pc,no.www,5851,3396,1371,0.17407313357034027
no.film,no.radio-tv,1867,1987,566,0.1721411192214112
no.uninett.drift,no.uninett.katalog,85,53,20,0.1694915254237288
no.alt.diskusjoner,no.norsk,1895,1503,490,0.16850068775790922
no.jus,no.news.diverse,1414,1446,407,0.16591928251121077
no.marked,no.pc,6278,5851,1725,0.16580161476355249
no.uninett.hjelp,no.uninett.katalog,83,53,19,0.1623931623931624
no.org.nobug.diverse,no.uninett.katalog,76,53,18,0.16216216216216217
no.alt.sjokolade,no.alt.tegneserier,635,779,196,0.16091954022988506
no.alt.gledesutbrudd,no.news.diverse,1358,1446,388,0.1605960264900662
no.jus,no.prat.politikk,1414,1118,347,0.1588100686498856
no.alt.diskusjoner,no.religion,1895,1357,441,0.1568836712913554
no.alkohol,no.prat.narkotika,880,414,175,0.15638963360142985
no.prat.politikk,no.religion,1118,1357,333,0.15546218487394958
no.bil,no.marked.bil,1920,998,391,0.15472892758211318
no.alt.diskusjoner,no.www,1895,3396,707,0.15423211169284468
no.alt.god.jul,no.alt.sjokolade,443,635,144,0.15417558886509636
no.general,no.news.diverse,5478,1446,923,0.15380769871688052
no.news.diverse,no.prat.politikk,1446,1118,341,0.15339631129104814
no.lisp,no.mail.drift,194,243,58,0.15303430079155672
no.news.diverse,no.norsk,1446,1503,387,0.15105386416861827
no.news.diverse,no.www,1446,3396,633,0.150392017106201
no.biz.annonser,no.marked,1973,6278,1078,0.15028579394953298
no.alt.sjokolade,no.bibsys,635,218,111,0.1495956873315364
no.alt.radio-tv.irma-1000,no.alt.tegneserier,269,779,135,0.14786418400876233
no.general,no.pc,5478,5851,1454,0.14724050632911392
no.norsk,no.prat.politikk,1503,1118,336,0.14704595185995623
no.biz.annonser.data,no.marked.data,1493,7009,1088,0.14674939304019421
no.kryptografi,no.lisp,245,194,56,0.1462140992167102
no.slekt.etterlysning,no.slekt.programmer,958,576,195,0.14563106796116504
no.mail.diverse,no.net,657,862,193,0.1455505279034691
no.general,no.prat.politikk,5478,1118,837,0.14533773224518146
no.alt.gullkorn,no.alt.troll,1,7,1,0.14285714285714285
no.alt.pompel-og-pilt,no.alt.tegneserier,293,779,134,0.14285714285714285
no.uninett.drift,no.uninett.hjelp,85,83,21,0.14285714285714285
no.it.emacs,no.lisp,247,194,55,0.14248704663212436
no.bibsys,no.biz,218,55,34,0.14225941422594143
no.bolig,no.marked.bolig,862,537,174,0.14204081632653062
no.alkohol,no.alt.diskusjoner,880,1895,342,0.1405672009864365
no.alt.diskusjoner,no.irc,1895,1141,373,0.1400675929402929
no.ms-windows,no.www,2456,3396,718,0.13985196727697702
no.alt.diskusjoner,no.media,1895,709,318,0.13910761154855644
no.prat.politikk,no.vit.diverse,1118,449,190,0.13798111837327523
no.mail.diverse,no.news.diverse,657,1446,254,0.13737155219037317
no.alt.diskusjoner,no.prat.seksualitet,1895,848,327,0.1353476821192053
no.pc,no.spill,5851,2481,992,0.13514986376021798
no.ef,no.prat.politikk,319,1118,171,0.13507109004739337
no.general,no.jus,5478,1414,820,0.13504611330698288
no.alt.amiga,no.alt.arkiv,93,160,30,0.13452914798206278
no.net,no.news.diverse,862,1446,273,0.13415233415233416
no.alt.gledesutbrudd,no.general,1358,5478,808,0.13404114134041142
no.general,no.norsk,5478,1503,818,0.1327275677429823
no.film,no.video,1867,903,324,0.13246116107931316
no.c,no.unix,727,1157,218,0.13085234093637454
no.uninett.diverse,no.uninett.drift,177,85,30,0.12931034482758622
no.irc,no.news.diverse,1141,1446,296,0.12920122217372326
no.alt.tegneserier,no.bibsys,779,218,114,0.1291053227633069
no.jus,no.norsk,1414,1503,332,0.12843326885880077
no.skole.diverse,no.uninett.skole,538,455,113,0.12840909090909092
no.sources.list,no.sources.wanted,78,142,25,0.1282051282051282
no.alt.gledesutbrudd,no.prat.politikk,1358,1118,280,0.12750455373406194
no.alt.god.jul,no.alt.tegneserier,443,779,138,0.12730627306273062
no.general,no.radio-tv,5478,1987,843,0.12730292962851103
no.litteratur,no.norsk,1161,1503,300,0.12690355329949238
no.alt.diskusjoner,no.radio-tv,1895,1987,437,0.12685050798258346
no.embnet,no.uninett.katalog,63,53,13,0.1262135922330097
no.alt.diskusjoner,no.stortinget,1895,501,267,0.12541099107562237
no.media,no.prat.politikk,709,1118,202,0.12430769230769231
no.media,no.news.diverse,709,1446,238,0.12415232133541992
no.kryptografi,no.org.efn.diskusjon,245,320,62,0.12326043737574553
no.prat.narkotika,no.prat.politikk,414,1118,168,0.12316715542521994
no.irc,no.jus,1141,1414,280,0.12307692307692308
no.perl,no.unix,479,1157,178,0.12208504801097393
no.bibsys,no.biz.diskusjoner,218,326,59,0.12164948453608247
no.biz.annonser,no.marked.data,1973,7009,966,0.12050898203592815
no.eunet.diverse,no.eunet.drift,74,75,16,0.12030075187969924
no.biz.annonser.data,no.biz.nettilbydere,1493,656,230,0.11985409067222512
no.sources.list,no.uninett.katalog,78,53,14,0.11965811965811966
no.news.diverse,no.unix,1446,1157,278,0.11956989247311828
no.alt.gledesutbrudd,no.prat.seksualitet,1358,848,235,0.11922881785895484
no.alt.config,no.news.drift,313,223,57,0.11899791231732777
no.lisp,no.mail.diverse,194,657,90,0.11826544021024968
no.net,no.unix,862,1157,212,0.11732152739346983
no.alt.gledesutbrudd,no.jus,1358,1414,290,0.1168412570507655
no.news.diverse,no.radio-tv,1446,1987,359,0.11678594664931685
no.kryptografi,no.mail.drift,245,243,51,0.11670480549199085
no.alt.gledesutbrudd,no.irc,1358,1141,261,0.11662198391420911
no.ai,no.alt.amiga,214,93,32,0.11636363636363636
no.media,no.radio-tv,709,1987,281,0.11635610766045548
no.alt.gledesutbrudd,no.norsk,1358,1503,298,0.11626999609832228
no.musikk,no.radio-tv,2990,1987,518,0.11616954474097331
no.uninett.diverse,no.uninett.hjelp,177,83,27,0.11587982832618025
no.media,no.multimedia,709,910,168,0.11578221915920055
no.film,no.musikk,1867,2990,503,0.11552595314653193
no.tungregning,no.uninett.katalog,92,53,15,0.11538461538461539
no.kjemi,no.vit.diverse,489,449,97,0.11533888228299644
no.audio,no.elektronikk,1992,1920,403,0.11484753491023084
no.general,no.marked,5478,6278,1211,0.11484115694642011
no.tungregning,no.uninett.hjelp,92,83,18,0.11464968152866242
no.kjemi,no.lisp,489,194,70,0.11419249592169657
no.embnet,no.eunet.diverse,63,74,14,0.11382113821138211
no.kjemi,no.kryptografi,489,245,75,0.11380880121396054
no.news.diverse,no.vit.diverse,1446,449,193,0.11339600470035252
no.media,no.norsk,709,1503,225,0.1132360342224459
no.mail.diverse,no.unix,657,1157,184,0.11288343558282209
no.jus,no.media,1414,709,214,0.11210057621791514
no.biz.annonser.data,no.marked,1493,6278,783,0.11204922724670864
no.prat.politikk,no.prat.seksualitet,1118,848,197,0.11136235161107971
no.ef,no.org.efn.diskusjon,319,320,64,0.11130434782608696
no.biz.nettilbydere,no.net,656,862,152,0.11127379209370425
no.standard,no.tegnsett,100,150,25,0.1111111111111111
no.marked,no.musikk,6278,2990,926,0.11100455526252698
no.jus,no.org.efn.diskusjon,1414,320,173,0.1108263933376041
no.alt.gledesutbrudd,no.alt.mat,1358,983,233,0.11053130929791272
