newsgroup_a,newsgroup_b,users_a,users_b,shared_users,jaccard
no.embnet,no.havforskning,260,397,173,0.3574380165289256
no.bibsys,no.embnet,235,260,127,0.3451086956521739
no.ef,no.embnet,567,260,209,0.33818770226537215
no.alt.frustrasjoner,no.alt.gledesutbrudd,3039,1753,1174,0.3244886677722499
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,329,309,151,0.31006160164271046
no.mail.diverse,no.mail.drift,993,430,324,0.2948134667879891
no.marked,no.marked.data,8430,7987,3575,0.2783834293723719
no.prat.politikk,no.stortinget,1150,665,383,0.2674581005586592
no.alt.radio-tv.irma-1000,no.bibsys,309,235,112,0.25925925925925924
no.biz.annonser,no.biz.annonser.data,2197,1548,761,0.2550268096514745
no.alt.diskusjoner,no.alt.frustrasjoner,2367,3039,1092,0.25312934631432543
no.ai,no.alt.arkiv,254,199,91,0.2513812154696133
no.lisp,no.mail.drift,302,430,146,0.24914675767918087
no.alt.arkiv,no.alt.config,199,407,120,0.24691358024691357
no.eunet.drift,no.eunet.hjelp,135,244,75,0.24671052631578946
no.alt.pompel-og-pilt,no.bibsys,329,235,110,0.2422907488986784
no.slekt,no.slekt.etterlysning,1836,1240,580,0.23237179487179488
no.alt.diskusjoner,no.prat.politikk,2367,1150,662,0.2318739054290718
no.bibsys,no.havforskning,235,397,117,0.22718446601941747
no.kjemi,no.mail.drift,745,430,216,0.22523461939520334
no.ms-windows,no.pc,3235,7028,1871,0.22295042897998094
no.embnet,no.lisp,260,302,102,0.2217391304347826
no.eunet.diverse,no.eunet.drift,141,135,50,0.22123893805309736
no.student.nett,no.student.samfund,452,255,128,0.22107081174438686
no.alt.diskusjoner,no.general,2367,7075,1666,0.21424897119341563
no.alt.radio-tv.irma-1000,no.embnet,309,260,100,0.21321961620469082
no.ef,no.havforskning,567,397,169,0.21257861635220127
no.marked.data,no.pc,7987,7028,2626,0.21196222455403987
no.alt.frustrasjoner,no.general,3039,7075,1756,0.21009810959559702
no.uninett.drift,no.uninett.katalog,112,68,31,0.2080536912751678
no.mail.diverse,no.net,993,1216,377,0.20578602620087336
no.alt.pompelog,no.alt.radio_tv.irma1000,143,209,60,0.2054794520547945
no.uninett.drift,no.uninett.hjelp,112,124,40,0.20408163265306123
no.c,no.ef,1036,567,270,0.20255063765941486
no.alt.diskusjoner,no.news.diverse,2367,1892,713,0.20107163000564016
no.alt.diskusjoner,no.alt.gledesutbrudd,2367,1753,688,0.20046620046620048
no.alt.god.jul,no.alt.pompel-og-pilt,570,329,150,0.20026702269692923
no.uninett.hjelp,no.uninett.katalog,124,68,32,0.2
no.bibsys,no.ef,235,567,133,0.19880418535127056
no.bibsys,no.lisp,235,302,88,0.19599109131403117
no.alt.pompel-og-pilt,no.embnet,329,260,96,0.1947261663286004
no.embnet,no.mail.drift,260,430,112,0.19377162629757785
no.embnet,no.eunet.diverse,260,141,65,0.19345238095238096
no.c,no.embnet,1036,260,209,0.1922723091076357
no.alt.mat,no.alt.mat.drikke,1286,659,309,0.18887530562347188
no.linux,no.unix,3019,1435,707,0.1886842807579397
no.biz.diskusjoner,no.biz.nettilbydere,431,686,175,0.18577494692144372
no.havforskning,no.kjemi,397,745,177,0.18341968911917098
